track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KRGX20180709_122146_V06,-17,0.067,221.71,391.674866,5.422714,-119.92,39.340426,2711.357117,20180709_052146
2,KRGX20180709_130409_V06,26,0.253,228.71,382.539429,12.604439,-119.87,39.381720,6302.219391,20180709_060409
4,KRGX20180709_132518_V06,47,0.152,206.68,386.057495,20.455673,-120.00,39.365349,10227.836609,20180709_062518
4,KRGX20180709_133223_V06,54,-1.000,206.68,386.057495,31.585673,-120.00,39.365349,15792.836609,20180709_063223
4,KRGX20180709_133927_V06,61,0.101,207.96,386.566833,19.821526,-120.00,39.363089,9910.762787,20180709_063927
2,KRGX20180811_130308_V06,-3,0.055,211.34,388.813263,14.784050,-119.98,39.353061,7392.024994,20180811_060308
2,KRGX20180811_130611_V06,0,0.066,211.02,388.251327,19.082783,-119.98,39.355584,9541.391622,20180811_060611
1,KRGX20180811_125055_V06,-16,0.057,210.06,389.225891,16.262978,-119.98,39.351170,8131.488800,20180811_055055
3,KRGX20180811_131521_V06,9,0.082,286.64,375.898254,5.186760,-119.54,39.412342,2593.379974,20180811_061521
6,KRGX20180811_134832_V06,42,0.117,206.74,392.390991,20.088219,-120.00,39.336827,10044.109344,20180811_064832
1,KRGX20180922_133222_V06,-13,0.215,361.44,286.216553,6.367767,-119.10,39.815686,3183.883667,20180922_063222
1,KRGX20180922_134200_V06,-3,0.152,363.45,287.524043,16.947260,-119.09,39.809762,8473.630072,20180922_064200
