track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KRTX20150831_130519_V06,-26,0.080,489.55,372.218750,9.337074,-121.75,45.383672,4668.537140,20150831_060519
3,KRTX20150831_130519_V06,-26,0.050,407.13,211.293610,26.046997,-122.27,46.111950,13023.498535,20150831_060519
3,KRTX20150831_131501_V06,-16,-1.000,407.13,211.293610,41.946997,-122.27,46.111950,20973.498535,20150831_061501
3,KRTX20150831_132442_V06,-7,0.078,414.99,207.921448,19.353317,-122.22,46.126800,9676.658630,20150831_062442
19,KRTX20150831_143231_V06,61,0.085,138.58,267.509888,30.178230,-124.00,45.856440,15089.115143,20150831_073231
19,KRTX20150831_144212_V06,71,0.361,146.86,263.082916,26.730253,-123.95,45.876824,13365.126610,20150831_074212
20,KRTX20150831_143231_V06,61,0.082,333.47,80.643066,21.781036,-122.75,46.701506,10890.518188,20150831_073231
23,KRTX20150831_144212_V06,71,0.077,380.29,319.506012,5.308578,-122.45,45.626089,2654.289246,20150831_074212
25,KRTX20150831_144212_V06,71,0.070,165.07,363.719666,32.907265,-123.83,45.425080,16453.632355,20150831_074212
1,KRTX20150914_142253_V06,34,0.114,473.35,371.469727,20.897064,-121.86,45.388095,10448.532104,20150914_072253
3,KRTX20150914_145746_V06,69,0.147,491.97,373.709625,6.573975,-121.74,45.376801,3286.987305,20150914_075746
