track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
6,KSGF20140809_110624_V06,-19,0.343,139.58,317.946106,8.414932,-94.30,37.150984,4207.466125,20140809_060624
6,KSGF20140809_111024_V06,-15,0.229,140.06,317.908964,14.672371,-94.30,37.151172,7336.185655,20140809_061024
6,KSGF20140809_111423_V06,-11,0.762,138.93,318.082595,15.434614,-94.31,37.150341,7717.307073,20140809_061423
6,KSGF20140809_111823_V06,-7,0.785,138.76,318.599832,16.218509,-94.31,37.148004,8109.254295,20140809_061823
6,KSGF20140809_112224_V06,-3,0.657,144.33,319.699880,21.973904,-94.28,37.143285,10986.952041,20140809_062224
6,KSGF20140809_112624_V06,1,0.764,146.24,321.091130,25.597810,-94.27,37.137096,12798.904941,20140809_062624
6,KSGF20140809_113036_V06,5,0.885,153.50,324.616590,32.272394,-94.22,37.121505,16136.197157,20140809_063036
6,KSGF20140809_113436_V06,9,0.889,154.47,324.996730,35.707835,-94.22,37.119831,17853.917449,20140809_063436
6,KSGF20140809_113836_V06,13,0.662,155.58,326.835364,38.035700,-94.21,37.111590,19017.850185,20140809_063836
9,KSGF20140809_111024_V06,-15,0.881,310.26,34.860474,13.778717,-93.34,38.429660,6889.358521,20140809_061024
9,KSGF20140809_111423_V06,-11,0.872,313.23,35.205722,17.880194,-93.32,38.428095,8940.096907,20140809_061423
9,KSGF20140809_111823_V06,-7,0.449,315.51,40.114164,23.249255,-93.31,38.405977,11624.627421,20140809_061823
9,KSGF20140809_112224_V06,-3,0.936,323.96,45.738242,27.093769,-93.26,38.380598,13546.884426,20140809_062224
9,KSGF20140809_112624_V06,1,0.889,331.19,50.736416,30.271937,-93.22,38.358030,15135.968487,20140809_062624
9,KSGF20140809_113036_V06,5,0.498,334.09,56.330120,35.553584,-93.21,38.332808,17776.792086,20140809_063036
9,KSGF20140809_113436_V06,9,0.535,339.52,62.288089,41.415674,-93.17,38.305916,20707.837151,20140809_063436
9,KSGF20140809_113836_V06,13,0.108,342.30,64.132302,45.099756,-93.16,38.297578,22549.877864,20140809_063836
12,KSGF20140809_111024_V06,-15,0.284,234.07,187.176575,4.544571,-93.77,37.742965,2272.285461,20140809_061024
12,KSGF20140809_111423_V06,-11,0.674,233.62,185.976632,9.060908,-93.78,37.748362,4530.454097,20140809_061423
12,KSGF20140809_111823_V06,-7,0.321,234.63,185.475700,11.764655,-93.77,37.750637,5882.327701,20140809_061823
12,KSGF20140809_112224_V06,-3,0.128,239.44,186.144139,17.445957,-93.74,37.747708,8722.978253,20140809_062224
12,KSGF20140809_112624_V06,1,0.061,243.72,183.458859,17.456413,-93.72,37.759872,8728.206328,20140809_062624
12,KSGF20140809_113036_V06,5,0.105,251.39,186.762166,17.664697,-93.68,37.745101,8832.348549,20140809_063036
32,KSGF20140809_113036_V06,5,0.860,167.57,538.331604,21.318199,-94.14,36.159144,10659.099579,20140809_063036
32,KSGF20140809_113436_V06,9,0.893,168.56,539.075587,26.500895,-94.13,36.155826,13250.447524,20140809_063436
32,KSGF20140809_113836_V06,13,0.895,171.81,538.403912,30.293027,-94.11,36.158963,15146.513684,20140809_063836
32,KSGF20140809_114236_V06,17,0.921,172.93,538.075613,32.161192,-94.11,36.160480,16080.595934,20140809_064236
32,KSGF20140809_114636_V06,21,0.826,179.38,541.685111,39.385738,-94.07,36.144425,19692.869106,20140809_064636
32,KSGF20140809_115037_V06,25,0.772,180.58,541.102573,41.380778,-94.06,36.147088,20690.388860,20140809_065037
1,KSGF20140809_105823_V06,-27,0.359,333.89,296.311432,4.266708,-93.21,37.251744,2133.354187,20140809_055823
1,KSGF20140809_110223_V06,-23,0.058,334.07,296.239733,9.401816,-93.21,37.252065,4700.908131,20140809_060223
1,KSGF20140809_110624_V06,-19,0.699,334.46,295.238552,10.835555,-93.21,37.256572,5417.777613,20140809_060624
1,KSGF20140809_111024_V06,-15,0.065,333.85,296.474624,18.249726,-93.21,37.251009,9124.863003,20140809_061024
10,KSGF20140809_111024_V06,-15,0.439,269.78,348.310394,4.995060,-93.57,37.017505,2497.529984,20140809_061024
10,KSGF20140809_111423_V06,-11,0.110,270.83,348.873018,10.621010,-93.56,37.014978,5310.505108,20140809_061423
10,KSGF20140809_111823_V06,-7,0.063,276.07,355.109705,16.140688,-93.53,36.986916,8070.344022,20140809_061823
10,KSGF20140809_112224_V06,-3,0.173,280.34,344.354126,12.059456,-93.51,37.035399,6029.727936,20140809_062224
17,KSGF20140809_111423_V06,-11,0.447,148.45,217.907501,7.727821,-94.26,37.602012,3863.910675,20140809_061423
17,KSGF20140809_111823_V06,-7,0.634,147.97,219.026188,13.136211,-94.26,37.596953,6568.105379,20140809_061823
19,KSGF20140809_111423_V06,-11,0.215,183.52,332.214783,14.679417,-94.06,37.088330,7339.708328,20140809_061423
19,KSGF20140809_111823_V06,-7,0.124,184.41,332.364103,19.869157,-94.05,37.087685,9934.578638,20140809_061823
26,KSGF20140809_111823_V06,-7,0.091,348.58,331.344299,9.004318,-93.13,37.093750,4502.159119,20140809_061823
26,KSGF20140809_112224_V06,-3,-1.000,348.58,331.344299,15.364318,-93.13,37.093750,7682.159119,20140809_062224
26,KSGF20140809_112624_V06,1,-1.000,348.58,331.344299,21.724318,-93.13,37.093750,10862.159119,20140809_062624
26,KSGF20140809_113036_V06,5,-1.000,348.58,331.344299,28.084318,-93.13,37.093750,14042.159119,20140809_063036
26,KSGF20140809_113436_V06,9,0.069,337.49,321.766648,27.009788,-93.19,37.137027,13504.893915,20140809_063436
8,KSGF20140809_110624_V06,-19,0.098,330.06,350.623169,5.092079,-93.23,37.007086,2546.039581,20140809_060624
29,KSGF20140809_112224_V06,-3,0.067,189.98,425.412964,24.362534,-94.02,36.668635,12181.266785,20140809_062224
29,KSGF20140809_112624_V06,1,0.091,212.17,433.036163,5.843010,-93.89,36.634869,2921.504974,20140809_062624
30,KSGF20140809_112624_V06,1,0.104,32.95,439.766357,40.658333,-94.89,36.596131,20329.166412,20140809_062624
35,KSGF20140809_114236_V06,17,0.282,348.05,293.753143,4.139069,-93.13,37.263114,2069.534302,20140809_064236
39,KSGF20140809_115837_V06,33,0.053,286.83,348.249207,2.276337,-93.47,37.017879,1138.168335,20140809_065837
