track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KTLX20170725_110408_V06,-28,0.949,415.70,411.630676,13.841942,-96.65,34.828299,6920.970917,20170725_060408
1,KTLX20170725_111352_V06,-19,0.745,422.53,406.992193,22.383670,-96.61,34.849003,11191.834791,20170725_061352
1,KTLX20170725_112335_V06,-9,0.053,429.02,404.793082,25.720461,-96.57,34.858712,12860.230281,20170725_062335
2,KTLX20170725_110408_V06,-28,0.185,256.66,269.276306,5.785862,-97.52,35.471284,2892.930984,20170725_060408
2,KTLX20170725_111352_V06,-19,0.174,255.19,269.799525,21.399842,-97.52,35.468910,10699.921226,20170725_061352
2,KTLX20170725_112335_V06,-9,0.109,252.85,260.529296,23.135598,-97.54,35.510660,11567.799142,20170725_062335
6,KTLX20170725_111352_V06,-19,0.171,328.12,540.665771,16.373386,-97.12,34.248265,8186.693192,20170725_061352
6,KTLX20170725_112335_V06,-9,0.727,331.28,537.402258,26.855643,-97.11,34.262952,13427.821360,20170725_062335
14,KTLX20170725_114303_V06,11,0.183,197.81,362.389771,5.914589,-97.84,35.050585,2957.294464,20170725_064303
14,KTLX20170725_115246_V06,20,0.064,199.10,359.630209,17.136371,-97.83,35.063054,8568.185309,20170725_065246
5,KTLX20170725_110408_V06,-28,0.069,39.54,455.220520,50.192585,-98.70,34.625126,25096.292496,20170725_060408
11,KTLX20170725_112335_V06,-9,0.262,556.78,100.368958,33.676445,-95.85,36.224264,16838.222504,20170725_062335
12,KTLX20170725_112335_V06,-9,0.082,396.30,357.956604,4.474800,-96.75,35.070709,2237.400055,20170725_062335
15,KTLX20170725_114303_V06,11,0.161,34.78,389.168518,59.204796,-98.73,34.922467,29602.397919,20170725_064303
17,KTLX20170725_115246_V06,20,0.069,293.65,415.268921,7.643715,-97.31,34.813554,3821.857452,20170725_065246
21,KTLX20170725_124301_V06,71,0.176,27.13,413.839508,46.233078,-98.77,34.810785,23116.539001,20170725_074301
1,KTLX20170806_120456_V06,23,0.107,223.59,269.979523,13.952934,-97.70,35.467618,6976.467133,20170806_070456
2,KTLX20170806_121719_V06,36,0.060,144.41,348.848846,9.549011,-98.13,35.109896,4774.505615,20170806_071719
1,KTLX20170815_130039_V06,72,0.242,107.73,421.733643,39.390564,-98.33,34.779849,19695.281982,20170815_080039
2,KTLX20170818_113041_V06,-21,0.797,255.36,269.693451,4.858463,-97.52,35.469390,2429.231644,20170818_063041
2,KTLX20170818_113418_V06,-17,0.946,256.29,269.674663,9.322330,-97.52,35.469485,4661.165202,20170818_063418
2,KTLX20170818_113756_V06,-14,0.927,258.68,268.575071,13.740679,-97.51,35.474466,6870.339449,20170818_063756
2,KTLX20170818_114134_V06,-10,0.807,261.50,266.629701,18.210858,-97.49,35.483261,9105.429240,20170818_064134
2,KTLX20170818_114511_V06,-6,0.659,265.06,265.013570,23.083806,-97.47,35.490577,11541.902752,20170818_064511
2,KTLX20170818_114849_V06,-3,0.313,266.94,261.658977,23.822734,-97.46,35.505711,11911.367086,20170818_064849
4,KTLX20170818_113418_V06,-17,0.306,276.47,347.856293,4.560852,-97.41,35.117315,2280.426025,20170818_063418
4,KTLX20170818_113756_V06,-14,0.189,276.95,347.804571,9.360372,-97.40,35.117551,4680.186157,20170818_063756
4,KTLX20170818_114134_V06,-10,0.111,275.36,341.756711,16.160856,-97.41,35.144798,8080.428090,20170818_064134
8,KTLX20170818_113418_V06,-17,0.120,396.43,355.993347,3.129990,-96.75,35.079554,1564.994812,20170818_063418
8,KTLX20170818_113756_V06,-14,0.123,395.79,355.978368,7.364645,-96.75,35.079637,3682.322431,20170818_063756
