track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KYUX20210923_130853_V06,-19,0.176,42.06,414.335785,50.097637,-116.02,31.972342,25048.818588,20210923_060853
3,KYUX20210923_131735_V06,-10,0.090,41.23,417.901308,56.619188,-116.02,31.956220,28309.593832,20210923_061735
3,KYUX20210923_132617_V06,-1,0.056,43.63,405.164708,64.517545,-116.01,32.013780,32258.772614,20210923_062617
3,KYUX20210923_133459_V06,7,0.469,35.07,394.310154,71.934874,-116.06,32.062219,35967.437059,20210923_063459
3,KYUX20210923_134340_V06,16,0.062,44.97,391.215854,74.540374,-116.01,32.076743,37270.187199,20210923_064340
3,KYUX20210923_134759_V06,20,-1.000,48.25,389.264058,76.072423,-115.99,32.085728,38036.211445,20210923_064759
3,KYUX20210923_135233_V06,25,-1.000,52.36,386.824313,77.987484,-115.97,32.096956,38993.741753,20210923_065233
3,KYUX20210923_140154_V06,34,0.165,31.69,386.781940,71.403408,-116.08,32.095958,35701.704127,20210923_070154
3,KYUX20210923_140617_V06,39,-1.000,27.08,385.693065,70.202739,-116.10,32.100588,35101.369505,20210923_070617
3,KYUX20210923_141038_V06,43,0.112,31.38,392.943963,71.548450,-116.08,32.068159,35774.225114,20210923_071038
3,KYUX20210923_141500_V06,48,0.237,34.66,422.170654,50.178436,-116.06,31.936589,25089.218140,20210923_071500
5,KYUX20210923_132617_V06,-1,0.100,329.06,225.790833,2.969177,-114.50,32.829766,1484.588623,20210923_062617
5,KYUX20210923_133459_V06,7,0.253,330.15,224.623358,13.503907,-114.49,32.835022,6751.953468,20210923_063459
5,KYUX20210923_134340_V06,16,0.293,331.53,220.473210,16.126362,-114.49,32.853723,8063.181239,20210923_064340
5,KYUX20210923_134759_V06,20,0.525,329.50,221.790627,18.581434,-114.50,32.847798,9290.716852,20210923_064759
5,KYUX20210923_135233_V06,25,0.119,329.70,220.636862,18.722475,-114.50,32.852998,9361.237378,20210923_065233
2,KYUX20210923_130853_V06,-19,0.194,295.04,515.362854,28.532986,-114.68,31.524186,14266.492844,20210923_060853
2,KYUX20210923_131735_V06,-10,0.313,295.65,518.568042,34.950600,-114.68,31.509733,17475.299941,20210923_061735
21,KYUX20210923_144100_V06,74,0.062,383.87,391.308960,9.269691,-114.21,32.082793,4634.845734,20210923_074100
21,KYUX20210923_144944_V06,82,0.382,377.50,388.505343,18.632981,-114.25,32.095549,9316.490439,20210923_074944
1,KYUX20210923_130853_V06,-19,0.416,527.50,475.265320,33.812603,-113.46,31.699274,16906.301498,20210923_060853
6,KYUX20210923_132617_V06,-1,0.088,254.35,421.901917,2.640205,-114.90,31.945399,1320.102692,20210923_062617
10,KYUX20210923_134759_V06,20,0.190,240.92,366.714172,13.355675,-114.97,32.194085,6677.837372,20210923_064759
12,KYUX20210923_135233_V06,25,0.228,382.86,388.285095,2.537247,-114.22,32.096446,1268.623352,20210923_065233
15,KYUX20210923_135233_V06,25,0.074,34.05,423.345520,49.322601,-116.06,31.931256,24661.300659,20210923_065233
16,KYUX20210923_141500_V06,48,0.421,279.71,440.068848,14.818970,-114.76,31.863667,7409.484863,20210923_071500
16,KYUX20210923_142334_V06,56,0.074,283.90,431.581665,7.878578,-114.74,31.901955,3939.289093,20210923_072334
18,KYUX20210923_142334_V06,56,0.140,280.16,545.998657,15.959991,-114.76,31.385993,7979.995251,20210923_072334
20,KYUX20210923_142334_V06,56,0.051,144.69,290.512543,29.580452,-115.48,32.535342,14790.225983,20210923_072334
22,KYUX20210923_144100_V06,74,0.057,34.47,398.501099,57.810776,-116.06,32.043290,28905.387878,20210923_074100
