filename,local_time
KAMX20211128_112118_V06,20211128_062118
KAMX20211128_112829_V06,20211128_062829
KAMX20211128_113202_V06,20211128_063202
KAMX20211128_113547_V06,20211128_063547
KAMX20211128_113932_V06,20211128_063932
KAMX20211128_114317_V06,20211128_064317
KAMX20211128_114702_V06,20211128_064702
KAMX20211128_115047_V06,20211128_065047
KAMX20211128_115432_V06,20211128_065432
KAMX20211128_120201_V06,20211128_070201
KAMX20211128_120546_V06,20211128_070546
KAMX20211128_120931_V06,20211128_070931
KAMX20211128_121316_V06,20211128_071316
KAMX20211128_121702_V06,20211128_071702
KAMX20211128_122047_V06,20211128_072047
KAMX20211128_122432_V06,20211128_072432
KAMX20211128_122816_V06,20211128_072816
KAMX20211128_123201_V06,20211128_073201
KAMX20211128_123546_V06,20211128_073546
KAMX20211128_123931_V06,20211128_073931
KAMX20211128_124316_V06,20211128_074316
KAMX20211128_124701_V06,20211128_074701
KAMX20211128_125046_V06,20211128_075046
KAMX20211128_125431_V06,20211128_075431
KAMX20211128_130200_V06,20211128_080200
KAMX20211128_130545_V06,20211128_080545
KAMX20211128_130930_V06,20211128_080930
KAMX20211128_131315_V06,20211128_081315
KAMX20211128_131701_V06,20211128_081701
