filename,local_time
KBOX20170725_090421_V06,20170725_050421
KBOX20170725_090919_V06,20170725_050919
KBOX20170725_091416_V06,20170725_051416
KBOX20170725_091912_V06,20170725_051912
KBOX20170725_092408_V06,20170725_052408
KBOX20170725_092904_V06,20170725_052904
KBOX20170725_093401_V06,20170725_053401
KBOX20170725_093857_V06,20170725_053857
KBOX20170725_094549_V06,20170725_054549
KBOX20170725_095046_V06,20170725_055046
KBOX20170725_100038_V06,20170725_060038
KBOX20170725_100535_V06,20170725_060535
KBOX20170725_101031_V06,20170725_061031
KBOX20170725_101527_V06,20170725_061527
KBOX20170725_102023_V06,20170725_062023
KBOX20170725_102521_V06,20170725_062521
KBOX20170725_103017_V06,20170725_063017
KBOX20170725_103513_V06,20170725_063513
KBOX20170725_104009_V06,20170725_064009
KBOX20170725_104506_V06,20170725_064506
KBOX20170725_105003_V06,20170725_065003
KBOX20170725_105459_V06,20170725_065459
KBOX20170729_090642_V06,20170729_050642
KBOX20170729_091139_V06,20170729_051139
KBOX20170729_091635_V06,20170729_051635
KBOX20170729_092131_V06,20170729_052131
KBOX20170729_092627_V06,20170729_052627
KBOX20170729_093125_V06,20170729_053125
KBOX20170729_093621_V06,20170729_053621
KBOX20170729_094117_V06,20170729_054117
KBOX20170729_094614_V06,20170729_054614
KBOX20170729_095110_V06,20170729_055110
KBOX20170729_100102_V06,20170729_060102
KBOX20170729_100558_V06,20170729_060558
KBOX20170729_101055_V06,20170729_061055
KBOX20170729_101551_V06,20170729_061551
KBOX20170729_102048_V06,20170729_062048
KBOX20170729_102545_V06,20170729_062545
KBOX20170729_103041_V06,20170729_063041
KBOX20170729_103537_V06,20170729_063537
KBOX20170729_104033_V06,20170729_064033
KBOX20170729_104530_V06,20170729_064530
KBOX20170729_105026_V06,20170729_065026
KBOX20170729_110018_V06,20170729_070018
KBOX20170729_110515_V06,20170729_070515
KBOX20170730_090853_V06,20170730_050853
KBOX20170730_091349_V06,20170730_051349
KBOX20170730_091845_V06,20170730_051845
KBOX20170730_092341_V06,20170730_052341
KBOX20170730_092839_V06,20170730_052839
KBOX20170730_093335_V06,20170730_053335
KBOX20170730_093831_V06,20170730_053831
KBOX20170730_094328_V06,20170730_054328
KBOX20170730_094824_V06,20170730_054824
KBOX20170730_095320_V06,20170730_055320
KBOX20170730_100312_V06,20170730_060312
KBOX20170730_100809_V06,20170730_060809
KBOX20170730_101305_V06,20170730_061305
KBOX20170730_101801_V06,20170730_061801
KBOX20170730_102257_V06,20170730_062257
KBOX20170730_102754_V06,20170730_062754
KBOX20170730_103250_V06,20170730_063250
KBOX20170730_103746_V06,20170730_063746
KBOX20170730_104243_V06,20170730_064243
KBOX20170730_104739_V06,20170730_064739
KBOX20170730_105235_V06,20170730_065235
KBOX20170730_110228_V06,20170730_070228
KBOX20170731_091125_V06,20170731_051125
KBOX20170731_091621_V06,20170731_051621
KBOX20170731_092117_V06,20170731_052117
KBOX20170731_092613_V06,20170731_052613
KBOX20170731_093110_V06,20170731_053110
KBOX20170731_093606_V06,20170731_053606
KBOX20170731_094103_V06,20170731_054103
