filename,local_time
KCXX20200906_100029_V06,20200906_060029
KCXX20200906_100712_V06,20200906_060712
KCXX20200906_101354_V06,20200906_061354
KCXX20200906_102039_V06,20200906_062039
KCXX20200906_102721_V06,20200906_062721
KCXX20200906_103405_V06,20200906_063405
KCXX20200906_104106_V06,20200906_064106
KCXX20200906_104749_V06,20200906_064749
KCXX20200906_110115_V06,20200906_070115
KCXX20200906_110802_V06,20200906_070802
KCXX20200906_111443_V06,20200906_071443
KCXX20200906_112125_V06,20200906_072125
KCXX20200906_112807_V06,20200906_072807
KCXX20200906_113450_V06,20200906_073450
KCXX20200906_114133_V06,20200906_074133
KCXX20200906_114815_V06,20200906_074815
