filename,local_time
KDLH20210817_104215_V06,20210817_054215
KDLH20210817_105056_V06,20210817_055056
KDLH20210817_110821_V06,20210817_060821
KDLH20210817_111636_V06,20210817_061636
KDLH20210817_112451_V06,20210817_062451
KDLH20210817_113306_V06,20210817_063306
KDLH20210817_114121_V06,20210817_064121
KDLH20210817_114936_V06,20210817_064936
KDLH20210817_120807_V06,20210817_070807
KDLH20210817_121629_V06,20210817_071629
KDLH20210817_122456_V06,20210817_072456
KDLH20210817_123312_V06,20210817_073312
