filename,local_time
KGSP20191012_110828_V06,20191012_070828
KGSP20191012_111710_V06,20191012_071710
KGSP20191012_112554_V06,20191012_072554
KGSP20191012_113437_V06,20191012_073437
KGSP20191012_114320_V06,20191012_074320
KGSP20191012_120045_V06,20191012_080045
KGSP20191012_120927_V06,20191012_080927
KGSP20191012_121809_V06,20191012_081809
KGSP20191012_122651_V06,20191012_082651
KGSP20191012_123535_V06,20191012_083535
KGSP20191012_124418_V06,20191012_084418
KGSP20191012_130144_V06,20191012_090144
KGSP20191016_110751_V06,20191016_070751
KGSP20191016_111457_V06,20191016_071457
KGSP20191016_112148_V06,20191016_072148
KGSP20191016_112825_V06,20191016_072825
KGSP20191016_113446_V06,20191016_073446
KGSP20191016_114109_V06,20191016_074109
KGSP20191016_114731_V06,20191016_074731
KGSP20191016_120030_V06,20191016_080030
KGSP20191016_120708_V06,20191016_080708
KGSP20191016_121400_V06,20191016_081400
KGSP20191016_122105_V06,20191016_082105
KGSP20191016_122744_V06,20191016_082744
KGSP20191016_123450_V06,20191016_083450
KGSP20191016_124155_V06,20191016_084155
KGSP20191016_124902_V06,20191016_084902
KGSP20191016_130314_V06,20191016_090314
KGSP20191018_111123_V06,20191018_071123
KGSP20191018_112006_V06,20191018_072006
KGSP20191018_112849_V06,20191018_072849
KGSP20191018_113733_V06,20191018_073733
KGSP20191018_114617_V06,20191018_074617
KGSP20191018_115500_V06,20191018_075500
KGSP20191018_120343_V06,20191018_080343
KGSP20191018_121225_V06,20191018_081225
KGSP20191018_122108_V06,20191018_082108
KGSP20191018_122951_V06,20191018_082951
KGSP20191018_123836_V06,20191018_083836
KGSP20191018_124720_V06,20191018_084720
KGSP20191018_130445_V06,20191018_090445
KGSP20191023_111226_V06,20191023_071226
KGSP20191023_112109_V06,20191023_072109
KGSP20191023_112951_V06,20191023_072951
KGSP20191023_113833_V06,20191023_073833
KGSP20191023_114716_V06,20191023_074716
KGSP20191023_120442_V06,20191023_080442
KGSP20191023_121326_V06,20191023_081326
KGSP20191023_122209_V06,20191023_082209
KGSP20191023_123053_V06,20191023_083053
KGSP20191023_123934_V06,20191023_083934
KGSP20191023_124818_V06,20191023_084818
KGSP20191023_130543_V06,20191023_090543
KGSP20191030_112132_V06,20191030_072132
KGSP20191030_112808_V06,20191030_072808
KGSP20191030_113501_V06,20191030_073501
KGSP20191030_114152_V06,20191030_074152
KGSP20191030_114850_V06,20191030_074850
KGSP20191030_120301_V06,20191030_080301
KGSP20191030_121007_V06,20191030_081007
KGSP20191030_121712_V06,20191030_081712
KGSP20191030_122419_V06,20191030_082419
KGSP20191030_123116_V06,20191030_083116
KGSP20191030_123812_V06,20191030_083812
KGSP20191030_124518_V06,20191030_084518
KGSP20191030_125224_V06,20191030_085224
KGSP20191030_130636_V06,20191030_090636
KGSP20191030_131342_V06,20191030_091342
KGSP20191031_112243_V06,20191031_072243
KGSP20191031_112916_V06,20191031_072916
KGSP20191031_113545_V06,20191031_073545
KGSP20191031_114216_V06,20191031_074216
KGSP20191031_114848_V06,20191031_074848
KGSP20191031_120242_V06,20191031_080242
KGSP20191031_120940_V06,20191031_080940
KGSP20191031_121637_V06,20191031_081637
KGSP20191031_122333_V06,20191031_082333
KGSP20191031_123030_V06,20191031_083030
KGSP20191031_123727_V06,20191031_083727
KGSP20191031_124422_V06,20191031_084422
KGSP20191031_125119_V06,20191031_085119
KGSP20191031_130513_V06,20191031_090513
KGSP20191031_131209_V06,20191031_091209
KGSP20191101_112524_V06,20191101_072524
KGSP20191101_113406_V06,20191101_073406
KGSP20191101_114248_V06,20191101_074248
KGSP20191101_115123_V06,20191101_075123
KGSP20191101_120832_V06,20191101_080832
KGSP20191101_121707_V06,20191101_081707
KGSP20191101_122549_V06,20191101_082549
KGSP20191101_123432_V06,20191101_083432
KGSP20191101_124315_V06,20191101_084315
KGSP20191101_130033_V06,20191101_090033
KGSP20191101_130916_V06,20191101_090916
KGSP20191101_131759_V06,20191101_091759
KGSP20191102_112617_V06,20191102_072617
KGSP20191102_113459_V06,20191102_073459
KGSP20191102_114342_V06,20191102_074342
KGSP20191102_120108_V06,20191102_080108
KGSP20191102_120632_V06,20191102_080632
KGSP20191102_121210_V06,20191102_081210
KGSP20191102_121748_V06,20191102_081748
KGSP20191102_122327_V06,20191102_082327
KGSP20191102_123203_V06,20191102_083203
KGSP20191102_124046_V06,20191102_084046
KGSP20191102_124931_V06,20191102_084931
KGSP20191102_130657_V06,20191102_090657
KGSP20191102_131540_V06,20191102_091540
KGSP20191103_112248_V06,20191103_062248
KGSP20191103_113124_V06,20191103_063124
KGSP20191103_114000_V06,20191103_064000
KGSP20191103_114835_V06,20191103_064835
KGSP20191103_120553_V06,20191103_070553
KGSP20191103_121436_V06,20191103_071436
KGSP20191103_122319_V06,20191103_072319
KGSP20191103_123202_V06,20191103_073202
KGSP20191103_124045_V06,20191103_074045
KGSP20191103_124919_V06,20191103_074919
KGSP20191103_130637_V06,20191103_080637
KGSP20191103_131519_V06,20191103_081519
