filename,local_time
KHGX20140711_105855_V06,20140711_055855
KHGX20140711_110308_V06,20140711_060308
KHGX20140711_110708_V06,20140711_060708
KHGX20140711_111109_V06,20140711_061109
KHGX20140711_111509_V06,20140711_061509
KHGX20140711_111909_V06,20140711_061909
KHGX20140711_112310_V06,20140711_062310
KHGX20140711_112710_V06,20140711_062710
KHGX20140711_113110_V06,20140711_063110
KHGX20140711_113517_V06,20140711_063517
KHGX20140711_113930_V06,20140711_063930
KHGX20140711_114337_V06,20140711_064337
KHGX20140711_114750_V06,20140711_064750
KHGX20140711_115157_V06,20140711_065157
KHGX20140711_120252_V06,20140711_070252
KHGX20140711_120706_V06,20140711_070706
KHGX20140711_121119_V06,20140711_071119
KHGX20140711_121532_V06,20140711_071532
KHGX20140711_121945_V06,20140711_071945
KHGX20140711_122351_V06,20140711_072351
KHGX20140711_122805_V06,20140711_072805
KHGX20140711_123211_V06,20140711_073211
KHGX20140711_123618_V06,20140711_073618
KHGX20140711_124033_V06,20140711_074033
KHGX20140711_124446_V06,20140711_074446
KHGX20140711_124859_V06,20140711_074859
KHGX20140711_125312_V06,20140711_075312
KHGX20140711_125726_V06,20140711_075726
KHGX20140721_110436_V06,20140721_060436
KHGX20140721_110856_V06,20140721_060856
KHGX20140721_111316_V06,20140721_061316
KHGX20140721_111735_V06,20140721_061735
KHGX20140721_112156_V06,20140721_062156
KHGX20140721_112616_V06,20140721_062616
KHGX20140721_113036_V06,20140721_063036
KHGX20140721_113457_V06,20140721_063457
KHGX20140721_113917_V06,20140721_063917
KHGX20140721_114337_V06,20140721_064337
KHGX20140721_114758_V06,20140721_064758
KHGX20140721_115218_V06,20140721_065218
KHGX20140721_115638_V06,20140721_065638
KHGX20140721_120059_V06,20140721_070059
KHGX20140721_120519_V06,20140721_070519
KHGX20140721_120938_V06,20140721_070938
KHGX20140721_121358_V06,20140721_071358
KHGX20140721_121819_V06,20140721_071819
KHGX20140721_122239_V06,20140721_072239
KHGX20140721_122659_V06,20140721_072659
KHGX20140721_123120_V06,20140721_073120
KHGX20140721_123540_V06,20140721_073540
KHGX20140721_123959_V06,20140721_073959
KHGX20140721_124419_V06,20140721_074419
KHGX20140721_124840_V06,20140721_074840
KHGX20140721_125259_V06,20140721_075259
KHGX20140721_125719_V06,20140721_075719
KHGX20140721_130139_V06,20140721_080139
KHGX20140726_111526_V06,20140726_061526
KHGX20140726_112509_V06,20140726_062509
KHGX20140726_112843_V06,20140726_062843
KHGX20140726_113252_V06,20140726_063252
KHGX20140726_113707_V06,20140726_063707
KHGX20140726_114121_V06,20140726_064121
KHGX20140726_114535_V06,20140726_064535
KHGX20140726_114949_V06,20140726_064949
KHGX20140726_115404_V06,20140726_065404
KHGX20140726_115825_V06,20140726_065825
KHGX20140726_120246_V06,20140726_070246
KHGX20140726_120708_V06,20140726_070708
KHGX20140726_121129_V06,20140726_071129
KHGX20140726_121550_V06,20140726_071550
KHGX20140726_122011_V06,20140726_072011
KHGX20140726_122433_V06,20140726_072433
KHGX20140726_122854_V06,20140726_072854
KHGX20140726_123315_V06,20140726_073315
KHGX20140726_123736_V06,20140726_073736
KHGX20140726_124158_V06,20140726_074158
KHGX20140726_124618_V06,20140726_074618
KHGX20140726_125038_V06,20140726_075038
KHGX20140726_125500_V06,20140726_075500
KHGX20140726_130441_V06,20140726_080441
KHGX20140802_111119_V06,20140802_061119
KHGX20140802_111525_V06,20140802_061525
KHGX20140802_111931_V06,20140802_061931
KHGX20140802_112337_V06,20140802_062337
KHGX20140802_112737_V06,20140802_062737
KHGX20140802_113137_V06,20140802_063137
KHGX20140802_113536_V06,20140802_063536
KHGX20140802_113948_V06,20140802_063948
KHGX20140802_114355_V06,20140802_064355
KHGX20140802_114814_V06,20140802_064814
KHGX20140802_115213_V06,20140802_065213
