filename,local_time
KICT20170728_110442_V06,20170728_060442
KICT20170728_110905_V06,20170728_060905
KICT20170728_111327_V06,20170728_061327
KICT20170728_111749_V06,20170728_061749
KICT20170728_112205_V06,20170728_062205
KICT20170728_112620_V06,20170728_062620
KICT20170728_113056_V06,20170728_063056
KICT20170728_113519_V06,20170728_063519
KICT20170728_113941_V06,20170728_063941
KICT20170728_114356_V06,20170728_064356
KICT20170728_114813_V06,20170728_064813
KICT20170728_115228_V06,20170728_065228
KICT20170728_120113_V06,20170728_070113
KICT20170728_120537_V06,20170728_070537
KICT20170728_121000_V06,20170728_071000
KICT20170728_121422_V06,20170728_071422
KICT20170728_121846_V06,20170728_071846
KICT20170728_122308_V06,20170728_072308
KICT20170728_122731_V06,20170728_072731
KICT20170728_123153_V06,20170728_073153
KICT20170728_123616_V06,20170728_073616
KICT20170728_124038_V06,20170728_074038
KICT20170728_124500_V06,20170728_074500
KICT20170728_124923_V06,20170728_074923
KICT20170728_125346_V06,20170728_075346
KICT20170729_110230_V06,20170729_060230
KICT20170729_110653_V06,20170729_060653
KICT20170729_111115_V06,20170729_061115
KICT20170729_111537_V06,20170729_061537
KICT20170729_111954_V06,20170729_061954
KICT20170729_112357_V06,20170729_062357
KICT20170729_112819_V06,20170729_062819
KICT20170729_113241_V06,20170729_063241
KICT20170729_113704_V06,20170729_063704
KICT20170729_114127_V06,20170729_064127
KICT20170729_114550_V06,20170729_064550
KICT20170729_115014_V06,20170729_065014
KICT20170729_115437_V06,20170729_065437
KICT20170729_120323_V06,20170729_070323
KICT20170729_120747_V06,20170729_070747
KICT20170729_121209_V06,20170729_071209
KICT20170729_121631_V06,20170729_071631
KICT20170729_122055_V06,20170729_072055
KICT20170729_122517_V06,20170729_072517
KICT20170729_122939_V06,20170729_072939
KICT20170729_123402_V06,20170729_073402
KICT20170729_123825_V06,20170729_073825
KICT20170729_124247_V06,20170729_074247
KICT20170729_124710_V06,20170729_074710
KICT20170729_125133_V06,20170729_075133
KICT20170729_130018_V06,20170729_080018
