filename,local_time
KLVX20210812_102820_V06,20210812_062820
KLVX20210812_103805_V06,20210812_063805
KLVX20210812_104750_V06,20210812_064750
KLVX20210812_110721_V06,20210812_070721
KLVX20210812_111707_V06,20210812_071707
KLVX20210812_112652_V06,20210812_072652
KLVX20210812_113638_V06,20210812_073638
KLVX20210812_114624_V06,20210812_074624
KLVX20210812_120555_V06,20210812_080555
KLVX20210812_121541_V06,20210812_081541
KLVX20210812_122527_V06,20210812_082527
KLVX20210813_103438_V06,20210813_063438
KLVX20210813_104002_V06,20210813_064002
KLVX20210813_104531_V06,20210813_064531
KLVX20210813_110043_V06,20210813_070043
KLVX20210813_111027_V06,20210813_071027
KLVX20210813_112010_V06,20210813_072010
KLVX20210813_112954_V06,20210813_072954
KLVX20210813_113938_V06,20210813_073938
KLVX20210813_114921_V06,20210813_074921
KLVX20210813_120849_V06,20210813_080849
KLVX20210813_121833_V06,20210813_081833
KLVX20210814_103053_V06,20210814_063053
KLVX20210814_103548_V06,20210814_063548
KLVX20210814_104043_V06,20210814_064043
KLVX20210814_104531_V06,20210814_064531
KLVX20210814_105020_V06,20210814_065020
KLVX20210814_105508_V06,20210814_065508
KLVX20210814_110430_V06,20210814_070430
KLVX20210814_110909_V06,20210814_070909
KLVX20210814_111349_V06,20210814_071349
KLVX20210814_111829_V06,20210814_071829
KLVX20210814_112309_V06,20210814_072309
KLVX20210814_112749_V06,20210814_072749
KLVX20210814_113230_V06,20210814_073230
KLVX20210814_113710_V06,20210814_073710
KLVX20210814_114149_V06,20210814_074149
KLVX20210814_114629_V06,20210814_074629
KLVX20210814_115110_V06,20210814_075110
KLVX20210814_120031_V06,20210814_080031
KLVX20210814_121014_V06,20210814_081014
KLVX20210814_121958_V06,20210814_081958
