filename,local_time
KLZK20150808_105528_V06,20150808_055528
KLZK20150808_105928_V06,20150808_055928
KLZK20150808_110328_V06,20150808_060328
KLZK20150808_110728_V06,20150808_060728
KLZK20150808_111128_V06,20150808_061128
KLZK20150808_111527_V06,20150808_061527
KLZK20150808_111926_V06,20150808_061926
KLZK20150808_112326_V06,20150808_062326
KLZK20150808_112725_V06,20150808_062725
KLZK20150808_113124_V06,20150808_063124
KLZK20150808_113525_V06,20150808_063525
KLZK20150808_113924_V06,20150808_063924
KLZK20150808_114323_V06,20150808_064323
KLZK20150808_114723_V06,20150808_064723
KLZK20150808_115123_V06,20150808_065123
KLZK20150808_115523_V06,20150808_065523
KLZK20150808_115922_V06,20150808_065922
KLZK20150808_120321_V06,20150808_070321
KLZK20150808_120721_V06,20150808_070721
KLZK20150808_121120_V06,20150808_071120
KLZK20150808_121520_V06,20150808_071520
KLZK20150808_121919_V06,20150808_071919
KLZK20150808_122318_V06,20150808_072318
KLZK20150808_122718_V06,20150808_072718
KLZK20150808_123117_V06,20150808_073117
KLZK20150808_123517_V06,20150808_073517
KLZK20150808_123916_V06,20150808_073916
KLZK20150808_124317_V06,20150808_074317
KLZK20150808_124716_V06,20150808_074716
KLZK20150808_125116_V06,20150808_075116
KLZK20150809_105518_V06,20150809_055518
KLZK20150809_105918_V06,20150809_055918
KLZK20150809_110317_V06,20150809_060317
KLZK20150809_110716_V06,20150809_060716
KLZK20150809_111117_V06,20150809_061117
KLZK20150809_111516_V06,20150809_061516
KLZK20150809_111916_V06,20150809_061916
KLZK20150809_112316_V06,20150809_062316
KLZK20150809_112716_V06,20150809_062716
KLZK20150809_113115_V06,20150809_063115
KLZK20150809_113515_V06,20150809_063515
KLZK20150809_113916_V06,20150809_063916
KLZK20150809_114316_V06,20150809_064316
KLZK20150809_114716_V06,20150809_064716
KLZK20150809_115117_V06,20150809_065117
KLZK20150809_115517_V06,20150809_065517
KLZK20150809_115917_V06,20150809_065917
KLZK20150809_120319_V06,20150809_070319
KLZK20150809_121343_V06,20150809_071343
KLZK20150809_122408_V06,20150809_072408
KLZK20150809_123433_V06,20150809_073433
KLZK20150809_124458_V06,20150809_074458
