filename,local_time
KMBX20170805_110040_V06,20170805_060040
KMBX20170805_110527_V06,20170805_060527
KMBX20170805_111016_V06,20170805_061016
KMBX20170805_111503_V06,20170805_061503
KMBX20170805_111949_V06,20170805_061949
KMBX20170805_112437_V06,20170805_062437
KMBX20170805_112924_V06,20170805_062924
KMBX20170805_113410_V06,20170805_063410
KMBX20170805_113858_V06,20170805_063858
KMBX20170805_114345_V06,20170805_064345
KMBX20170805_114832_V06,20170805_064832
KMBX20170805_115320_V06,20170805_065320
KMBX20170805_120255_V06,20170805_070255
KMBX20170805_120744_V06,20170805_070744
KMBX20170805_121231_V06,20170805_071231
KMBX20170805_121719_V06,20170805_071719
KMBX20170805_122207_V06,20170805_072207
KMBX20170805_122655_V06,20170805_072655
KMBX20170805_123142_V06,20170805_073142
KMBX20170805_123630_V06,20170805_073630
KMBX20170805_124118_V06,20170805_074118
KMBX20170805_124605_V06,20170805_074605
KMBX20170805_125054_V06,20170805_075054
