filename,local_time
KMTX20200809_120657_V06,20200809_060657
KMTX20200809_121544_V06,20200809_061544
KMTX20200809_122431_V06,20200809_062431
KMTX20200809_123318_V06,20200809_063318
KMTX20200809_124205_V06,20200809_064205
KMTX20200809_125052_V06,20200809_065052
KMTX20200809_130826_V06,20200809_070826
KMTX20200809_131714_V06,20200809_071714
KMTX20200809_132602_V06,20200809_072602
KMTX20200809_133450_V06,20200809_073450
KMTX20200809_134338_V06,20200809_074338
KMTX20200809_140113_V06,20200809_080113
KMTX20200810_120701_V06,20200810_060701
KMTX20200810_121037_V06,20200810_061037
KMTX20200810_121413_V06,20200810_061413
KMTX20200810_121748_V06,20200810_061748
KMTX20200810_122124_V06,20200810_062124
KMTX20200810_122459_V06,20200810_062459
KMTX20200810_122835_V06,20200810_062835
KMTX20200810_123211_V06,20200810_063211
KMTX20200810_123546_V06,20200810_063546
KMTX20200810_123922_V06,20200810_063922
KMTX20200810_124258_V06,20200810_064258
KMTX20200810_124634_V06,20200810_064634
KMTX20200810_125008_V06,20200810_065008
KMTX20200810_125344_V06,20200810_065344
KMTX20200810_130055_V06,20200810_070055
KMTX20200810_130431_V06,20200810_070431
KMTX20200810_130807_V06,20200810_070807
KMTX20200810_131142_V06,20200810_071142
KMTX20200810_131519_V06,20200810_071519
KMTX20200810_132356_V06,20200810_072356
KMTX20200810_133243_V06,20200810_073243
KMTX20200810_134130_V06,20200810_074130
KMTX20200810_135016_V06,20200810_075016
KMTX20200815_121325_V06,20200815_061325
KMTX20200815_122209_V06,20200815_062209
KMTX20200815_123052_V06,20200815_063052
KMTX20200815_123936_V06,20200815_063936
KMTX20200815_124820_V06,20200815_064820
KMTX20200815_130548_V06,20200815_070548
KMTX20200815_131432_V06,20200815_071432
KMTX20200815_132315_V06,20200815_072315
KMTX20200815_133159_V06,20200815_073159
KMTX20200815_134242_V06,20200815_074242
KMTX20200815_140010_V06,20200815_080010
KMTX20200815_140853_V06,20200815_080853
KMTX20200816_121117_V06,20200816_061117
KMTX20200816_122000_V06,20200816_062000
KMTX20200816_122844_V06,20200816_062844
KMTX20200816_123728_V06,20200816_063728
KMTX20200816_124611_V06,20200816_064611
KMTX20200816_130339_V06,20200816_070339
KMTX20200816_131223_V06,20200816_071223
KMTX20200816_132106_V06,20200816_072106
KMTX20200816_132950_V06,20200816_072950
KMTX20200816_133834_V06,20200816_073834
KMTX20200816_134918_V06,20200816_074918
KMTX20200816_140648_V06,20200816_080648
KMTX20200817_121322_V06,20200817_061322
KMTX20200817_122205_V06,20200817_062205
KMTX20200817_123049_V06,20200817_063049
KMTX20200817_123933_V06,20200817_063933
KMTX20200817_124816_V06,20200817_064816
KMTX20200817_130544_V06,20200817_070544
KMTX20200817_131427_V06,20200817_071427
KMTX20200817_132311_V06,20200817_072311
KMTX20200817_133155_V06,20200817_073155
KMTX20200817_134039_V06,20200817_074039
KMTX20200817_134923_V06,20200817_074923
KMTX20200817_140849_V06,20200817_080849
