filename,local_time
KOAX20210814_110731_V06,20210814_060731
KOAX20210814_111434_V06,20210814_061434
KOAX20210814_112138_V06,20210814_062138
KOAX20210814_112841_V06,20210814_062841
KOAX20210814_113545_V06,20210814_063545
KOAX20210814_114248_V06,20210814_064248
KOAX20210814_114952_V06,20210814_064952
KOAX20210814_120534_V06,20210814_070534
KOAX20210814_121236_V06,20210814_071236
KOAX20210814_121941_V06,20210814_071941
KOAX20210814_122645_V06,20210814_072645
KOAX20210814_123350_V06,20210814_073350
KOAX20210814_124053_V06,20210814_074053
KOAX20210814_124756_V06,20210814_074756
KOAX20210814_130204_V06,20210814_080204
KOAX20210826_111959_V06,20210826_061959
KOAX20210826_112445_V06,20210826_062445
KOAX20210826_112930_V06,20210826_062930
KOAX20210826_113414_V06,20210826_063414
KOAX20210826_113900_V06,20210826_063900
KOAX20210826_114346_V06,20210826_064346
KOAX20210826_114831_V06,20210826_064831
KOAX20210826_115315_V06,20210826_065315
KOAX20210826_120244_V06,20210826_070244
KOAX20210826_120728_V06,20210826_070728
KOAX20210826_121213_V06,20210826_071213
KOAX20210826_121651_V06,20210826_071651
KOAX20210826_122136_V06,20210826_072136
KOAX20210826_122621_V06,20210826_072621
KOAX20210826_123106_V06,20210826_073106
KOAX20210826_123717_V06,20210826_073717
KOAX20210826_124317_V06,20210826_074317
KOAX20210826_124851_V06,20210826_074851
KOAX20210826_125434_V06,20210826_075434
KOAX20210826_130733_V06,20210826_080733
KOAX20210826_131345_V06,20210826_081345
KOAX20210827_111849_V06,20210827_061849
KOAX20210827_112400_V06,20210827_062400
KOAX20210827_112929_V06,20210827_062929
KOAX20210827_113449_V06,20210827_063449
KOAX20210827_114009_V06,20210827_064009
KOAX20210827_114537_V06,20210827_064537
KOAX20210827_115107_V06,20210827_065107
KOAX20210827_120156_V06,20210827_070156
KOAX20210827_120727_V06,20210827_070727
KOAX20210827_121226_V06,20210827_071226
KOAX20210827_121725_V06,20210827_071725
KOAX20210827_122223_V06,20210827_072223
KOAX20210827_122722_V06,20210827_072722
KOAX20210827_123238_V06,20210827_073238
KOAX20210827_123753_V06,20210827_073753
KOAX20210827_124245_V06,20210827_074245
KOAX20210827_124737_V06,20210827_074737
KOAX20210827_125217_V06,20210827_075217
KOAX20210827_130159_V06,20210827_080159
KOAX20210827_130658_V06,20210827_080658
KOAX20210827_131312_V06,20210827_081312
KOAX20210828_112011_V06,20210828_062011
KOAX20210828_112351_V06,20210828_062351
KOAX20210828_112733_V06,20210828_062733
KOAX20210828_113122_V06,20210828_063122
KOAX20210828_113513_V06,20210828_063513
KOAX20210828_113941_V06,20210828_063941
KOAX20210828_114327_V06,20210828_064327
KOAX20210828_114747_V06,20210828_064747
KOAX20210828_115158_V06,20210828_065158
KOAX20210828_115607_V06,20210828_065607
KOAX20210828_120412_V06,20210828_070412
KOAX20210828_120808_V06,20210828_070808
KOAX20210828_121151_V06,20210828_071151
KOAX20210828_121534_V06,20210828_071534
KOAX20210828_121931_V06,20210828_071931
KOAX20210828_122327_V06,20210828_072327
KOAX20210828_122708_V06,20210828_072708
KOAX20210828_123049_V06,20210828_073049
KOAX20210828_123438_V06,20210828_073438
KOAX20210828_123828_V06,20210828_073828
KOAX20210828_124219_V06,20210828_074219
KOAX20210828_124610_V06,20210828_074610
KOAX20210828_125001_V06,20210828_075001
KOAX20210828_125329_V06,20210828_075329
KOAX20210828_130053_V06,20210828_080053
KOAX20210828_130443_V06,20210828_080443
KOAX20210828_130826_V06,20210828_080826
KOAX20210828_131231_V06,20210828_081231
KOAX20210828_131615_V06,20210828_081615
KOAX20210829_112214_V06,20210829_062214
KOAX20210829_112712_V06,20210829_062712
KOAX20210829_113232_V06,20210829_063232
KOAX20210829_113731_V06,20210829_063731
KOAX20210829_114250_V06,20210829_064250
KOAX20210829_114810_V06,20210829_064810
KOAX20210829_115329_V06,20210829_065329
KOAX20210829_120341_V06,20210829_070341
KOAX20210829_120900_V06,20210829_070900
KOAX20210829_121419_V06,20210829_071419
KOAX20210829_121939_V06,20210829_071939
KOAX20210829_122458_V06,20210829_072458
KOAX20210829_123018_V06,20210829_073018
KOAX20210829_123537_V06,20210829_073537
KOAX20210829_124106_V06,20210829_074106
KOAX20210829_124625_V06,20210829_074625
KOAX20210829_125132_V06,20210829_075132
KOAX20210829_130212_V06,20210829_080212
KOAX20210829_130732_V06,20210829_080732
KOAX20210829_131252_V06,20210829_081252
KOAX20210829_131811_V06,20210829_081811
KOAX20210903_112804_V06,20210903_062804
KOAX20210903_113216_V06,20210903_063216
KOAX20210903_113626_V06,20210903_063626
KOAX20210903_114037_V06,20210903_064037
