filename,local_time
KOKX20210823_093946_V06,20210823_053946
KOKX20210823_094517_V06,20210823_054517
KOKX20210823_095102_V06,20210823_055102
KOKX20210823_100206_V06,20210823_060206
KOKX20210823_100738_V06,20210823_060738
KOKX20210823_101323_V06,20210823_061323
KOKX20210823_101909_V06,20210823_061909
KOKX20210823_102520_V06,20210823_062520
KOKX20210823_103131_V06,20210823_063131
KOKX20210823_103743_V06,20210823_063743
KOKX20210823_104354_V06,20210823_064354
KOKX20210823_105005_V06,20210823_065005
KOKX20210823_110227_V06,20210823_070227
KOKX20210823_110838_V06,20210823_070838
KOKX20210823_111449_V06,20210823_071449
KOKX20210823_112101_V06,20210823_072101
KOKX20210823_112712_V06,20210823_072712
KOKX20210823_113323_V06,20210823_073323
KOKX20210823_113935_V06,20210823_073935
KOKX20210827_095042_V06,20210827_055042
KOKX20210827_100812_V06,20210827_060812
KOKX20210827_101657_V06,20210827_061657
KOKX20210827_102542_V06,20210827_062542
KOKX20210827_103426_V06,20210827_063426
KOKX20210827_104311_V06,20210827_064311
KOKX20210827_110042_V06,20210827_070042
KOKX20210827_110927_V06,20210827_070927
KOKX20210827_111812_V06,20210827_071812
KOKX20210827_112658_V06,20210827_072658
KOKX20210827_113543_V06,20210827_073543
KOKX20210828_094920_V06,20210828_054920
KOKX20210828_100217_V06,20210828_060217
KOKX20210828_100745_V06,20210828_060745
KOKX20210828_101248_V06,20210828_061248
KOKX20210828_101815_V06,20210828_061815
KOKX20210828_102319_V06,20210828_062319
KOKX20210828_102829_V06,20210828_062829
KOKX20210828_103357_V06,20210828_063357
KOKX20210828_103924_V06,20210828_063924
KOKX20210828_104450_V06,20210828_064450
KOKX20210828_105017_V06,20210828_065017
KOKX20210828_110049_V06,20210828_070049
KOKX20210828_110553_V06,20210828_070553
KOKX20210828_111056_V06,20210828_071056
KOKX20210828_111553_V06,20210828_071553
KOKX20210828_112057_V06,20210828_072057
KOKX20210828_112600_V06,20210828_072600
KOKX20210828_113057_V06,20210828_073057
KOKX20210828_113554_V06,20210828_073554
KOKX20210828_114025_V06,20210828_074025
KOKX20210829_094650_V06,20210829_054650
KOKX20210829_095048_V06,20210829_055048
KOKX20210829_095446_V06,20210829_055446
KOKX20210829_100451_V06,20210829_060451
KOKX20210829_100903_V06,20210829_060903
KOKX20210829_101302_V06,20210829_061302
KOKX20210829_101700_V06,20210829_061700
KOKX20210829_102105_V06,20210829_062105
KOKX20210829_102510_V06,20210829_062510
KOKX20210829_102914_V06,20210829_062914
