filename,local_time
KPAH20191019_114131_V06,20191019_064131
KPAH20191019_120047_V06,20191019_070047
KPAH20191019_121024_V06,20191019_071024
KPAH20191019_122002_V06,20191019_072002
KPAH20191019_122941_V06,20191019_072941
KPAH20191019_123919_V06,20191019_073919
KPAH20191019_124857_V06,20191019_074857
KPAH20191019_130814_V06,20191019_080814
KPAH20191019_131751_V06,20191019_081751
KPAH20191019_132730_V06,20191019_082730
KPAH20191020_114022_V06,20191020_064022
KPAH20191020_115000_V06,20191020_065000
KPAH20191020_120915_V06,20191020_070915
KPAH20191020_121854_V06,20191020_071854
KPAH20191020_122831_V06,20191020_072831
KPAH20191020_123810_V06,20191020_073810
KPAH20191020_124747_V06,20191020_074747
KPAH20191020_130703_V06,20191020_080703
KPAH20191020_131641_V06,20191020_081641
KPAH20191020_132619_V06,20191020_082619
KPAH20191020_133556_V06,20191020_083556
