filename,local_time
KVAX20171126_113822_V06,20171126_063822
KVAX20171126_114807_V06,20171126_064807
KVAX20171126_120735_V06,20171126_070735
KVAX20171126_121719_V06,20171126_071719
KVAX20171126_122214_V06,20171126_072214
KVAX20171126_122711_V06,20171126_072711
KVAX20171126_123206_V06,20171126_073206
KVAX20171126_123701_V06,20171126_073701
KVAX20171126_124156_V06,20171126_074156
KVAX20171126_124652_V06,20171126_074652
KVAX20171126_125147_V06,20171126_075147
KVAX20171126_130138_V06,20171126_080138
KVAX20171126_130831_V06,20171126_080831
KVAX20171126_131326_V06,20171126_081326
KVAX20171126_131821_V06,20171126_081821
KVAX20171126_132316_V06,20171126_082316
KVAX20171126_132811_V06,20171126_082811
KVAX20171126_133307_V06,20171126_083307
KVAX20171126_133802_V06,20171126_083802
