track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
11,KBOX20150801_093947_V06,2,0.083,248.03,506.545837,16.419930,-71.45,41.025555,8209.964752,20150801_053947
11,KBOX20150801_094441_V06,7,0.111,248.06,506.442625,22.454571,-71.45,41.026020,11227.285726,20150801_054441
11,KBOX20150801_094935_V06,12,-1.000,248.08,506.359389,28.859928,-71.45,41.026396,14429.963930,20150801_054935
11,KBOX20150801_095430_V06,17,0.347,245.57,520.784351,27.053912,-71.46,40.961409,13526.956189,20150801_055430
2,KBOX20150801_091018_V06,-27,0.067,152.37,510.449402,15.151424,-72.01,41.005018,7575.712204,20150801_051018
2,KBOX20150801_091513_V06,-22,-1.000,152.37,510.449402,23.101424,-72.01,41.005018,11550.712204,20150801_051513
2,KBOX20150801_092008_V06,-17,0.297,162.33,518.256341,25.794335,-71.96,40.970312,12897.167685,20150801_052008
14,KBOX20150801_094441_V06,7,0.054,469.52,267.546600,13.218719,-70.11,42.097353,6609.359741,20150801_054441
14,KBOX20150801_094935_V06,12,0.078,467.86,267.066263,20.132232,-70.12,42.099604,10066.115810,20150801_054935
15,KBOX20150801_094935_V06,12,0.062,111.49,417.090424,25.788033,-72.27,41.423152,12894.016266,20150801_054935
15,KBOX20150801_095430_V06,17,0.491,113.51,419.265831,32.226437,-72.25,41.413478,16113.218656,20150801_055430
20,KBOX20150801_101902_V06,42,0.296,270.30,423.406555,26.424942,-71.32,41.400142,13212.471008,20150801_061902
20,KBOX20150801_102357_V06,46,0.108,271.76,423.121758,32.219097,-71.31,41.401437,16109.548360,20150801_062357
1,KBOX20150801_091018_V06,-27,0.071,381.13,196.813690,22.567490,-70.64,42.419258,11283.744812,20150801_051018
4,KBOX20150801_092008_V06,-17,0.051,443.02,317.847137,32.160934,-70.28,41.872255,16080.467224,20150801_052008
5,KBOX20150801_092504_V06,-12,0.084,288.27,406.415833,28.656120,-71.21,41.476750,14328.060150,20150801_052504
7,KBOX20150801_092504_V06,-12,0.052,146.15,495.152740,20.416813,-72.05,41.073592,10208.406448,20150801_052504
8,KBOX20150801_093452_V06,-3,0.308,361.78,256.323334,10.683945,-70.76,42.151833,5341.972351,20150801_053452
9,KBOX20150801_093452_V06,-3,0.105,472.06,268.632812,14.771423,-70.10,42.092326,7385.711670,20150801_053452
12,KBOX20150801_094441_V06,7,0.305,96.34,281.881287,10.594280,-72.37,42.030811,5297.140121,20150801_054441
16,KBOX20150801_100419_V06,27,0.058,276.19,383.333801,20.406094,-71.28,41.580596,10203.046799,20150801_060419
17,KBOX20150801_100913_V06,32,0.276,535.34,488.200562,38.324078,-69.74,41.099958,19162.038803,20150801_060913
18,KBOX20150801_100913_V06,32,0.074,462.85,424.391052,27.952606,-70.16,41.391699,13976.303101,20150801_060913
19,KBOX20150801_101407_V06,37,0.147,324.14,505.779724,17.102890,-70.99,41.029333,8551.445007,20150801_061407
21,KBOX20150801_103841_V06,61,0.097,407.45,196.596588,31.031723,-70.48,42.419441,15515.861511,20150801_063841
22,KBOX20150801_103841_V06,61,0.082,34.94,464.623657,12.282555,-72.72,41.203769,6141.277313,20150801_063841
23,KBOX20150801_104336_V06,66,0.133,306.65,457.143616,38.697258,-71.10,41.248387,19348.628998,20150801_064336
4,KBOX20150802_092815_V06,-10,0.963,97.15,443.015076,7.701149,-72.35,41.305576,3850.574493,20150802_052815
4,KBOX20150802_093757_V06,-1,0.925,96.42,443.616918,13.588239,-72.35,41.302820,6794.119434,20150802_053757
4,KBOX20150802_094739_V06,9,0.830,100.60,448.832824,21.608306,-72.33,41.279604,10804.153023,20150802_054739
4,KBOX20150802_095720_V06,19,0.559,105.35,457.111437,32.411108,-72.30,41.242629,16205.553808,20150802_055720
13,KBOX20150802_094739_V06,9,0.073,181.63,372.107971,5.990829,-71.85,41.629019,2995.414734,20150802_054739
13,KBOX20150802_095720_V06,19,0.097,180.99,368.842052,15.546110,-71.85,41.643696,7773.055043,20150802_055720
15,KBOX20150802_094739_V06,9,0.059,292.85,396.684875,9.956100,-71.18,41.520572,4978.050232,20150802_054739
15,KBOX20150802_095720_V06,19,0.093,298.66,402.244847,17.078644,-71.15,41.495549,8539.322145,20150802_055720
1,KBOX20150802_091833_V06,-20,0.182,363.91,274.447754,12.794510,-70.75,42.070205,6397.254944,20150802_051833
5,KBOX20150802_093757_V06,-1,0.723,368.87,135.457825,14.087387,-70.72,42.695716,7043.693542,20150802_053757
6,KBOX20150802_093757_V06,-1,0.236,293.48,394.486023,16.619324,-71.18,41.530472,8309.661865,20150802_053757
9,KBOX20150802_093757_V06,-1,0.062,68.16,436.139465,13.863953,-72.52,41.334556,6931.976318,20150802_053757
10,KBOX20150802_094739_V06,9,0.289,80.63,303.921844,27.422318,-72.46,41.930557,13711.158752,20150802_054739
16,KBOX20150802_095720_V06,19,0.328,363.94,309.594055,14.890091,-70.75,41.911995,7445.045471,20150802_055720
20,KBOX20150802_095720_V06,19,0.070,467.05,271.739563,16.418976,-70.13,42.078613,8209.487915,20150802_055720
20,KBOX20150802_100705_V06,29,0.075,453.84,276.096893,9.426239,-70.21,42.059673,4713.119507,20150802_060705
21,KBOX20150802_100705_V06,29,0.170,206.02,349.941833,2.835403,-71.70,41.729617,1417.701721,20150802_060705
23,KBOX20150802_102629_V06,48,0.050,30.22,428.621216,36.419926,-72.75,41.365422,18209.962845,20150802_062629
17,KBOX20150805_094102_V06,0,0.083,98.02,439.046417,19.909267,-72.34,41.323495,9954.633713,20150805_054102
17,KBOX20150805_094558_V06,4,0.605,99.83,440.191802,24.395770,-72.33,41.318453,12197.885027,20150805_054558
17,KBOX20150805_095052_V06,9,0.717,102.90,444.339204,24.032909,-72.31,41.299974,12016.454495,20150805_055052
17,KBOX20150805_095546_V06,14,0.708,105.01,446.838586,25.195724,-72.30,41.288853,12597.862127,20150805_055546
17,KBOX20150805_100041_V06,19,0.304,108.97,446.307963,31.574059,-72.28,41.291479,15787.029389,20150805_060041
17,KBOX20150805_100535_V06,24,0.431,106.40,450.374660,31.290412,-72.29,41.273019,15645.205889,20150805_060535
17,KBOX20150805_101030_V06,29,0.553,105.99,449.698444,34.638852,-72.30,41.276038,17319.426217,20150805_061030
17,KBOX20150805_101526_V06,34,0.552,106.90,457.798134,32.900908,-72.29,41.239632,16450.454024,20150805_061526
17,KBOX20150805_102020_V06,39,0.130,111.16,465.345528,30.377378,-72.26,41.205910,15188.688832,20150805_062020
5,KBOX20150805_092123_V06,-20,0.407,359.32,267.806030,2.677155,-70.78,42.100192,1338.577271,20150805_052123
5,KBOX20150805_092617_V06,-15,0.775,360.14,268.043716,8.806144,-70.77,42.099107,4403.071918,20150805_052617
5,KBOX20150805_093111_V06,-10,0.107,362.37,269.170338,15.643489,-70.76,42.093992,7821.744364,20150805_053111
19,KBOX20150805_094558_V06,4,0.378,439.83,298.610199,47.153713,-70.29,41.958989,23576.856613,20150805_054558
19,KBOX20150805_095052_V06,9,0.703,440.29,299.630532,50.662678,-70.29,41.954376,25331.339103,20150805_055052
19,KBOX20150805_095546_V06,14,0.502,439.69,298.315980,50.884648,-70.30,41.960320,25442.323846,20150805_055546
3,KBOX20150805_091425_V06,-27,0.063,298.76,557.563782,37.473427,-71.14,40.796272,18736.713409,20150805_051425
3,KBOX20150805_092123_V06,-20,0.117,301.34,558.356017,47.452868,-71.13,40.792705,23726.434160,20150805_052123
6,KBOX20150805_092123_V06,-20,0.248,459.70,271.919037,13.823456,-70.17,42.078186,6911.727905,20150805_052123
6,KBOX20150805_092617_V06,-15,0.052,459.29,270.205004,21.707191,-70.17,42.085922,10853.595298,20150805_052617
14,KBOX20150805_093607_V06,-5,0.127,437.45,360.387634,13.484581,-70.31,41.681010,6742.290497,20150805_053607
14,KBOX20150805_094102_V06,0,0.073,437.93,363.579653,23.020584,-70.31,41.666621,11510.292249,20150805_054102
16,KBOX20150805_094102_V06,0,0.298,240.13,88.333496,36.531857,-71.50,42.908002,18265.928268,20150805_054102
16,KBOX20150805_094558_V06,4,0.406,240.41,89.251666,40.697148,-71.50,42.903875,20348.573930,20150805_054558
26,KBOX20150805_100041_V06,19,0.092,462.40,564.779541,31.993454,-70.18,40.759713,15996.726990,20150805_060041
26,KBOX20150805_100535_V06,24,0.109,463.78,565.139736,37.325186,-70.17,40.758022,18662.592793,20150805_060535
36,KBOX20150805_101030_V06,29,0.237,456.66,275.058990,7.739441,-70.19,42.064206,3869.720459,20150805_061030
36,KBOX20150805_101526_V06,34,0.074,456.47,275.762481,13.689044,-70.19,42.061049,6844.521892,20150805_061526
36,KBOX20150805_102020_V06,39,-1.000,456.31,276.329812,20.025820,-70.19,42.058503,10012.910145,20150805_062020
36,KBOX20150805_102515_V06,44,0.260,455.00,278.565613,7.228043,-70.20,42.048504,3614.021301,20150805_062515
36,KBOX20150805_103010_V06,49,0.083,456.75,278.418806,14.312411,-70.19,42.049079,7156.205437,20150805_063010
38,KBOX20150805_101030_V06,29,0.051,243.62,429.623810,4.724808,-71.47,41.371793,2362.403870,20150805_061030
38,KBOX20150805_101526_V06,34,0.077,243.58,429.602682,10.692384,-71.47,41.371887,5346.192227,20150805_061526
42,KBOX20150805_102515_V06,44,0.234,483.17,281.693146,14.397507,-70.03,42.032916,7198.753357,20150805_062515
42,KBOX20150805_103010_V06,49,0.061,484.33,280.493843,20.592366,-70.02,42.038246,10296.182852,20150805_063010
52,KBOX20150805_105937_V06,78,0.481,456.91,275.366394,9.798386,-70.19,42.062810,4899.192810,20150805_065937
52,KBOX20150805_110432_V06,83,0.570,457.00,275.220390,14.094016,-70.19,42.063462,7047.007829,20150805_070432
1,KBOX20150805_091425_V06,-27,0.085,456.05,295.967468,21.104599,-70.20,41.970125,10552.299500,20150805_051425
2,KBOX20150805_091425_V06,-27,0.076,326.89,361.984467,55.164104,-70.98,41.676682,27582.052231,20150805_051425
2,KBOX20150805_092123_V06,-20,-1.000,326.89,361.984467,66.294104,-70.98,41.676682,33147.052231,20150805_052123
2,KBOX20150805_092617_V06,-15,0.082,334.45,371.861633,39.783779,-70.93,41.632144,19891.889572,20150805_052617
8,KBOX20150805_092123_V06,-20,0.060,383.53,77.867432,3.173264,-70.63,42.954557,1586.631775,20150805_052123
13,KBOX20150805_093111_V06,-10,0.059,237.99,334.376831,2.877914,-71.51,41.800471,1438.957214,20150805_053111
