track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KCLE20210709_111506_V06,73,0.116,278.50,388.329712,2.565331,-81.99,41.015315,1282.665253,20210709_071506
6,KCLE20210711_103203_V06,28,0.096,342.86,284.000885,11.328476,-81.60,41.484801,5664.237976,20210711_063203
6,KCLE20210711_103853_V06,34,0.100,342.36,284.039866,18.393262,-81.61,41.484633,9196.630793,20210711_063853
5,KCLE20210711_102512_V06,21,0.059,357.62,286.638794,18.402954,-81.52,41.472695,9201.477051,20210711_062512
7,KCLE20210711_103203_V06,28,0.071,402.70,338.722656,19.144871,-81.25,41.237095,9572.435379,20210711_063203
4,KCLE20210719_101350_V06,3,0.187,243.71,376.675964,14.988483,-82.19,41.067366,7494.241714,20210719_061350
4,KCLE20210719_102232_V06,12,0.329,260.35,379.877979,26.552337,-82.10,41.053196,13276.168701,20210719_062232
4,KCLE20210719_103321_V06,23,0.102,297.81,368.316182,25.871995,-81.87,41.105492,12935.997509,20210719_063321
1,KCLE20210719_094744_V06,-23,0.291,359.38,408.168304,8.355904,-81.51,40.925524,4177.951813,20210719_054744
1,KCLE20210719_100508_V06,-5,0.074,343.78,422.584986,16.343985,-81.60,40.860862,8171.992729,20210719_060508
2,KCLE20210719_100508_V06,-5,0.085,169.44,327.136017,24.483353,-82.64,41.288251,12241.676331,20210719_060508
3,KCLE20210719_100508_V06,-5,0.051,147.43,340.795197,5.782291,-82.77,41.225794,2891.145706,20210719_060508
5,KCLE20210719_101350_V06,3,0.095,120.16,300.654419,10.238188,-82.94,41.405088,5119.093895,20210719_061350
7,KCLE20210719_102232_V06,12,0.152,98.02,423.424866,6.087891,-83.06,40.851111,3043.945312,20210719_062232
11,KCLE20210719_104204_V06,32,0.056,422.19,304.044006,6.123001,-81.13,41.392534,3061.500549,20210719_064204
6,KCLE20210804_101308_V06,-12,0.947,193.68,58.599365,20.386826,-82.51,42.497942,10193.412781,20210804_061308
6,KCLE20210804_102124_V06,-4,0.961,194.57,61.201490,28.853610,-82.50,42.486260,14426.805097,20210804_062124
6,KCLE20210804_102952_V06,4,0.945,193.33,65.904153,40.983748,-82.51,42.465051,20491.874007,20210804_062952
6,KCLE20210804_103827_V06,13,0.885,196.09,67.914567,51.296792,-82.49,42.456095,25648.395825,20210804_063827
6,KCLE20210804_104701_V06,22,0.080,199.94,75.487702,59.298988,-82.47,42.422133,29649.493766,20210804_064701
1,KCLE20210804_100239_V06,-23,0.961,350.84,410.584656,14.332718,-81.56,40.914790,7166.358948,20210804_060239
1,KCLE20210804_101308_V06,-12,0.885,353.24,414.531968,24.156975,-81.54,40.896979,12078.487456,20210804_061308
1,KCLE20210804_102124_V06,-4,0.955,348.94,417.869632,29.555290,-81.57,40.882019,14777.645226,20210804_062124
1,KCLE20210804_102952_V06,4,0.065,345.56,421.455784,38.696565,-81.59,40.865922,19348.282292,20210804_062952
13,KCLE20210804_102124_V06,-4,0.089,287.43,367.529114,13.944748,-81.93,41.109012,6972.373962,20210804_062124
13,KCLE20210804_102952_V06,4,0.303,280.59,370.657312,25.827888,-81.98,41.094894,12913.944139,20210804_062952
13,KCLE20210804_103827_V06,13,0.068,262.10,363.521352,33.137067,-82.09,41.126858,16568.533400,20210804_063827
13,KCLE20210804_104701_V06,22,0.135,278.68,373.620941,17.079346,-81.99,41.081539,8539.672852,20210804_064701
11,KCLE20210804_102124_V06,-4,0.335,83.09,169.432068,20.204193,-83.17,41.993439,10102.096558,20210804_062124
11,KCLE20210804_102952_V06,4,-1.000,83.09,169.432068,32.924193,-83.17,41.993439,16462.096558,20210804_062952
11,KCLE20210804_103827_V06,13,0.051,78.96,186.770548,47.720785,-83.19,41.915118,23860.392311,20210804_063827
17,KCLE20210804_102952_V06,4,0.096,354.93,276.842804,15.819168,-81.53,41.516843,7909.584045,20210804_062952
17,KCLE20210804_103827_V06,13,0.098,360.37,281.437916,27.917437,-81.50,41.496058,13958.718388,20210804_063827
20,KCLE20210804_102952_V06,4,0.065,417.23,585.552246,18.020096,-81.17,40.125284,9010.047913,20210804_062952
20,KCLE20210804_103827_V06,13,0.228,417.26,583.917671,27.577300,-81.17,40.132643,13788.650192,20210804_063827
16,KCLE20210804_102952_V06,4,0.139,212.53,372.363190,4.503769,-82.38,41.086091,2251.884460,20210804_062952
16,KCLE20210804_103827_V06,13,-1.000,212.53,372.363190,18.813769,-82.38,41.086091,9406.884460,20210804_063827
16,KCLE20210804_104701_V06,22,0.135,237.57,383.916200,22.593655,-82.23,41.034657,11296.827572,20210804_064701
3,KCLE20210804_100239_V06,-23,0.167,381.73,375.766479,7.628227,-81.37,41.070919,3814.113617,20210804_060239
7,KCLE20210804_101308_V06,-12,0.343,390.95,208.831085,9.595215,-81.31,41.822190,4797.607422,20210804_061308
10,KCLE20210804_101308_V06,-12,0.094,285.30,468.987305,6.262680,-81.95,40.652197,3131.340027,20210804_061308
12,KCLE20210804_102124_V06,-4,0.113,205.65,246.030823,27.977768,-82.43,41.654633,13988.883972,20210804_062124
18,KCLE20210804_102952_V06,4,0.079,318.22,291.449341,7.168427,-81.75,41.451503,3584.213257,20210804_062952
24,KCLE20210804_104701_V06,22,0.124,37.78,421.692535,50.501743,-83.41,40.854616,25250.871658,20210804_064701
25,KCLE20210804_104701_V06,22,0.095,288.19,567.016052,27.629833,-81.93,40.210808,13814.916611,20210804_064701
26,KCLE20210804_110425_V06,39,0.092,162.23,302.585724,20.495560,-82.68,41.398470,10247.779846,20210804_070425
27,KCLE20210804_110425_V06,39,0.059,236.48,248.263306,12.459999,-82.24,41.645343,6229.999542,20210804_070425
24,KCLE20210815_103032_V06,-6,0.769,77.71,173.698486,19.804855,-83.20,41.973865,9902.427673,20210815_063032
24,KCLE20210815_103600_V06,0,0.810,75.81,173.710717,27.720385,-83.21,41.973677,13860.192598,20210815_063600
24,KCLE20210815_104128_V06,5,0.762,74.80,173.989786,31.118688,-83.22,41.972349,15559.344158,20210815_064128
24,KCLE20210815_104656_V06,10,0.629,75.86,177.074281,38.472476,-83.21,41.958542,19236.237978,20210815_064656
24,KCLE20210815_105223_V06,16,0.355,74.52,182.708382,51.428626,-83.22,41.933089,25714.312868,20210815_065223
24,KCLE20210815_110518_V06,29,0.174,90.80,202.157002,74.535330,-83.12,41.846665,37267.664941,20210815_070518
24,KCLE20210815_111045_V06,34,0.148,99.09,200.829668,71.852174,-83.07,41.853172,35926.087044,20210815_071045
24,KCLE20210815_111613_V06,40,0.214,102.24,196.980732,71.001144,-83.05,41.870694,35500.571992,20210815_071613
24,KCLE20210815_112140_V06,45,0.052,101.21,198.539625,74.761400,-83.06,41.863613,37380.700151,20210815_072140
49,KCLE20210815_110518_V06,29,0.129,185.98,578.633423,35.660378,-82.53,40.156550,17830.188751,20210815_070518
49,KCLE20210815_111045_V06,34,0.076,185.76,577.193001,43.284518,-82.53,40.163029,21642.258777,20210815_071045
49,KCLE20210815_111613_V06,40,0.167,186.09,571.310762,47.043955,-82.53,40.189527,23521.977710,20210815_071613
49,KCLE20210815_112140_V06,45,0.211,189.76,565.866294,45.603772,-82.51,40.214166,22801.886007,20210815_072140
49,KCLE20210815_112707_V06,51,0.126,196.52,557.232442,49.492759,-82.47,40.253261,24746.379491,20210815_072707
49,KCLE20210815_113235_V06,56,0.195,206.18,549.785162,54.466441,-82.41,40.287083,27233.220435,20210815_073235
49,KCLE20210815_113803_V06,62,0.188,195.28,547.375452,56.332306,-82.48,40.297605,28166.152931,20210815_073803
49,KCLE20210815_114331_V06,67,0.071,182.89,547.226973,56.000059,-82.55,40.297857,28000.029485,20210815_074331
49,KCLE20210815_114859_V06,72,0.059,167.02,548.654472,52.612045,-82.64,40.290827,26306.022470,20210815_074859
46,KCLE20210815_105223_V06,16,0.117,416.05,573.684021,22.063683,-81.18,40.178766,11031.841278,20210815_065223
