track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
23,KCLX20160820_113300_V06,42,0.725,375.01,335.779785,36.676434,-80.64,32.493605,18338.216782,20160820_073300
23,KCLX20160820_113612_V06,45,-1.000,375.01,335.779785,41.446434,-80.64,32.493605,20723.216782,20160820_073612
23,KCLX20160820_113924_V06,48,0.102,374.91,338.031600,42.434285,-80.64,32.483454,21217.142322,20160820_073924
23,KCLX20160820_114237_V06,51,0.286,376.68,340.238420,40.520989,-80.63,32.473474,20260.494467,20160820_074237
23,KCLX20160820_114550_V06,54,0.063,378.40,340.916834,40.620953,-80.63,32.470385,20310.476720,20160820_074550
23,KCLX20160820_114902_V06,58,-1.000,380.25,342.564692,40.603333,-80.62,32.462923,20301.666503,20160820_074902
23,KCLX20160820_115215_V06,61,-1.000,381.63,343.800586,40.590118,-80.61,32.457325,20295.058840,20160820_075215
23,KCLX20160820_115527_V06,64,-1.000,383.02,345.036479,40.576902,-80.60,32.451727,20288.451176,20160820_075527
23,KCLX20160820_115840_V06,67,0.592,378.70,343.463908,43.666429,-80.62,32.458896,21833.214652,20160820_075840
37,KCLX20160820_120505_V06,74,0.167,364.24,296.849609,5.432159,-80.70,32.669297,2716.079712,20160820_080505
37,KCLX20160820_120819_V06,77,-1.000,364.24,296.849609,10.202159,-80.70,32.669297,5101.079712,20160820_080819
37,KCLX20160820_121133_V06,80,-1.000,364.24,296.849609,14.972159,-80.70,32.669297,7486.079712,20160820_081133
37,KCLX20160820_121446_V06,83,0.090,358.52,303.395302,16.890367,-80.73,32.639864,8445.183251,20160820_081446
37,KCLX20160820_121758_V06,86,0.086,352.22,311.139650,24.602928,-80.76,32.605027,12301.463759,20160820_081758
37,KCLX20160820_122110_V06,90,0.089,348.11,316.912552,28.325591,-80.79,32.579046,14162.795648,20160820_082110
12,KCLX20160820_105746_V06,6,0.277,370.01,356.460999,42.165688,-80.67,32.400441,21082.843781,20160820_065746
12,KCLX20160820_110058_V06,9,-1.000,370.01,356.460999,46.935688,-80.67,32.400441,23467.843781,20160820_070058
12,KCLX20160820_110410_V06,13,0.183,370.38,357.900136,47.583024,-80.67,32.393946,23791.512083,20160820_070410
12,KCLX20160820_110722_V06,16,-1.000,370.60,358.732779,49.047840,-80.67,32.390189,24523.920172,20160820_070722
12,KCLX20160820_111035_V06,19,-1.000,370.81,359.565423,50.512657,-80.67,32.386431,25256.328261,20160820_071035
12,KCLX20160820_111347_V06,22,-1.000,371.03,360.398067,51.977473,-80.66,32.382674,25988.736350,20160820_071347
12,KCLX20160820_111659_V06,25,0.071,376.87,358.604127,50.981753,-80.63,32.390665,25490.876565,20160820_071659
12,KCLX20160820_112011_V06,29,-1.000,379.26,358.729047,52.011856,-80.62,32.390060,26005.928188,20160820_072011
12,KCLX20160820_112323_V06,32,0.067,381.46,345.215179,39.436096,-80.61,32.450950,19718.048096,20160820_072323
12,KCLX20160820_112635_V06,35,0.129,381.75,344.592209,44.375229,-80.61,32.453754,22187.614395,20160820_072635
12,KCLX20160820_112948_V06,38,0.716,383.28,341.382898,44.159924,-80.60,32.468195,22079.962016,20160820_072948
12,KCLX20160820_113300_V06,42,-1.000,384.79,338.219856,45.874966,-80.59,32.482428,22937.482769,20160820_073300
12,KCLX20160820_113612_V06,45,0.076,364.86,302.925476,14.461349,-80.70,32.641894,7230.674744,20160820_073612
24,KCLX20160820_113612_V06,45,0.163,388.65,295.610687,16.975433,-80.57,32.674460,8487.716675,20160820_073612
24,KCLX20160820_113924_V06,48,0.454,388.85,296.355545,20.922308,-80.57,32.671098,10461.153933,20160820_073924
24,KCLX20160820_114237_V06,51,0.111,392.03,297.333151,23.149021,-80.55,32.666625,11574.510424,20160820_074237
2,KCLX20160820_104144_V06,-10,0.067,453.21,60.018677,4.424652,-80.22,33.734739,2212.326050,20160820_064144
2,KCLX20160820_104456_V06,-7,0.107,453.64,60.379398,8.980566,-80.21,33.733098,4490.282758,20160820_064456
4,KCLX20160820_104808_V06,-3,0.412,372.97,355.622131,39.887959,-80.65,32.404176,19943.979263,20160820_064808
4,KCLX20160820_105121_V06,0,0.096,372.85,356.011642,44.003493,-80.66,32.402421,22001.746306,20160820_065121
5,KCLX20160820_104808_V06,-3,0.055,257.17,114.562988,2.829575,-81.27,33.491360,1414.787292,20160820_064808
5,KCLX20160820_105121_V06,0,0.339,257.26,114.479869,7.653903,-81.27,33.491736,3826.951318,20160820_065121
7,KCLX20160820_105121_V06,0,0.289,300.23,157.642944,4.826935,-81.04,33.297363,2413.467407,20160820_065121
7,KCLX20160820_105434_V06,3,0.053,300.03,158.413438,9.455904,-81.04,33.293889,4727.952104,20160820_065434
1,KCLX20160820_103831_V06,-13,0.230,414.17,91.010376,7.500031,-80.43,33.596243,3750.015259,20160820_063831
3,KCLX20160820_104456_V06,-7,0.064,385.72,107.549500,2.703857,-80.58,33.522342,1351.928711,20160820_064456
6,KCLX20160820_105121_V06,0,0.428,337.89,122.103210,11.765335,-80.84,33.457415,5882.667542,20160820_065121
10,KCLX20160820_105121_V06,0,0.057,378.72,155.313110,11.303818,-80.62,33.307156,5651.908875,20160820_065121
11,KCLX20160820_105434_V06,3,0.067,137.61,326.646332,5.439575,-81.91,32.532444,2719.787598,20160820_065434
13,KCLX20160820_105746_V06,6,0.173,68.47,359.308716,3.178268,-82.27,32.382121,1589.134216,20160820_065746
15,KCLX20160820_110058_V06,9,0.064,134.38,376.555878,33.902313,-81.92,32.307306,16951.156616,20160820_070058
16,KCLX20160820_111035_V06,19,0.178,388.91,373.217468,26.370987,-80.57,32.324552,13185.493469,20160820_071035
21,KCLX20160820_112635_V06,35,0.112,427.66,332.100159,5.564926,-80.36,32.508992,2782.463074,20160820_072635
30,KCLX20160820_115215_V06,61,0.055,339.26,354.341797,13.546181,-80.83,32.410374,6773.090363,20160820_075215
31,KCLX20160820_115527_V06,64,0.126,388.49,297.275360,17.190643,-80.57,32.666958,8595.321655,20160820_075527
31,KCLX20160820_115840_V06,67,-1.000,388.49,297.275360,21.960643,-80.57,32.666958,10980.321655,20160820_075840
31,KCLX20160820_120153_V06,70,0.157,388.91,298.557922,16.810013,-80.57,32.661167,8405.006409,20160820_080153
33,KCLX20160820_115840_V06,67,0.065,430.40,216.363983,30.558807,-80.34,33.030694,15279.403687,20160820_075840
1,KCLX20161018_110848_V06,-22,0.617,392.45,326.865723,7.585388,-80.55,32.533466,3792.694092,20161018_070848
1,KCLX20161018_111831_V06,-12,0.167,394.55,323.809798,18.464282,-80.54,32.547200,9232.140936,20161018_071831
1,KCLX20161018_112813_V06,-2,0.803,392.71,328.026303,21.819078,-80.55,32.528228,10909.539127,20161018_072813
1,KCLX20161018_113756_V06,7,0.122,374.66,331.513513,36.601771,-80.64,32.512847,18300.885361,20161018_073756
1,KCLX20161018_114739_V06,17,0.128,389.12,326.466816,45.435426,-80.57,32.535333,22717.713163,20161018_074739
7,KCLX20161018_111831_V06,-12,0.847,298.87,420.490601,12.944344,-81.05,32.112288,6472.171783,20161018_071831
7,KCLX20161018_112813_V06,-2,0.599,302.31,425.509012,19.229845,-81.03,32.089660,9614.922362,20161018_072813
7,KCLX20161018_113756_V06,7,0.257,303.94,427.865589,23.676689,-81.02,32.079033,11838.344702,20161018_073756
7,KCLX20161018_114739_V06,17,0.055,289.01,413.633307,41.846383,-81.10,32.143195,20923.191276,20161018_074739
12,KCLX20161018_112813_V06,-2,0.099,286.27,166.977448,14.065842,-81.12,33.255260,7032.920837,20161018_072813
13,KCLX20161018_112813_V06,-2,0.079,204.17,324.072784,14.340630,-81.55,32.545987,7170.314789,20161018_072813
13,KCLX20161018_113756_V06,7,0.164,199.61,313.536896,4.316566,-81.58,32.593388,2158.283234,20161018_073756
23,KCLX20161018_113756_V06,7,0.066,20.14,233.792847,13.437710,-82.54,32.945142,6718.854904,20161018_073756
25,KCLX20161018_114739_V06,17,0.110,344.03,411.586609,13.580238,-80.81,32.152220,6790.119171,20161018_074739
