track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
3,KDYX20190723_111858_V06,-27,0.202,307.37,358.308533,15.618622,-99.22,32.275422,7809.310913,20190723_061858
3,KDYX20190723_112338_V06,-22,0.750,306.16,359.939612,19.859532,-99.22,32.268069,9929.766136,20190723_062338
3,KDYX20190723_112819_V06,-17,0.226,312.42,352.559377,22.022045,-99.19,32.301333,11011.022632,20190723_062819
3,KDYX20190723_113300_V06,-12,-1.000,317.46,346.646966,24.656572,-99.16,32.327974,12328.286163,20190723_063300
3,KDYX20190723_114237_V06,-3,-1.000,326.53,336.004626,29.398721,-99.11,32.375914,14699.360520,20190723_064237
3,KDYX20190723_120147_V06,16,0.071,291.30,307.565563,51.161669,-99.30,32.504210,25580.834526,20190723_070147
3,KDYX20190723_121123_V06,26,0.181,289.77,304.352950,50.521239,-99.31,32.518692,25260.619461,20190723_071123
3,KDYX20190723_122059_V06,35,-1.000,287.34,299.830713,51.461501,-99.32,32.539075,25730.750505,20190723_072059
3,KDYX20190723_123035_V06,45,-1.000,284.65,294.806006,52.506237,-99.34,32.561722,26253.118331,20190723_073035
3,KDYX20190723_124011_V06,55,0.052,288.70,303.810420,48.740315,-99.31,32.521135,24370.157284,20190723_074011
3,KDYX20190723_124947_V06,64,0.053,288.14,303.455653,52.231950,-99.32,32.522734,26115.975001,20190723_074947
1,KDYX20190723_111858_V06,-27,0.896,192.44,336.481537,12.406670,-99.83,32.372544,6203.334808,20190723_061858
1,KDYX20190723_112338_V06,-22,0.864,190.64,337.641308,17.494143,-99.84,32.367271,8747.071531,20190723_062338
1,KDYX20190723_112819_V06,-17,0.807,181.56,342.207390,23.729354,-99.88,32.346452,11864.677017,20190723_062819
1,KDYX20190723_113300_V06,-12,0.085,177.27,349.661759,29.739034,-99.91,32.312726,14869.516859,20190723_063300
23,KDYX20190723_122059_V06,35,0.069,467.60,409.256470,2.670883,-98.37,32.042571,1335.441589,20190723_072059
23,KDYX20190723_123035_V06,45,-1.000,467.60,409.256470,18.570883,-98.37,32.042571,9285.441589,20190723_073035
23,KDYX20190723_124011_V06,55,0.076,459.86,426.436257,21.315358,-98.41,31.965393,10657.679154,20190723_074011
24,KDYX20190723_123035_V06,45,0.101,301.03,373.044159,15.366997,-99.25,32.208986,7683.498383,20190723_073035
24,KDYX20190723_124011_V06,55,0.094,302.06,373.509329,23.388445,-99.24,32.206888,11694.222464,20190723_074011
24,KDYX20190723_124947_V06,64,0.208,301.28,375.005310,18.052666,-99.25,32.200143,9026.332855,20190723_074947
24,KDYX20190723_130857_V06,83,0.063,303.29,363.844672,24.379232,-99.24,32.250465,12189.616220,20190723_080857
7,KDYX20190723_112338_V06,-22,0.121,246.75,307.598022,12.115257,-99.54,32.503753,6057.628632,20190723_062338
13,KDYX20190723_113300_V06,-12,0.082,439.49,380.036469,2.687973,-98.51,32.175282,1343.986511,20190723_063300
14,KDYX20190723_113300_V06,-12,0.064,475.87,183.739471,2.763885,-98.31,33.058973,1381.942749,20190723_063300
15,KDYX20190723_114237_V06,-3,0.875,269.55,97.510132,19.028992,-99.42,33.451127,9514.495850,20190723_064237
17,KDYX20190723_114237_V06,-3,0.074,118.58,347.906158,7.590179,-100.22,32.318640,3795.089722,20190723_064237
20,KDYX20190723_121123_V06,26,0.197,301.16,373.257263,15.182800,-99.25,32.208025,7591.400146,20190723_071123
21,KDYX20190723_121123_V06,26,0.176,436.20,378.583832,2.664886,-98.53,32.181933,1332.443237,20190723_071123
