track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KEAX20201008_121508_V06,-5,0.724,405.68,192.273254,13.819031,-93.65,39.293863,6909.515381,20201008_071508
1,KEAX20201008_122211_V06,2,0.787,409.33,197.075195,20.213397,-93.63,39.272126,10106.698580,20201008_072211
1,KEAX20201008_122915_V06,9,0.760,412.86,204.821392,20.393419,-93.61,39.237128,10196.709420,20201008_072915
1,KEAX20201008_123618_V06,16,0.254,408.21,212.317865,20.644029,-93.64,39.203515,10322.014432,20201008_073618
3,KEAX20201008_121508_V06,-5,0.599,171.49,332.142548,12.524250,-95.00,38.663173,6262.125015,20201008_071508
3,KEAX20201008_122211_V06,2,0.128,172.64,331.217420,19.789999,-95.00,38.667381,9894.999316,20201008_072211
3,KEAX20201008_122915_V06,9,0.088,175.25,330.725681,20.823331,-94.98,38.669689,10411.665363,20201008_072915
3,KEAX20201008_123618_V06,16,0.061,175.04,336.687033,20.568654,-94.98,38.642832,10284.326778,20201008_073618
29,KEAX20201008_122915_V06,9,0.111,261.24,150.171967,2.131744,-94.49,39.484854,1065.872192,20201008_072915
29,KEAX20201008_123618_V06,16,0.158,262.03,151.039816,8.943132,-94.48,39.480954,4471.565792,20201008_073618
29,KEAX20201008_124322_V06,23,0.064,261.41,150.125101,11.396509,-94.49,39.485067,5698.254370,20201008_074322
29,KEAX20201008_125025_V06,30,0.068,259.94,152.049374,12.104196,-94.50,39.476384,6052.097785,20201008_075025
8,KEAX20201008_121508_V06,-5,0.197,348.07,423.238342,10.197502,-93.99,38.254861,5098.751068,20201008_071508
8,KEAX20201008_122211_V06,2,0.256,340.23,425.230667,16.815602,-94.03,38.245984,8407.801145,20201008_072211
8,KEAX20201008_122915_V06,9,0.078,325.40,430.091220,17.674801,-94.12,38.224226,8837.400535,20201008_072915
8,KEAX20201008_123618_V06,16,0.111,331.88,428.168304,6.023544,-94.08,38.232836,3011.772156,20201008_073618
5,KEAX20201008_121508_V06,-5,0.334,400.45,403.395782,7.724594,-93.69,38.343147,3862.297058,20201008_071508
5,KEAX20201008_122211_V06,2,0.447,402.14,403.460283,14.736612,-93.68,38.342809,7368.306002,20201008_072211
5,KEAX20201008_122915_V06,9,0.545,405.04,404.950195,12.872543,-93.66,38.336013,6436.271667,20201008_072915
5,KEAX20201008_123618_V06,16,0.425,395.59,409.255770,18.141411,-93.72,38.316886,9070.705644,20201008_073618
12,KEAX20201008_121508_V06,-5,0.087,361.60,69.079712,6.224823,-93.90,39.849707,3112.411499,20201008_071508
12,KEAX20201008_122211_V06,2,0.149,361.52,70.439937,14.339828,-93.90,39.843583,7169.913857,20201008_072211
13,KEAX20201008_121508_V06,-5,0.077,295.41,419.971619,7.736748,-94.29,38.269897,3868.373871,20201008_071508
13,KEAX20201008_122211_V06,2,0.181,296.79,422.077556,15.684007,-94.28,38.260413,7842.003708,20201008_072211
13,KEAX20201008_122915_V06,9,0.065,302.99,416.897797,11.033363,-94.25,38.283745,5516.681671,20201008_072915
13,KEAX20201008_123618_V06,16,0.303,314.52,422.591579,17.284829,-94.18,38.258069,8642.414633,20201008_073618
14,KEAX20201008_121508_V06,-5,0.076,319.56,464.835144,12.501070,-94.15,38.067758,6250.535011,20201008_071508
14,KEAX20201008_122211_V06,2,0.280,316.30,468.114885,18.709752,-94.17,38.053000,9354.875846,20201008_072211
14,KEAX20201008_122915_V06,9,0.177,313.43,480.093445,13.086294,-94.19,37.999053,6543.147087,20201008_072915
15,KEAX20201008_121508_V06,-5,0.064,359.50,391.549072,7.724480,-93.92,38.397429,3862.239838,20201008_071508
15,KEAX20201008_122211_V06,2,0.103,353.29,396.102628,19.718427,-93.96,38.377016,9859.213596,20201008_072211
25,KEAX20201008_122915_V06,9,0.397,434.74,88.107758,32.013077,-93.48,39.761942,16006.538391,20201008_072915
25,KEAX20201008_123618_V06,16,0.085,436.82,92.643138,38.230048,-93.47,39.741437,19115.024013,20201008_073618
30,KEAX20201008_122915_V06,9,0.082,362.68,420.045502,12.685730,-93.91,38.269016,6342.864990,20201008_072915
30,KEAX20201008_123618_V06,16,0.153,368.96,421.657652,22.701727,-93.87,38.261639,11350.863655,20201008_073618
2,KEAX20201008_121508_V06,-5,0.640,333.98,218.867676,12.161682,-94.07,39.175525,6080.841064,20201008_071508
7,KEAX20201008_121508_V06,-5,0.225,271.92,449.029755,7.675476,-94.42,38.138898,3837.738037,20201008_071508
10,KEAX20201008_121508_V06,-5,0.149,104.38,401.249390,6.182030,-95.38,38.348858,3091.014862,20201008_071508
20,KEAX20201008_122211_V06,2,0.092,317.80,428.772980,17.538177,-94.16,38.230210,8769.088745,20201008_072211
28,KEAX20201008_122915_V06,9,0.120,177.69,367.387024,24.436951,-94.97,38.504652,12218.475342,20201008_072915
36,KEAX20201008_123618_V06,16,0.077,46.72,244.141205,54.596878,-95.73,39.052720,27298.439026,20201008_073618
39,KEAX20201008_124322_V06,23,0.055,218.45,355.306580,16.976276,-94.73,38.560234,8488.138199,20201008_074322
40,KEAX20201008_125025_V06,30,0.234,523.81,472.752838,32.095867,-92.99,38.025157,16047.933578,20201008_075025
