track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KFSD20180813_111525_V06,-14,0.697,363.25,526.778564,12.719586,-96.34,42.566466,6359.793186,20180813_061525
5,KFSD20180813_112234_V06,-7,0.703,366.55,526.096246,19.048663,-96.32,42.569467,9524.331694,20180813_062234
5,KFSD20180813_112943_V06,0,0.384,372.45,522.884389,22.768983,-96.29,42.583789,11384.491723,20180813_062943
5,KFSD20180813_113653_V06,7,0.533,376.61,520.843259,27.254082,-96.26,42.592874,13627.040976,20180813_063653
5,KFSD20180813_114401_V06,15,0.178,383.19,522.693849,30.324268,-96.22,42.584373,15162.134246,20180813_064401
4,KFSD20180813_110816_V06,-21,0.100,497.21,55.344666,18.598038,-95.49,44.682006,9299.018860,20180813_060816
4,KFSD20180813_111525_V06,-14,0.843,501.83,50.591166,30.061068,-95.46,44.703074,15030.533886,20180813_061525
4,KFSD20180813_112234_V06,-7,0.621,507.96,52.754970,35.073714,-95.42,44.692908,17536.856775,20180813_062234
1,KFSD20180813_110107_V06,-28,0.629,271.45,192.112610,12.724442,-96.91,44.073145,6362.220764,20180813_060107
1,KFSD20180813_110816_V06,-21,0.452,273.87,190.965264,19.822394,-96.89,44.078330,9911.196860,20180813_060816
2,KFSD20180813_110816_V06,-21,0.440,254.31,47.281128,24.324234,-97.02,44.724613,12162.117004,20180813_060816
2,KFSD20180813_111525_V06,-14,0.725,259.17,46.587627,30.601306,-96.99,44.727806,15300.653056,20180813_061525
6,KFSD20180813_111525_V06,-14,0.113,487.40,169.461578,13.550217,-95.56,44.169243,6775.108337,20180813_061525
10,KFSD20180813_113653_V06,7,0.325,318.48,438.384827,4.934029,-96.62,42.964919,2467.014313,20180813_063653
