track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KGRR20210816_103225_V06,-17,0.156,277.41,593.332031,10.246971,-85.68,41.573419,5123.485565,20210816_063225
5,KGRR20210816_103654_V06,-13,0.333,277.77,592.985290,16.053137,-85.68,41.574983,8026.568491,20210816_063654
5,KGRR20210816_104123_V06,-8,0.254,279.02,589.445274,18.641293,-85.67,41.590928,9320.646371,20210816_064123
5,KGRR20210816_104551_V06,-4,0.596,283.29,586.535619,21.964699,-85.64,41.604052,10982.349491,20210816_064551
5,KGRR20210816_105020_V06,1,0.669,285.55,582.685414,27.238066,-85.63,41.621397,13619.033200,20210816_065020
5,KGRR20210816_105450_V06,5,0.838,288.63,579.663762,31.246454,-85.61,41.635012,15623.227226,20210816_065450
5,KGRR20210816_110349_V06,14,0.560,294.89,574.880550,40.287269,-85.58,41.656562,20143.634273,20210816_070349
5,KGRR20210816_110819_V06,19,0.669,299.70,569.380032,44.973041,-85.55,41.681328,22486.520282,20210816_070819
5,KGRR20210816_111249_V06,23,0.387,300.48,567.549608,46.928752,-85.54,41.689568,23464.375847,20210816_071249
5,KGRR20210816_111718_V06,28,0.372,302.90,565.552437,49.800873,-85.53,41.698558,24900.436680,20210816_071718
43,KGRR20210816_114843_V06,59,0.084,199.61,367.131470,10.230278,-86.16,42.590097,5115.139008,20210816_074843
43,KGRR20210816_115312_V06,64,0.070,201.83,366.430615,17.851391,-86.14,42.593323,8925.695600,20210816_075312
43,KGRR20210816_120211_V06,73,0.133,208.36,369.477972,24.119967,-86.10,42.579808,12059.983620,20210816_080211
43,KGRR20210816_120641_V06,77,0.116,203.26,367.525466,24.512235,-86.13,42.588440,12256.117282,20210816_080641
2,KGRR20210816_102327_V06,-26,0.136,279.65,415.479614,7.995491,-85.67,42.374045,3997.745514,20210816_062327
2,KGRR20210816_102756_V06,-22,0.056,278.92,414.914008,13.206281,-85.67,42.376586,6603.140456,20210816_062756
2,KGRR20210816_103225_V06,-17,-1.000,278.25,414.399820,20.111544,-85.68,42.378896,10055.772222,20210816_063225
2,KGRR20210816_103654_V06,-13,-1.000,277.71,413.988470,25.635755,-85.68,42.380744,12817.877635,20210816_063654
2,KGRR20210816_104123_V06,-8,0.151,293.46,405.917038,28.007282,-85.58,42.417149,14003.640757,20210816_064123
10,KGRR20210816_103654_V06,-13,0.158,382.28,322.342712,2.942413,-85.04,42.792223,1471.206665,20210816_063654
10,KGRR20210816_104123_V06,-8,0.073,382.69,322.319643,10.207517,-85.04,42.792316,5103.758399,20210816_064123
10,KGRR20210816_104551_V06,-4,0.167,382.18,325.080027,14.014204,-85.04,42.779906,7007.101867,20210816_064551
12,KGRR20210816_103654_V06,-13,0.139,244.95,477.319580,9.674406,-85.88,42.095262,4837.203026,20210816_063654
12,KGRR20210816_104123_V06,-8,0.687,245.80,477.315588,15.076240,-85.87,42.095295,7538.120026,20210816_064123
12,KGRR20210816_104551_V06,-4,0.393,245.86,480.573020,18.384049,-85.87,42.080633,9192.024496,20210816_064551
31,KGRR20210816_110819_V06,19,0.127,295.22,383.986206,17.056030,-85.57,42.515866,8528.015137,20210816_070819
31,KGRR20210816_111249_V06,23,0.060,295.07,385.631504,22.813337,-85.57,42.508460,11406.668532,20210816_071249
31,KGRR20210816_111718_V06,28,0.145,285.27,386.162657,26.926870,-85.63,42.506038,13463.435152,20210816_071718
31,KGRR20210816_112147_V06,32,0.200,283.56,400.293091,7.754295,-85.64,42.442426,3877.147675,20210816_072147
1,KGRR20210816_102327_V06,-26,0.402,201.44,355.068359,8.559822,-86.15,42.644451,4279.911041,20210816_062327
1,KGRR20210816_102756_V06,-22,0.071,201.11,355.195040,14.666002,-86.15,42.643870,7333.001163,20210816_062756
8,KGRR20210816_103654_V06,-13,0.273,224.74,183.954407,5.203178,-86.01,43.415229,2601.589203,20210816_063654
8,KGRR20210816_104123_V06,-8,0.083,225.55,183.344519,12.286994,-86.00,43.417994,6143.497020,20210816_064123
27,KGRR20210816_104551_V06,-4,0.129,579.60,118.553253,17.402924,-83.81,43.697464,8701.461792,20210816_064551
27,KGRR20210816_105020_V06,1,0.128,578.56,121.023701,26.937623,-83.82,43.686446,13468.811659,20210816_065020
32,KGRR20210816_111249_V06,23,0.093,190.49,367.196411,17.672844,-86.21,42.589493,8836.421967,20210816_071249
32,KGRR20210816_111718_V06,28,0.110,191.27,367.942912,23.283020,-86.21,42.586161,11641.510232,20210816_071718
33,KGRR20210816_111718_V06,28,0.173,258.58,391.950378,5.117577,-85.80,42.479744,2558.788300,20210816_071718
33,KGRR20210816_112147_V06,32,-1.000,258.58,391.950378,11.477577,-85.80,42.479744,5738.788300,20210816_072147
33,KGRR20210816_112617_V06,37,0.059,264.50,390.145371,22.027427,-85.76,42.487942,11013.713409,20210816_072617
33,KGRR20210816_113046_V06,41,0.050,281.30,403.300598,10.252335,-85.66,42.428876,5126.167297,20210816_073046
33,KGRR20210816_113516_V06,46,0.068,283.79,401.689974,17.762110,-85.64,42.436140,8881.054753,20210816_073516
33,KGRR20210816_113945_V06,50,0.077,266.95,385.885315,26.970741,-85.75,42.507145,13485.370636,20210816_073945
39,KGRR20210816_112617_V06,37,0.207,223.60,231.882751,9.002571,-86.01,43.199504,4501.285553,20210816_072617
39,KGRR20210816_113046_V06,41,0.058,223.56,231.312585,14.214969,-86.01,43.202069,7107.484303,20210816_073046
6,KGRR20210816_103225_V06,-17,0.058,278.81,415.049744,9.592957,-85.67,42.375975,4796.478271,20210816_063225
7,KGRR20210816_103654_V06,-13,0.342,374.01,149.543243,5.347931,-85.09,43.570120,2673.965454,20210816_063654
11,KGRR20210816_103654_V06,-13,0.145,414.82,91.276154,20.826721,-84.83,43.831039,10413.360596,20210816_063654
19,KGRR20210816_104123_V06,-8,0.271,202.27,352.444092,8.642918,-86.14,42.656288,4321.458817,20210816_064123
21,KGRR20210816_104123_V06,-8,0.132,330.48,483.643799,7.016769,-85.36,42.067132,3508.384705,20210816_064123
22,KGRR20210816_104123_V06,-8,0.125,212.76,321.534149,2.818832,-86.08,42.795725,1409.416199,20210816_064123
28,KGRR20210816_105020_V06,1,0.064,261.74,323.783936,4.906525,-85.78,42.786603,2453.262329,20210816_065020
29,KGRR20210816_110349_V06,14,0.091,201.65,249.483429,29.101173,-86.15,43.119661,14550.586700,20210816_070349
30,KGRR20210816_110349_V06,14,0.058,299.14,227.706085,2.911469,-85.55,43.219263,1455.734253,20210816_070349
