track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KHGX20180715_111431_V06,-16,0.465,206.00,262.383911,14.622597,-95.56,29.640734,7311.298370,20180715_061431
5,KHGX20180715_112001_V06,-10,0.825,208.12,257.690184,20.197090,-95.55,29.661945,10098.545020,20180715_062001
5,KHGX20180715_112547_V06,-5,0.950,213.64,249.327783,25.544711,-95.53,29.699763,12772.355492,20180715_062547
5,KHGX20180715_113340_V06,3,0.966,217.64,245.007066,35.149035,-95.50,29.719320,17574.517438,20180715_063340
5,KHGX20180715_113924_V06,9,0.932,220.10,245.364986,43.346917,-95.49,29.717746,21673.458441,20180715_063924
5,KHGX20180715_114510_V06,15,0.623,219.27,239.203211,49.367274,-95.50,29.745526,24683.637087,20180715_064510
5,KHGX20180715_115047_V06,20,0.317,216.66,237.959582,54.983414,-95.51,29.751092,27491.706792,20180715_065047
5,KHGX20180715_120218_V06,32,0.185,200.70,239.203932,56.742743,-95.59,29.745187,28371.371327,20180715_070218
5,KHGX20180715_120804_V06,38,0.064,203.67,238.386327,58.600661,-95.58,29.748933,29300.330639,20180715_070804
25,KHGX20180715_122947_V06,59,0.066,334.87,327.578827,10.364334,-94.90,29.347413,5182.167053,20180715_072947
25,KHGX20180715_123505_V06,65,0.103,334.46,328.367778,16.931677,-94.90,29.343857,8465.838386,20180715_073505
25,KHGX20180715_124025_V06,70,0.172,342.49,324.818705,17.914530,-94.86,29.359805,8957.264801,20180715_074025
25,KHGX20180715_124543_V06,75,0.370,348.69,323.599014,17.776483,-94.83,29.365251,8888.241611,20180715_074543
25,KHGX20180715_125101_V06,81,0.469,344.50,326.777830,18.478793,-94.85,29.350951,9239.396397,20180715_075101
1,KHGX20180715_110300_V06,-27,0.371,335.66,329.283081,12.706192,-94.90,29.339720,6353.096008,20180715_060300
1,KHGX20180715_110846_V06,-22,0.119,333.66,327.396211,20.688433,-94.91,29.348246,10344.216427,20180715_060846
1,KHGX20180715_111431_V06,-16,0.643,346.64,320.807753,20.897689,-94.84,29.377862,10448.844437,20180715_061431
1,KHGX20180715_112001_V06,-10,0.764,347.70,314.985089,23.046751,-94.83,29.404117,11523.375265,20180715_062001
14,KHGX20180715_113340_V06,3,0.122,88.33,341.312134,21.250824,-96.17,29.281128,10625.411987,20180715_063340
14,KHGX20180715_113924_V06,9,0.735,89.63,340.005391,28.181481,-96.16,29.287076,14090.740385,20180715_063924
14,KHGX20180715_114510_V06,15,0.734,90.76,336.294925,31.434396,-96.16,29.303860,15717.197812,20180715_064510
14,KHGX20180715_115047_V06,20,0.463,93.73,335.020958,35.056274,-96.14,29.309729,17528.137184,20180715_065047
14,KHGX20180715_120218_V06,32,0.055,115.57,339.197784,29.406456,-96.03,29.291738,14703.227997,20180715_070218
27,KHGX20180715_124025_V06,70,0.582,323.18,330.652924,12.984009,-94.96,29.333614,6492.004395,20180715_074025
27,KHGX20180715_124543_V06,75,0.365,324.39,330.351625,18.511798,-94.95,29.334967,9255.898763,20180715_074543
27,KHGX20180715_125101_V06,81,0.071,312.50,337.812487,28.257019,-95.01,29.301355,14128.509683,20180715_075101
9,KHGX20180715_112001_V06,-10,0.175,209.54,309.873871,7.868141,-95.55,29.426584,3934.070587,20180715_062001
18,KHGX20180715_114510_V06,15,0.079,352.20,312.419617,22.587448,-94.81,29.415645,11293.724060,20180715_064510
21,KHGX20180715_120804_V06,38,0.094,257.80,356.282471,2.446663,-95.30,29.217876,1223.331451,20180715_070804
10,KHGX20180716_111916_V06,-12,0.448,202.04,263.969604,19.170395,-95.58,29.633505,9585.197449,20180716_061916
10,KHGX20180716_112441_V06,-7,0.919,208.93,253.043671,21.277952,-95.55,29.682919,10638.976037,20180716_062441
10,KHGX20180716_112959_V06,-2,0.968,216.87,246.421093,27.069478,-95.51,29.712929,13534.739241,20180716_062959
10,KHGX20180716_113519_V06,4,0.797,216.08,244.444900,32.476815,-95.51,29.721830,16238.407397,20180716_063519
10,KHGX20180716_114038_V06,9,0.774,209.54,248.942855,30.600494,-95.55,29.701427,15300.246859,20180716_064038
29,KHGX20180716_121429_V06,43,0.071,326.54,337.110443,6.868042,-94.94,29.304468,3434.020996,20180716_071429
29,KHGX20180716_121948_V06,48,0.204,326.62,335.130883,13.282069,-94.94,29.313397,6641.034657,20180716_071948
29,KHGX20180716_122508_V06,54,0.236,324.59,330.008568,16.213702,-94.95,29.336514,8106.850807,20180716_072508
29,KHGX20180716_123026_V06,59,-1.000,323.21,326.210387,19.408126,-94.96,29.353654,9704.063232,20180716_073026
29,KHGX20180716_123545_V06,64,-1.000,321.83,322.412207,22.602551,-94.97,29.370793,11301.275656,20180716_073545
29,KHGX20180716_124104_V06,70,0.113,311.98,328.055800,23.909370,-95.02,29.345369,11954.685195,20180716_074104
1,KHGX20180716_110320_V06,-28,0.202,335.04,334.330414,15.985519,-94.90,29.316956,7992.759705,20180716_060320
1,KHGX20180716_110838_V06,-23,0.265,333.31,332.288217,22.717774,-94.91,29.326180,11358.887008,20180716_060838
1,KHGX20180716_111357_V06,-18,0.269,335.94,323.294166,23.893998,-94.89,29.366734,11946.999231,20180716_061357
1,KHGX20180716_111916_V06,-12,0.092,325.90,321.241211,13.762268,-94.95,29.376056,6881.134033,20180716_061916
1,KHGX20180716_112441_V06,-7,0.247,326.13,322.619151,19.301163,-94.94,29.369839,9650.581373,20180716_062441
19,KHGX20180716_112959_V06,-2,0.370,84.86,348.681396,13.627876,-96.19,29.247741,6813.938141,20180716_062959
19,KHGX20180716_113519_V06,4,0.287,83.30,346.983968,23.481037,-96.19,29.255330,11740.518733,20180716_063519
19,KHGX20180716_114038_V06,9,0.443,85.84,340.376890,27.777087,-96.18,29.285241,13888.543414,20180716_064038
5,KHGX20180716_111357_V06,-18,0.281,262.76,323.483887,19.008698,-95.27,29.365868,9504.348755,20180716_061357
5,KHGX20180716_111916_V06,-12,0.070,256.20,324.277067,28.436429,-95.30,29.362237,14218.214739,20180716_061916
33,KHGX20180716_124104_V06,70,0.285,183.28,340.753784,14.187023,-95.68,29.286748,7093.511581,20180716_074104
33,KHGX20180716_124623_V06,75,-1.000,183.28,340.753784,22.137023,-95.68,29.286748,11068.511581,20180716_074623
33,KHGX20180716_125143_V06,80,0.057,175.08,348.944798,28.182896,-95.72,29.249602,14091.447840,20180716_075143
3,KHGX20180716_110838_V06,-23,0.058,275.22,333.619568,2.757660,-95.21,29.320224,1378.829956,20180716_060838
7,KHGX20180716_111357_V06,-18,0.190,159.21,303.333405,3.423454,-95.80,29.454925,1711.727142,20180716_061357
9,KHGX20180716_111357_V06,-18,0.101,330.31,247.111053,18.524414,-94.92,29.710418,9262.207031,20180716_061357
18,KHGX20180716_112959_V06,-2,0.476,18.49,234.375763,16.120684,-96.53,29.759997,8060.341835,20180716_062959
21,KHGX20180716_113519_V06,4,0.064,240.00,358.761963,15.646061,-95.39,29.206510,7823.030472,20180716_063519
22,KHGX20180716_115314_V06,22,0.176,261.97,356.598602,4.679611,-95.27,29.216483,2339.805603,20180716_065314
25,KHGX20180716_120352_V06,32,0.067,45.44,315.371887,26.136999,-96.39,29.396139,13068.499565,20180716_070352
27,KHGX20180716_121429_V06,43,0.148,253.85,380.543121,7.922424,-95.32,29.108400,3961.212158,20180716_071429
30,KHGX20180716_121948_V06,48,0.069,372.62,86.591064,31.377899,-94.70,30.433991,15688.949585,20180716_071948
2,KHGX20180729_111717_V06,-21,0.313,206.27,264.450958,14.758179,-95.56,29.631415,7379.089355,20180729_061717
2,KHGX20180729_112705_V06,-11,0.930,205.20,261.148133,16.934136,-95.57,29.646293,8467.068093,20180729_062705
2,KHGX20180729_113653_V06,-2,0.950,205.07,256.669933,28.832869,-95.57,29.666490,14416.434607,20180729_063653
