track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KLCH20161102_120438_V06,-24,0.143,318.60,355.918945,5.756393,-93.12,29.872742,2878.196716,20161102_070438
2,KLCH20161102_120918_V06,-19,-1.000,318.60,355.918945,13.706393,-93.12,29.872742,6853.196716,20161102_070918
2,KLCH20161102_121357_V06,-15,0.058,328.70,354.647156,17.480007,-93.07,29.878430,8740.003302,20161102_071357
2,KLCH20161102_121837_V06,-10,0.900,318.74,352.881509,17.201104,-93.12,29.886442,8600.551940,20161102_071837
2,KLCH20161102_122319_V06,-5,0.910,313.35,352.401530,22.094320,-93.15,29.888625,11047.160038,20161102_072319
2,KLCH20161102_122801_V06,0,0.905,309.77,349.577558,27.130975,-93.17,29.901371,13565.487558,20161102_072801
2,KLCH20161102_123241_V06,4,0.855,305.54,347.020131,30.303212,-93.19,29.912913,15151.606046,20161102_073241
2,KLCH20161102_123723_V06,9,0.919,304.35,346.478212,34.743064,-93.19,29.915359,17371.531924,20161102_073723
2,KLCH20161102_124205_V06,14,-1.000,302.53,345.527844,39.135557,-93.20,29.919647,19567.778523,20161102_074205
2,KLCH20161102_124650_V06,18,-1.000,301.08,344.767550,42.649552,-93.21,29.923077,21324.775802,20161102_074650
2,KLCH20161102_125130_V06,23,0.253,291.61,347.321985,48.207040,-93.26,29.911548,24103.520222,20161102_075130
2,KLCH20161102_125612_V06,28,0.057,291.00,346.529803,50.267971,-93.26,29.915120,25133.985344,20161102_075612
2,KLCH20161102_130057_V06,32,0.050,314.23,390.165527,12.748405,-93.14,29.718283,6374.202728,20161102_080057
2,KLCH20161102_130546_V06,37,0.128,314.50,390.285917,18.470581,-93.14,29.717739,9235.290736,20161102_080546
5,KLCH20161102_121357_V06,-15,0.358,200.15,314.990845,5.661430,-93.73,30.056364,2830.715179,20161102_071357
5,KLCH20161102_121837_V06,-10,0.761,195.74,311.714118,10.861282,-93.76,30.071051,5430.640790,20161102_071837
5,KLCH20161102_122319_V06,-5,0.234,189.08,306.345343,16.984898,-93.79,30.095119,8492.449157,20161102_072319
5,KLCH20161102_122801_V06,0,-1.000,182.93,301.430498,23.043333,-93.82,30.117143,11521.666299,20161102_072801
5,KLCH20161102_123241_V06,4,0.799,183.53,304.389074,28.011814,-93.82,30.103814,14005.907044,20161102_073241
5,KLCH20161102_123723_V06,9,0.942,180.38,302.403285,33.105981,-93.84,30.112694,16552.990620,20161102_073723
5,KLCH20161102_124205_V06,14,0.969,178.03,296.063570,35.752109,-93.85,30.141229,17876.054695,20161102_074205
5,KLCH20161102_124650_V06,18,0.700,176.00,289.805030,34.895958,-93.86,30.169406,17447.978805,20161102_074650
11,KLCH20161102_122801_V06,0,0.457,118.21,313.876801,6.737892,-94.16,30.059027,3368.946075,20161102_072801
11,KLCH20161102_123241_V06,4,0.065,117.65,313.466140,12.163596,-94.16,30.060858,6081.798044,20161102_073241
11,KLCH20161102_123723_V06,9,0.679,126.94,308.074602,22.377439,-94.11,30.085513,11188.719669,20161102_073723
11,KLCH20161102_124205_V06,14,0.093,124.08,303.645194,25.583800,-94.13,30.105388,12791.899955,20161102_074205
3,KLCH20161102_120438_V06,-24,0.102,205.96,367.575500,30.393101,-93.70,29.819298,15196.550369,20161102_070438
3,KLCH20161102_120918_V06,-19,0.071,204.34,367.997938,37.712511,-93.71,29.817362,18856.255338,20161102_070918
3,KLCH20161102_121357_V06,-15,0.120,201.69,364.825684,33.430988,-93.72,29.831618,16715.494156,20161102_071357
6,KLCH20161102_121357_V06,-15,0.339,356.45,271.202332,10.143143,-92.92,30.254561,5071.571350,20161102_071357
6,KLCH20161102_121837_V06,-10,0.141,356.63,272.112172,16.097965,-92.92,30.250455,8048.982623,20161102_071837
16,KLCH20161102_123723_V06,9,0.105,339.27,354.625763,15.934246,-93.01,29.878453,7967.123032,20161102_073723
18,KLCH20161102_124650_V06,18,0.093,518.32,511.984497,29.595520,-92.09,29.163999,14797.760010,20161102_074650
21,KLCH20161102_125130_V06,23,0.153,229.31,344.843262,12.703079,-93.58,29.922225,6351.539612,20161102_075130
22,KLCH20161102_125130_V06,23,0.072,307.09,400.746460,20.458244,-93.18,29.670571,10229.122162,20161102_075130
1,KLCH20161103_120829_V06,-20,0.628,321.41,356.051819,8.920921,-93.11,29.872131,4460.460663,20161103_070829
1,KLCH20161103_121815_V06,-10,0.850,316.66,353.843719,20.000664,-93.13,29.882110,10000.331803,20161103_071815
1,KLCH20161103_122802_V06,0,0.886,310.11,351.631534,28.677569,-93.16,29.892106,14338.784568,20161103_072802
1,KLCH20161103_123749_V06,9,0.837,304.85,349.541056,35.799571,-93.19,29.901543,17899.785659,20161103_073749
1,KLCH20161103_124238_V06,14,0.248,306.81,346.417013,38.463813,-93.18,29.915632,19231.906600,20161103_074238
1,KLCH20161103_124727_V06,19,0.056,301.21,345.842806,46.309207,-93.21,29.918227,23154.603683,20161103_074727
3,KLCH20161103_120829_V06,-20,0.316,196.73,319.186951,8.051819,-93.75,30.037367,4025.909424,20161103_070829
3,KLCH20161103_121815_V06,-10,0.614,193.34,310.772457,14.776682,-93.77,30.075247,7388.341027,20161103_071815
3,KLCH20161103_122802_V06,0,-1.000,190.15,302.834255,22.020893,-93.79,30.110980,11010.446312,20161103_072802
3,KLCH20161103_123749_V06,9,0.445,190.29,293.636216,25.515280,-93.79,30.152469,12757.639796,20161103_073749
3,KLCH20161103_124238_V06,14,0.535,187.99,291.755615,28.371264,-93.80,30.160899,14185.631759,20161103_074238
3,KLCH20161103_124727_V06,19,0.091,176.38,290.966478,35.225642,-93.86,30.164177,17612.821017,20161103_074727
15,KLCH20161103_124238_V06,14,0.686,467.39,75.335693,13.098885,-92.34,31.135320,6549.442291,20161103_074238
15,KLCH20161103_124727_V06,19,0.685,466.16,73.603731,18.528949,-92.34,31.143173,9264.474291,20161103_074727
15,KLCH20161103_125217_V06,24,0.629,460.66,74.801396,21.811045,-92.37,31.137960,10905.522613,20161103_075217
15,KLCH20161103_125706_V06,29,0.118,456.58,69.357099,23.119701,-92.39,31.162646,11559.850592,20161103_075706
15,KLCH20161103_130154_V06,33,0.064,459.16,73.439126,32.761144,-92.38,31.144153,16380.572063,20161103_080154
15,KLCH20161103_130644_V06,38,0.116,440.24,59.876404,20.157654,-92.48,31.205907,10078.826904,20161103_080644
16,KLCH20161103_124727_V06,19,0.155,123.07,331.440399,19.623438,-94.13,29.979990,9811.718941,20161103_074727
16,KLCH20161103_125217_V06,24,0.082,121.69,330.942308,26.103948,-94.14,29.982186,13051.974076,20161103_075217
16,KLCH20161103_125706_V06,29,0.112,110.33,322.542969,19.814266,-94.20,30.019641,9907.133102,20161103_075706
23,KLCH20161103_130644_V06,38,0.063,175.40,324.265472,35.317245,-93.86,30.013964,17658.622742,20161103_080644
23,KLCH20161103_131630_V06,48,0.060,173.14,319.639270,42.329950,-93.87,30.034771,21164.974789,20161103_081630
4,KLCH20161103_120829_V06,-20,0.169,357.63,274.158875,8.552628,-92.92,30.241212,4276.313782,20161103_070829
6,KLCH20161103_120829_V06,-20,0.093,417.00,361.851318,36.622978,-92.61,29.844624,18311.489105,20161103_070829
10,KLCH20161103_121815_V06,-10,0.135,133.05,313.579803,3.261032,-94.08,30.060896,1630.516052,20161103_071815
12,KLCH20161103_121815_V06,-10,0.077,436.68,90.522400,29.522392,-92.50,31.067811,14761.196136,20161103_071815
18,KLCH20161103_125217_V06,24,0.126,318.15,389.641235,8.944542,-93.12,29.720635,4472.270966,20161103_075217
21,KLCH20161103_130154_V06,33,0.061,411.68,53.215088,38.926979,-92.63,31.236700,19463.489532,20161103_080154
24,KLCH20161103_130644_V06,38,0.057,107.27,470.414246,29.827368,-94.21,29.352567,14913.683891,20161103_080644
26,KLCH20161103_131630_V06,48,0.067,266.58,344.802765,7.965794,-93.39,29.922804,3982.896805,20161103_081630
