track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KLSX20180811_104811_V06,-25,0.700,458.37,96.621826,15.676308,-89.76,39.611244,7838.153839,20180811_054811
2,KLSX20180811_110223_V06,-11,0.915,461.33,98.171298,24.787798,-89.74,39.604130,12393.899249,20180811_060223
2,KLSX20180811_110930_V06,-4,0.750,465.77,98.044645,24.824457,-89.72,39.604491,12412.228265,20180811_060930
2,KLSX20180811_111636_V06,3,0.094,471.07,97.712150,27.225502,-89.69,39.605732,13612.751017,20180811_061636
12,KLSX20180811_104811_V06,-25,0.056,354.29,262.032715,3.174225,-90.37,38.869478,1587.112427,20180811_054811
12,KLSX20180811_110223_V06,-11,0.447,354.08,218.367394,16.272926,-90.37,39.066144,8136.462829,20180811_060223
12,KLSX20180811_110930_V06,-4,0.221,348.47,209.896240,17.162786,-90.40,39.104378,8581.392877,20180811_060930
12,KLSX20180811_111636_V06,3,0.306,323.35,210.428146,16.260552,-90.55,39.102240,8130.276145,20180811_061636
41,KLSX20180811_110930_V06,-4,0.052,389.66,186.932587,8.722137,-90.16,39.206988,4361.068726,20180811_060930
41,KLSX20180811_111636_V06,3,0.054,400.49,187.521818,18.040672,-90.10,39.204040,9020.336041,20180811_061636
41,KLSX20180811_112343_V06,10,0.268,421.60,178.348736,31.313687,-89.98,39.244682,15656.843658,20180811_062343
41,KLSX20180811_113050_V06,17,0.140,422.63,167.057530,42.964058,-89.97,39.295496,21482.029165,20180811_063050
1,KLSX20180811_104811_V06,-25,0.958,319.18,208.825653,8.987762,-90.57,39.109482,4493.881226,20180811_054811
1,KLSX20180811_110223_V06,-11,0.100,318.13,208.967708,21.470531,-90.58,39.108848,10735.265540,20180811_060223
1,KLSX20180811_110930_V06,-4,0.560,326.14,223.820541,33.191453,-90.53,39.041903,16595.726355,20180811_060930
16,KLSX20180811_110223_V06,-11,0.389,174.70,299.840424,5.212982,-91.40,38.697391,2606.491089,20180811_060223
16,KLSX20180811_110930_V06,-4,0.149,175.06,303.122057,15.007950,-91.40,38.682624,7503.974896,20180811_060930
16,KLSX20180811_111636_V06,3,0.135,173.62,318.522463,27.426520,-91.41,38.613210,13713.260189,20180811_061636
17,KLSX20180811_110223_V06,-11,0.383,365.68,167.229187,12.742645,-90.30,39.296256,6371.322632,20180811_060223
17,KLSX20180811_110930_V06,-4,0.779,366.54,170.093635,19.849813,-90.30,39.283340,9924.906678,20180811_060930
17,KLSX20180811_111636_V06,3,0.572,368.17,171.560901,19.858885,-90.29,39.276701,9929.442446,20180811_061636
19,KLSX20180811_110223_V06,-11,0.300,335.87,176.581879,12.204712,-90.48,39.254568,6102.355957,20180811_060223
19,KLSX20180811_110930_V06,-4,0.737,336.24,177.097071,18.392862,-90.47,39.252244,9196.431056,20180811_060930
19,KLSX20180811_111636_V06,3,0.254,336.17,178.591414,18.692797,-90.47,39.245515,9346.398559,20180811_061636
10,KLSX20180811_104811_V06,-25,0.062,259.47,316.059906,4.712387,-90.92,38.626322,2356.193542,20180811_054811
10,KLSX20180811_110223_V06,-11,0.470,260.27,326.752052,15.558335,-90.91,38.578172,7779.167558,20180811_060223
