track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KLZK20190805_110252_V06,-19,0.940,107.24,359.241425,15.395298,-93.31,34.564842,7697.649002,20190805_060252
1,KLZK20190805_110950_V06,-12,0.917,105.31,356.240179,25.874018,-93.32,34.578277,12937.008770,20190805_060950
1,KLZK20190805_111648_V06,-5,0.858,106.38,351.424604,30.930163,-93.32,34.600030,15465.081395,20190805_061648
1,KLZK20190805_112346_V06,2,0.716,103.83,358.832231,40.266744,-93.33,34.566524,20133.371815,20190805_062346
1,KLZK20190805_113045_V06,9,0.746,97.29,372.204175,54.741871,-93.37,34.505941,27370.935639,20190805_063045
1,KLZK20190805_113744_V06,16,0.165,94.80,379.129360,62.413986,-93.38,34.474607,31206.993224,20190805_063744
1,KLZK20190805_114441_V06,23,-1.000,91.84,386.808005,70.926475,-93.39,34.439851,35463.237653,20190805_064441
1,KLZK20190805_115140_V06,30,0.054,90.30,388.918903,76.733723,-93.40,34.430259,38366.861699,20190805_065140
2,KLZK20190805_110252_V06,-19,0.479,447.64,504.549713,17.892105,-91.46,33.911779,8946.052551,20190805_060252
2,KLZK20190805_110950_V06,-12,-1.000,447.64,504.549713,29.022105,-91.46,33.911779,14511.052551,20190805_060950
2,KLZK20190805_111648_V06,-5,0.093,446.42,510.240587,36.322757,-91.47,33.886171,18161.378575,20190805_061648
2,KLZK20190805_112346_V06,2,0.155,448.65,507.509272,34.835189,-91.46,33.898403,17417.594643,20190805_062346
2,KLZK20190805_113045_V06,9,-1.000,450.04,506.664858,35.946969,-91.45,33.902159,17973.484626,20190805_063045
2,KLZK20190805_113744_V06,16,0.075,456.92,505.568411,37.464117,-91.41,33.906847,18732.058430,20190805_063744
2,KLZK20190805_114441_V06,23,0.073,455.16,517.511556,51.182682,-91.42,33.853079,25591.340872,20190805_064441
6,KLZK20190805_110252_V06,-19,0.103,357.92,416.492493,6.643990,-91.95,34.310923,3321.994781,20190805_060252
6,KLZK20190805_110950_V06,-12,0.388,351.89,412.465949,16.572359,-91.98,34.329153,8286.179484,20190805_060950
6,KLZK20190805_111648_V06,-5,0.063,348.07,410.688171,12.705956,-92.00,34.337213,6352.977753,20190805_061648
12,KLZK20190805_110950_V06,-12,0.063,420.66,281.987854,13.368774,-91.60,34.915780,6684.387207,20190805_060950
12,KLZK20190805_111648_V06,-5,0.091,420.94,280.414413,20.854351,-91.60,34.922863,10427.175303,20190805_061648
12,KLZK20190805_112346_V06,2,0.069,422.22,278.093964,17.243210,-91.59,34.933282,8621.604919,20190805_062346
3,KLZK20190805_110252_V06,-19,0.305,327.80,329.441010,17.770218,-92.11,34.703602,8885.108948,20190805_060252
10,KLZK20190805_110950_V06,-12,0.093,393.37,435.335510,12.158775,-91.76,34.225340,6079.387665,20190805_060950
11,KLZK20190805_110950_V06,-12,0.080,468.24,423.568207,4.529877,-91.35,34.276001,2264.938354,20190805_060950
16,KLZK20190805_112346_V06,2,0.144,346.15,338.285156,24.384632,-92.01,34.663574,12192.316055,20190805_062346
18,KLZK20190805_112346_V06,2,0.056,534.37,442.674133,47.146477,-90.99,34.186660,23573.238373,20190805_062346
