track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
2,KMTX20130824_125432_V06,6,0.170,394.38,215.097839,25.788803,-111.88,41.643618,12894.401550,20130824_065432
2,KMTX20130824_125836_V06,10,0.606,395.08,215.595493,29.460658,-111.88,41.641357,14730.329234,20130824_065836
2,KMTX20130824_130242_V06,14,0.070,399.10,216.410248,23.137161,-111.85,41.637567,11568.580627,20130824_070242
2,KMTX20130824_130648_V06,18,0.270,399.42,216.216111,28.538917,-111.85,41.638431,14269.458301,20130824_070648
2,KMTX20130824_131053_V06,22,0.191,427.84,214.893829,17.302490,-111.68,41.643377,8651.245117,20130824_071053
2,KMTX20130824_131459_V06,26,0.183,427.52,215.151692,22.036422,-111.68,41.642229,11018.210853,20130824_071459
2,KMTX20130824_131902_V06,31,0.170,427.74,216.558472,16.406372,-111.68,41.635887,8203.186035,20130824_071902
2,KMTX20130824_132307_V06,35,0.236,427.95,215.962004,21.725743,-111.68,41.638564,10862.871497,20130824_072307
2,KMTX20130824_132712_V06,39,0.066,430.96,208.155273,19.340485,-111.66,41.673585,9670.242310,20130824_072712
4,KMTX20130824_125432_V06,6,0.054,443.54,307.928528,7.474960,-111.59,41.223902,3737.480164,20130824_065432
8,KMTX20130824_130648_V06,18,0.060,143.77,115.195007,51.511536,-113.39,42.090890,25755.767822,20130824_070648
11,KMTX20130824_131053_V06,22,0.110,399.99,213.716217,22.716156,-111.85,41.649667,11358.078003,20130824_071053
12,KMTX20130824_131053_V06,22,0.061,328.33,288.997681,12.848511,-112.28,41.312189,6424.255371,20130824_071053
18,KMTX20130824_133907_V06,51,0.056,438.38,306.182465,5.883835,-111.62,41.231987,2941.917419,20130824_073907
9,KMTX20130829_132443_V06,31,0.326,395.23,209.022308,29.405670,-111.88,41.670942,14702.835083,20130829_072443
9,KMTX20130829_133315_V06,40,0.772,396.90,209.016173,31.820061,-111.87,41.670920,15910.030423,20130829_073315
9,KMTX20130829_134147_V06,48,0.377,398.50,207.883992,31.205159,-111.86,41.675968,15602.579280,20130829_074147
11,KMTX20130829_134147_V06,48,0.417,146.63,144.319916,22.602463,-113.37,41.959934,11301.231384,20130829_074147
11,KMTX20130829_135021_V06,57,-1.000,146.63,144.319916,36.912463,-113.37,41.959934,18456.231384,20130829_075021
11,KMTX20130829_135853_V06,65,-1.000,146.63,144.319916,49.632463,-113.37,41.959934,24816.231384,20130829_075853
11,KMTX20130829_140725_V06,74,0.055,129.61,112.551156,50.018676,-113.48,42.102061,25009.337788,20130829_080725
11,KMTX20130829_141559_V06,82,0.070,130.64,115.179214,46.743589,-113.47,42.090288,23371.794749,20130829_081559
7,KMTX20130829_130744_V06,14,0.151,442.04,300.197662,29.930954,-111.60,41.258771,14965.476990,20130829_070744
7,KMTX20130829_131615_V06,23,0.103,442.89,300.308929,36.164010,-111.59,41.258233,18082.005056,20130829_071615
7,KMTX20130829_132443_V06,31,0.096,443.54,290.432129,21.676178,-111.59,41.302667,10838.088989,20130829_072443
17,KMTX20130829_140725_V06,74,0.085,418.23,205.184021,5.510315,-111.74,41.687455,2755.157471,20130829_080725
17,KMTX20130829_141559_V06,82,0.071,427.09,207.564412,20.784642,-111.68,41.676400,10392.321137,20130829_081559
4,KMTX20130829_125044_V06,-3,0.095,443.18,292.565277,22.070129,-111.59,41.293080,11035.064697,20130829_065044
5,KMTX20130829_125044_V06,-3,0.075,387.72,200.973480,28.580978,-111.92,41.707390,14290.489197,20130829_065044
6,KMTX20130829_125914_V06,6,0.107,139.39,146.780579,18.729546,-113.42,41.948501,9364.772797,20130829_065914
12,KMTX20130829_134147_V06,48,0.166,268.07,440.395264,6.324005,-112.64,40.630515,3162.002563,20130829_074147
14,KMTX20130829_134147_V06,48,0.065,212.28,305.126740,5.169762,-112.97,41.238510,2584.880829,20130829_074147
16,KMTX20130829_135853_V06,65,0.079,399.48,264.719513,19.804733,-111.85,41.420079,9902.366638,20130829_075853
