track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KOHX20170808_103132_V06,-27,0.895,307.49,150.585907,7.913208,-86.52,36.920432,3956.604004,20170808_053132
1,KOHX20170808_103611_V06,-22,0.962,306.84,151.480439,11.015762,-86.52,36.916403,5507.880952,20170808_053611
1,KOHX20170808_104051_V06,-18,0.967,303.99,153.370228,15.067782,-86.54,36.907892,7533.891166,20170808_054051
1,KOHX20170808_104532_V06,-13,0.949,303.56,155.893013,20.733376,-86.54,36.896527,10366.688241,20170808_054532
1,KOHX20170808_105011_V06,-8,0.855,301.04,160.855339,26.870362,-86.56,36.874170,13435.181184,20170808_055011
1,KOHX20170808_105452_V06,-4,0.881,301.99,159.166978,29.020570,-86.55,36.881777,14510.284870,20170808_055452
1,KOHX20170808_105934_V06,1,0.875,303.78,162.501451,33.630957,-86.54,36.866752,16815.478698,20170808_055934
1,KOHX20170808_110415_V06,6,0.835,306.96,165.817455,39.021343,-86.52,36.851807,19510.671292,20170808_060415
1,KOHX20170808_110857_V06,10,0.861,307.98,166.580162,44.844457,-86.52,36.848369,22422.228556,20170808_060857
1,KOHX20170808_111339_V06,15,0.826,311.29,175.252236,53.810246,-86.50,36.809288,26905.122875,20170808_061339
1,KOHX20170808_111820_V06,20,0.844,309.35,171.843267,54.220320,-86.51,36.824653,27110.159834,20170808_061820
1,KOHX20170808_112300_V06,25,0.854,307.92,171.562652,57.000106,-86.52,36.825920,28500.052762,20170808_062300
1,KOHX20170808_112741_V06,29,0.812,307.87,171.591034,58.764130,-86.52,36.825792,29382.064960,20170808_062741
1,KOHX20170808_113224_V06,34,0.593,312.60,164.270947,58.268362,-86.49,36.858761,29134.180884,20170808_063224
1,KOHX20170808_113706_V06,39,0.149,311.56,161.271418,59.895374,-86.50,36.872278,29947.686993,20170808_063706
36,KOHX20170808_110857_V06,10,0.846,382.09,539.721069,29.285168,-86.11,35.166091,14642.583847,20170808_060857
36,KOHX20170808_111339_V06,15,0.909,383.99,539.485447,35.731597,-86.10,35.167113,17865.798317,20170808_061339
36,KOHX20170808_111820_V06,20,0.833,385.28,543.071271,42.167788,-86.09,35.150925,21083.894111,20170808_061820
36,KOHX20170808_112300_V06,25,0.880,386.49,545.987368,49.260548,-86.09,35.137757,24630.274015,20170808_062300
36,KOHX20170808_112741_V06,29,0.880,381.51,545.985973,51.872423,-86.12,35.137869,25936.211446,20170808_062741
36,KOHX20170808_113224_V06,34,0.851,380.47,544.105784,56.837505,-86.12,35.146364,28418.752595,20170808_063224
36,KOHX20170808_113706_V06,39,0.795,378.09,540.863890,59.475353,-86.13,35.161022,29737.676310,20170808_063706
36,KOHX20170808_114149_V06,43,0.315,374.08,536.679868,60.365576,-86.16,35.179955,30182.787850,20170808_064149
36,KOHX20170808_114628_V06,48,-1.000,369.77,532.023295,61.954725,-86.18,35.201020,30977.362339,20170808_064628
36,KOHX20170808_115109_V06,53,0.443,352.02,529.397933,56.187205,-86.28,35.213125,28093.602397,20170808_065109
36,KOHX20170808_115549_V06,57,0.190,349.13,525.831566,55.968954,-86.29,35.229235,27984.476916,20170808_065549
2,KOHX20170808_103132_V06,-27,0.326,253.83,314.891144,6.045883,-86.82,36.179845,3022.941589,20170808_053132
2,KOHX20170808_103611_V06,-22,0.848,250.61,315.756922,10.169962,-86.84,36.175904,5084.980938,20170808_053611
2,KOHX20170808_104051_V06,-18,0.169,247.91,317.499464,15.052674,-86.85,36.168017,7526.336962,20170808_054051
2,KOHX20170808_104532_V06,-13,0.681,241.47,323.764542,18.089204,-86.89,36.139694,9044.602041,20170808_054532
2,KOHX20170808_105011_V06,-8,-1.000,235.99,328.721548,21.972102,-86.92,36.117271,10986.050836,20170808_055011
2,KOHX20170808_105452_V06,-4,-1.000,231.61,332.687152,25.078420,-86.94,36.099327,12539.209872,20170808_055452
