track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
5,KSRX20160730_111921_V06,-6,0.864,538.71,465.728210,34.645737,-93.06,34.536617,17322.868347,20160730_061921
5,KSRX20160730_112858_V06,3,0.931,539.78,469.349741,41.065952,-93.06,34.520233,20532.976089,20160730_062858
5,KSRX20160730_113835_V06,13,0.832,543.08,471.664522,45.133498,-93.04,34.509606,22566.749019,20160730_063835
5,KSRX20160730_114812_V06,23,0.736,543.42,469.433195,47.582375,-93.04,34.519641,23791.187600,20160730_064812
5,KSRX20160730_115749_V06,32,0.400,542.95,465.193663,50.986400,-93.04,34.538775,25493.199933,20160730_065749
5,KSRX20160730_120726_V06,42,0.273,544.78,456.229197,57.814328,-93.03,34.579064,28907.163986,20160730_070726
4,KSRX20160730_111921_V06,-6,0.970,353.34,70.131104,26.157959,-94.06,36.326058,13078.979492,20160730_061921
4,KSRX20160730_112858_V06,3,0.914,359.76,67.905669,39.548109,-94.03,36.335993,19774.054546,20160730_062858
7,KSRX20160730_112858_V06,3,0.355,207.82,445.520203,53.021126,-94.86,34.633661,26510.562897,20160730_062858
7,KSRX20160730_113835_V06,13,0.093,204.78,443.264572,59.887106,-94.88,34.643757,29943.552982,20160730_063835
1,KSRX20160730_110006_V06,-25,0.253,303.35,267.627747,2.693726,-94.34,35.436449,1346.862793,20160730_060006
6,KSRX20160730_111921_V06,-6,0.056,435.75,320.737213,14.757248,-93.62,35.194806,7378.623962,20160730_061921
8,KSRX20160730_112858_V06,3,0.253,336.65,290.026978,10.262894,-94.16,35.335337,5131.446838,20160730_062858
9,KSRX20160730_112858_V06,3,0.071,107.75,253.472504,56.051292,-95.42,35.495606,28025.646210,20160730_062858
10,KSRX20160730_113835_V06,13,0.206,181.83,265.791901,5.653328,-95.01,35.442974,2826.663971,20160730_063835
12,KSRX20160730_114812_V06,23,0.079,381.82,345.647034,29.520683,-93.91,35.084006,14760.341644,20160730_064812
12,KSRX20160730_115749_V06,32,0.079,384.75,348.956299,23.415615,-93.90,35.069031,11707.807541,20160730_065749
14,KSRX20160730_120726_V06,42,0.059,261.78,419.507690,15.039829,-94.57,34.751770,7519.914627,20160730_070726
16,KSRX20160730_123829_V06,73,0.265,374.70,348.614380,18.148964,-93.95,35.070772,9074.481964,20160730_073829
