track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KVAX20171126_114807_V06,-20,0.107,519.75,303.683258,23.761650,-81.85,30.868289,11880.825043,20171126_064807
4,KVAX20171126_120735_V06,-1,0.068,507.53,297.616406,29.420031,-81.92,30.896198,14710.015310,20171126_070735
4,KVAX20171126_121719_V06,9,0.133,502.12,303.507053,31.048014,-81.95,30.869869,15524.007167,20171126_071719
4,KVAX20171126_122214_V06,14,-1.000,499.33,305.663021,31.998470,-81.96,30.860265,15999.234969,20171126_072214
4,KVAX20171126_122711_V06,19,0.088,500.20,305.665637,31.723960,-81.96,30.860216,15861.980091,20171126_072711
4,KVAX20171126_123206_V06,24,0.070,490.26,307.436572,31.437057,-82.01,30.852640,15718.528486,20171126_073206
4,KVAX20171126_123701_V06,29,-1.000,483.47,308.974374,31.376460,-82.04,30.845973,15688.230170,20171126_073701
4,KVAX20171126_124156_V06,33,0.063,479.76,302.127674,30.390995,-82.06,30.876991,15195.497657,20171126_074156
4,KVAX20171126_124652_V06,38,-1.000,473.85,299.506910,29.847973,-82.09,30.889030,14923.986380,20171126_074652
4,KVAX20171126_125147_V06,43,-1.000,467.94,296.886145,29.304950,-82.12,30.901062,14652.475104,20171126_075147
4,KVAX20171126_130138_V06,53,0.081,475.37,306.451017,34.109707,-82.09,30.857659,17054.853290,20171126_080138
4,KVAX20171126_130831_V06,60,0.201,470.65,308.366578,33.262795,-82.11,30.849193,16631.397466,20171126_080831
4,KVAX20171126_131326_V06,65,0.430,466.51,323.951024,42.049841,-82.13,30.779060,21024.920369,20171126_081326
2,KVAX20171126_114807_V06,-20,0.388,332.49,400.883728,7.657944,-82.83,30.434900,3828.971863,20171126_064807
2,KVAX20171126_120735_V06,-1,0.054,334.15,404.678335,20.258780,-82.82,30.417774,10129.389923,20171126_070735
2,KVAX20171126_121719_V06,9,0.561,330.50,409.506089,25.943574,-82.84,30.396024,12971.786971,20171126_071719
2,KVAX20171126_122214_V06,14,0.441,329.81,410.673664,28.886105,-82.85,30.390762,14443.052670,20171126_072214
2,KVAX20171126_122711_V06,19,0.055,325.05,418.022589,29.073193,-82.87,30.357644,14536.596718,20171126_072711
2,KVAX20171126_123206_V06,24,-1.000,321.39,423.696306,30.042217,-82.89,30.332072,15021.108574,20171126_073206
2,KVAX20171126_123701_V06,29,-1.000,317.73,429.370023,31.011241,-82.91,30.306497,15505.620429,20171126_073701
2,KVAX20171126_124156_V06,33,-1.000,314.80,433.908996,31.786460,-82.93,30.286035,15893.229913,20171126_074156
2,KVAX20171126_124652_V06,38,0.107,331.16,433.897870,39.260134,-82.84,30.286007,19630.066916,20171126_074652
6,KVAX20171126_114807_V06,-20,0.085,516.21,274.904694,27.123955,-81.87,30.998226,13561.977386,20171126_064807
6,KVAX20171126_120735_V06,-1,0.257,453.76,298.049689,33.647417,-82.20,30.896297,16823.708548,20171126_070735
6,KVAX20171126_121719_V06,9,0.768,449.44,313.632133,41.377196,-82.22,30.826164,20688.598219,20171126_071719
6,KVAX20171126_122214_V06,14,0.383,445.70,317.991610,47.823700,-82.24,30.806620,23911.850045,20171126_072214
6,KVAX20171126_122711_V06,19,0.139,441.48,307.415629,56.785606,-82.26,30.854443,28392.803013,20171126_072711
8,KVAX20171126_120735_V06,-1,0.811,188.24,405.785645,12.883492,-83.58,30.411594,6441.745758,20171126_070735
8,KVAX20171126_121719_V06,9,0.907,191.97,410.501371,22.790082,-83.56,30.390411,11395.040765,20171126_071719
8,KVAX20171126_122214_V06,14,0.716,191.99,410.650958,26.471511,-83.56,30.389737,13235.755287,20171126_072214
27,KVAX20171126_124652_V06,38,0.114,439.38,279.744385,41.601166,-82.27,30.979293,20800.582886,20171126_074652
27,KVAX20171126_125147_V06,43,0.073,439.06,278.920206,47.106723,-82.27,30.983020,23553.361557,20171126_075147
27,KVAX20171126_130138_V06,53,0.067,436.76,268.891937,38.957260,-82.29,31.028311,19478.630066,20171126_080138
9,KVAX20171126_120735_V06,-1,0.146,434.38,430.733765,34.740868,-82.30,30.298493,17370.433807,20171126_070735
10,KVAX20171126_120735_V06,-1,0.097,455.89,477.290283,13.607773,-82.19,30.087865,6803.886414,20171126_070735
11,KVAX20171126_120735_V06,-1,0.089,183.73,447.667480,4.180893,-83.61,30.222593,2090.446472,20171126_070735
12,KVAX20171126_120735_V06,-1,0.078,275.97,280.879791,12.662659,-83.13,30.976168,6331.329346,20171126_070735
14,KVAX20171126_120735_V06,-1,0.056,119.72,385.713440,26.929094,-83.94,30.500023,13464.547157,20171126_070735
19,KVAX20171126_121719_V06,9,0.079,144.62,353.192261,5.932182,-83.81,30.647566,2966.091156,20171126_071719
19,KVAX20171126_122214_V06,14,0.062,157.14,374.776855,33.736084,-83.75,30.550614,16868.041992,20171126_072214
