filename,local_time
KBGM20220408_100802_V06,20220408_060802
KBGM20220408_101508_V06,20220408_061508
KBGM20220408_102215_V06,20220408_062215
KBGM20220408_102922_V06,20220408_062922
KBGM20220408_103628_V06,20220408_063628
KBGM20220408_104335_V06,20220408_064335
KBGM20220408_105031_V06,20220408_065031
KBGM20220408_110532_V06,20220408_070532
KBGM20220408_111223_V06,20220408_071223
KBGM20220408_111923_V06,20220408_071923
KBGM20220408_112624_V06,20220408_072624
KBGM20220408_113329_V06,20220408_073329
KBGM20220408_114035_V06,20220408_074035
KBGM20220408_114741_V06,20220408_074741
KBGM20220408_120154_V06,20220408_080154
KBGM20220417_100159_V06,20220417_060159
KBGM20220417_100905_V06,20220417_060905
KBGM20220417_101610_V06,20220417_061610
KBGM20220417_102314_V06,20220417_062314
KBGM20220417_103019_V06,20220417_063019
KBGM20220417_103724_V06,20220417_063724
KBGM20220417_104429_V06,20220417_064429
KBGM20220417_105134_V06,20220417_065134
KBGM20220417_110544_V06,20220417_070544
KBGM20220417_111250_V06,20220417_071250
KBGM20220417_111955_V06,20220417_071955
KBGM20220417_112702_V06,20220417_072702
KBGM20220417_113408_V06,20220417_073408
KBGM20220417_114114_V06,20220417_074114
KBGM20220417_114818_V06,20220417_074818
