filename,local_time
KBRO20190419_113617_V06,20190419_063617
KBRO20190419_114328_V06,20190419_064328
KBRO20190419_115038_V06,20190419_065038
KBRO20190419_120457_V06,20190419_070457
KBRO20190419_121206_V06,20190419_071206
KBRO20190419_121915_V06,20190419_071915
KBRO20190419_122624_V06,20190419_072624
KBRO20190419_123333_V06,20190419_073333
KBRO20190419_124042_V06,20190419_074042
KBRO20190419_124752_V06,20190419_074752
KBRO20190419_130211_V06,20190419_080211
KBRO20190419_130921_V06,20190419_080921
KBRO20190419_131631_V06,20190419_081631
KBRO20190419_132340_V06,20190419_082340
KBRO20190419_133049_V06,20190419_083049
KBRO20190502_112515_V06,20190502_062515
KBRO20190502_113224_V06,20190502_063224
KBRO20190502_114134_V06,20190502_064134
KBRO20190502_114844_V06,20190502_064844
KBRO20190502_120303_V06,20190502_070303
KBRO20190502_121012_V06,20190502_071012
KBRO20190502_121723_V06,20190502_071723
KBRO20190502_122433_V06,20190502_072433
KBRO20190502_123142_V06,20190502_073142
KBRO20190502_123852_V06,20190502_073852
KBRO20190502_124601_V06,20190502_074601
KBRO20190502_130019_V06,20190502_080019
KBRO20190502_130727_V06,20190502_080727
KBRO20190502_131436_V06,20190502_081436
KBRO20190502_132146_V06,20190502_082146
