filename,local_time
KBUF20140428_095010_V06,20140428_055010
KBUF20140428_100043_V06,20140428_060043
KBUF20140428_101116_V06,20140428_061116
KBUF20140428_102149_V06,20140428_062149
KBUF20140428_103224_V06,20140428_063224
KBUF20140428_104256_V06,20140428_064256
KBUF20140428_105329_V06,20140428_065329
KBUF20140428_110403_V06,20140428_070403
KBUF20140428_111640_V06,20140428_071640
KBUF20140428_112713_V06,20140428_072713
KBUF20140428_113746_V06,20140428_073746
KBUF20140430_094324_V06,20140430_054324
KBUF20140430_094939_V06,20140430_054939
KBUF20140430_095556_V06,20140430_055556
KBUF20140430_100212_V06,20140430_060212
KBUF20140430_100827_V06,20140430_060827
KBUF20140430_101443_V06,20140430_061443
KBUF20140430_102100_V06,20140430_062100
KBUF20140430_102715_V06,20140430_062715
KBUF20140430_103331_V06,20140430_063331
KBUF20140430_103947_V06,20140430_063947
KBUF20140430_104604_V06,20140430_064604
KBUF20140430_105220_V06,20140430_065220
KBUF20140430_105836_V06,20140430_065836
KBUF20140430_110453_V06,20140430_070453
KBUF20140430_111108_V06,20140430_071108
KBUF20140430_111725_V06,20140430_071725
KBUF20140430_112341_V06,20140430_072341
KBUF20140430_112956_V06,20140430_072956
KBUF20140430_113611_V06,20140430_073611
KBUF20140510_093520_V06,20140510_053520
KBUF20140510_094551_V06,20140510_054551
KBUF20140510_095622_V06,20140510_055622
KBUF20140510_100652_V06,20140510_060652
KBUF20140510_101308_V06,20140510_061308
KBUF20140510_101923_V06,20140510_061923
KBUF20140510_102538_V06,20140510_062538
KBUF20140510_103154_V06,20140510_063154
KBUF20140510_103810_V06,20140510_063810
KBUF20140510_104426_V06,20140510_064426
KBUF20140510_105043_V06,20140510_065043
KBUF20140510_105659_V06,20140510_065659
KBUF20140510_110314_V06,20140510_070314
KBUF20140510_110932_V06,20140510_070932
KBUF20140510_111547_V06,20140510_071547
KBUF20140510_112203_V06,20140510_072203
