filename,local_time
KCLE20130512_094209_V06,20130512_054209
KCLE20130512_095149_V06,20130512_055149
KCLE20130512_100131_V06,20130512_060131
KCLE20130512_101114_V06,20130512_061114
KCLE20130512_102057_V06,20130512_062057
KCLE20130512_103040_V06,20130512_063040
KCLE20130512_104022_V06,20130512_064022
KCLE20130512_105004_V06,20130512_065004
KCLE20130512_105947_V06,20130512_065947
KCLE20130512_110930_V06,20130512_070930
KCLE20130512_111910_V06,20130512_071910
KCLE20130512_112848_V06,20130512_072848
KCLE20130512_113829_V06,20130512_073829
KCLE20130513_095002_V06,20130513_055002
KCLE20130513_095947_V06,20130513_055947
KCLE20130513_100931_V06,20130513_060931
KCLE20130513_101916_V06,20130513_061916
KCLE20130513_102900_V06,20130513_062900
KCLE20130513_103845_V06,20130513_063845
KCLE20130513_104829_V06,20130513_064829
KCLE20130513_105813_V06,20130513_065813
KCLE20130513_110758_V06,20130513_070758
KCLE20130513_111743_V06,20130513_071743
KCLE20130513_112728_V06,20130513_072728
KCLE20130513_113711_V06,20130513_073711
KCLE20130514_094330_V06,20130514_054330
KCLE20130514_094911_V06,20130514_054911
KCLE20130514_095451_V06,20130514_055451
KCLE20130514_100032_V06,20130514_060032
KCLE20130514_100611_V06,20130514_060611
KCLE20130514_101152_V06,20130514_061152
KCLE20130514_101731_V06,20130514_061731
KCLE20130514_102312_V06,20130514_062312
KCLE20130514_102851_V06,20130514_062851
KCLE20130514_103430_V06,20130514_063430
KCLE20130514_104227_V06,20130514_064227
KCLE20130514_104807_V06,20130514_064807
KCLE20130514_105347_V06,20130514_065347
KCLE20130514_105926_V06,20130514_065926
KCLE20130514_110506_V06,20130514_070506
KCLE20130514_111045_V06,20130514_071045
KCLE20130514_111625_V06,20130514_071625
KCLE20130514_112204_V06,20130514_072204
KCLE20130514_112744_V06,20130514_072744
KCLE20130514_113323_V06,20130514_073323
KCLE20130514_113903_V06,20130514_073903
