filename,local_time
KCLX20150214_114800_V06,20150214_064800
KCLX20150214_115748_V06,20150214_065748
KCLX20150214_120735_V06,20150214_070735
KCLX20150214_121721_V06,20150214_071721
KCLX20150214_122709_V06,20150214_072709
KCLX20150214_123655_V06,20150214_073655
KCLX20150214_124642_V06,20150214_074642
KCLX20150214_125629_V06,20150214_075629
KCLX20150214_130615_V06,20150214_080615
KCLX20150214_131602_V06,20150214_081602
KCLX20150214_132549_V06,20150214_082549
KCLX20150214_133536_V06,20150214_083536
KCLX20150509_100213_V06,20150509_060213
KCLX20150509_100526_V06,20150509_060526
KCLX20150509_100839_V06,20150509_060839
KCLX20150509_101151_V06,20150509_061151
KCLX20150509_101503_V06,20150509_061503
KCLX20150509_101816_V06,20150509_061816
KCLX20150509_102128_V06,20150509_062128
KCLX20150509_102440_V06,20150509_062440
KCLX20150509_102752_V06,20150509_062752
KCLX20150509_103104_V06,20150509_063104
KCLX20150509_103417_V06,20150509_063417
KCLX20150509_103729_V06,20150509_063729
KCLX20150509_104041_V06,20150509_064041
KCLX20150509_104353_V06,20150509_064353
KCLX20150509_104705_V06,20150509_064705
KCLX20150509_105018_V06,20150509_065018
KCLX20150509_105330_V06,20150509_065330
KCLX20150509_105642_V06,20150509_065642
KCLX20150509_105955_V06,20150509_065955
KCLX20150509_110307_V06,20150509_070307
KCLX20150509_110620_V06,20150509_070620
KCLX20150509_110932_V06,20150509_070932
KCLX20150509_111244_V06,20150509_071244
KCLX20150509_111556_V06,20150509_071556
KCLX20150509_111909_V06,20150509_071909
KCLX20150509_112221_V06,20150509_072221
KCLX20150509_112534_V06,20150509_072534
KCLX20150509_112846_V06,20150509_072846
KCLX20150509_113158_V06,20150509_073158
KCLX20150509_113511_V06,20150509_073511
KCLX20150509_113823_V06,20150509_073823
KCLX20150509_114135_V06,20150509_074135
KCLX20150509_114448_V06,20150509_074448
KCLX20150509_114759_V06,20150509_074759
KCLX20150509_115113_V06,20150509_075113
KCLX20150509_115425_V06,20150509_075425
KCLX20150509_115737_V06,20150509_075737
