filename,local_time
KCYS20210510_111919_V06,20210510_051919
KCYS20210510_112524_V06,20210510_052524
KCYS20210510_113128_V06,20210510_053128
KCYS20210510_113731_V06,20210510_053731
KCYS20210510_114336_V06,20210510_054336
KCYS20210510_114933_V06,20210510_054933
KCYS20210510_120141_V06,20210510_060141
KCYS20210510_120744_V06,20210510_060744
KCYS20210510_121348_V06,20210510_061348
KCYS20210510_121952_V06,20210510_061952
KCYS20210510_122557_V06,20210510_062557
KCYS20210510_123200_V06,20210510_063200
KCYS20210510_123803_V06,20210510_063803
KCYS20210510_124407_V06,20210510_064407
KCYS20210510_125011_V06,20210510_065011
KCYS20210510_130218_V06,20210510_070218
KCYS20210510_130822_V06,20210510_070822
KCYS20210510_131427_V06,20210510_071427
KCYS20210522_110942_V06,20210522_050942
KCYS20210522_111918_V06,20210522_051918
KCYS20210522_113050_V06,20210522_053050
KCYS20210522_114026_V06,20210522_054026
KCYS20210522_115002_V06,20210522_055002
KCYS20210522_120916_V06,20210522_060916
KCYS20210522_121852_V06,20210522_061852
KCYS20210522_122830_V06,20210522_062830
KCYS20210522_123807_V06,20210522_063807
KCYS20210522_124743_V06,20210522_064743
KCYS20210528_110319_V06,20210528_050319
KCYS20210528_111255_V06,20210528_051255
KCYS20210528_112230_V06,20210528_052230
KCYS20210528_113206_V06,20210528_053206
KCYS20210528_114143_V06,20210528_054143
KCYS20210528_120055_V06,20210528_060055
KCYS20210528_121031_V06,20210528_061031
KCYS20210528_122210_V06,20210528_062210
KCYS20210528_123146_V06,20210528_063146
KCYS20210528_124122_V06,20210528_064122
KCYS20210528_130033_V06,20210528_070033
