filename,local_time
KDFX20160430_113242_V06,20160430_063242
KDFX20160430_113659_V06,20160430_063659
KDFX20160430_114117_V06,20160430_064117
KDFX20160430_114536_V06,20160430_064536
KDFX20160430_114954_V06,20160430_064954
KDFX20160430_115412_V06,20160430_065412
KDFX20160430_115829_V06,20160430_065829
KDFX20160430_120247_V06,20160430_070247
KDFX20160430_120705_V06,20160430_070705
KDFX20160430_121124_V06,20160430_071124
KDFX20160430_121542_V06,20160430_071542
KDFX20160430_121959_V06,20160430_071959
KDFX20160430_122418_V06,20160430_072418
KDFX20160430_122836_V06,20160430_072836
KDFX20160430_123254_V06,20160430_073254
KDFX20160430_123713_V06,20160430_073713
KDFX20160430_124131_V06,20160430_074131
KDFX20160430_124549_V06,20160430_074549
KDFX20160430_125007_V06,20160430_075007
KDFX20160430_125425_V06,20160430_075425
KDFX20160430_125843_V06,20160430_075843
KDFX20160430_130302_V06,20160430_080302
KDFX20160430_130720_V06,20160430_080720
KDFX20160430_131233_V06,20160430_081233
KDFX20160430_131745_V06,20160430_081745
KDFX20160430_132257_V06,20160430_082257
KDFX20160430_132810_V06,20160430_082810
