filename,local_time
KESX20180308_133142_V06,20180308_053142
KESX20180308_134129_V06,20180308_054129
KESX20180308_140101_V06,20180308_060101
KESX20180308_141048_V06,20180308_061048
KESX20180308_142033_V06,20180308_062033
KESX20180308_143020_V06,20180308_063020
KESX20180308_144007_V06,20180308_064007
KESX20180308_144952_V06,20180308_064952
KESX20180308_150926_V06,20180308_070926
KESX20180308_151912_V06,20180308_071912
KESX20180308_152859_V06,20180308_072859
KESX20180405_130356_V06,20180405_060356
KESX20180405_131340_V06,20180405_061340
KESX20180405_132325_V06,20180405_062325
KESX20180405_133310_V06,20180405_063310
KESX20180405_134254_V06,20180405_064254
KESX20180405_140225_V06,20180405_070225
KESX20180405_141210_V06,20180405_071210
KESX20180405_142154_V06,20180405_072154
KESX20180405_143140_V06,20180405_073140
KESX20180405_144124_V06,20180405_074124
KESX20180409_124739_V06,20180409_054739
KESX20180409_125159_V06,20180409_055159
KESX20180409_130039_V06,20180409_060039
KESX20180409_130500_V06,20180409_060500
KESX20180409_130920_V06,20180409_060920
KESX20180409_131340_V06,20180409_061340
KESX20180409_131801_V06,20180409_061801
KESX20180409_132222_V06,20180409_062222
KESX20180409_132642_V06,20180409_062642
KESX20180409_133102_V06,20180409_063102
KESX20180409_133523_V06,20180409_063523
KESX20180409_133944_V06,20180409_063944
KESX20180409_134404_V06,20180409_064404
KESX20180409_134825_V06,20180409_064825
KESX20180409_135245_V06,20180409_065245
KESX20180409_140126_V06,20180409_070126
KESX20180409_140548_V06,20180409_070548
KESX20180409_141008_V06,20180409_071008
KESX20180409_141428_V06,20180409_071428
KESX20180409_141849_V06,20180409_071849
KESX20180409_142310_V06,20180409_072310
KESX20180409_142731_V06,20180409_072731
KESX20180409_143152_V06,20180409_073152
KESX20180409_143612_V06,20180409_073612
KESX20180409_144033_V06,20180409_074033
