filename,local_time
KFSD20170422_110450_V06,20170422_060450
KFSD20170422_111435_V06,20170422_061435
KFSD20170422_112420_V06,20170422_062420
KFSD20170422_113404_V06,20170422_063404
KFSD20170422_114349_V06,20170422_064349
KFSD20170422_120318_V06,20170422_070318
KFSD20170422_121303_V06,20170422_071303
KFSD20170422_122249_V06,20170422_072249
KFSD20170422_123233_V06,20170422_073233
KFSD20170422_124219_V06,20170422_074219
KFSD20170422_130149_V06,20170422_080149
KFSD20170504_104638_V06,20170504_054638
KFSD20170504_104951_V06,20170504_054951
KFSD20170504_105304_V06,20170504_055304
KFSD20170504_105619_V06,20170504_055619
KFSD20170504_110245_V06,20170504_060245
KFSD20170504_110559_V06,20170504_060559
KFSD20170504_110911_V06,20170504_060911
KFSD20170504_111731_V06,20170504_061731
KFSD20170504_112044_V06,20170504_062044
KFSD20170504_112358_V06,20170504_062358
KFSD20170504_112712_V06,20170504_062712
KFSD20170504_113026_V06,20170504_063026
KFSD20170504_113339_V06,20170504_063339
KFSD20170504_113652_V06,20170504_063652
KFSD20170504_114004_V06,20170504_064004
KFSD20170504_114317_V06,20170504_064317
KFSD20170504_114630_V06,20170504_064630
KFSD20170504_114943_V06,20170504_064943
KFSD20170504_115256_V06,20170504_065256
KFSD20170504_115609_V06,20170504_065609
KFSD20170504_120235_V06,20170504_070235
KFSD20170504_120548_V06,20170504_070548
KFSD20170504_120901_V06,20170504_070901
KFSD20170504_121214_V06,20170504_071214
KFSD20170504_121528_V06,20170504_071528
KFSD20170504_121840_V06,20170504_071840
KFSD20170504_122153_V06,20170504_072153
KFSD20170504_122506_V06,20170504_072506
KFSD20170504_122820_V06,20170504_072820
KFSD20170504_123133_V06,20170504_073133
KFSD20170504_123448_V06,20170504_073448
KFSD20170504_123801_V06,20170504_073801
KFSD20170504_124114_V06,20170504_074114
KFSD20170504_124427_V06,20170504_074427
