filename,local_time
KGJX20130414_120822_V06,20130414_060822
KGJX20130414_121301_V06,20130414_061301
KGJX20130414_121740_V06,20130414_061740
KGJX20130414_122219_V06,20130414_062219
KGJX20130414_122700_V06,20130414_062700
KGJX20130414_123139_V06,20130414_063139
KGJX20130414_123618_V06,20130414_063618
KGJX20130414_124058_V06,20130414_064058
KGJX20130414_124537_V06,20130414_064537
KGJX20130414_125016_V06,20130414_065016
KGJX20130414_125456_V06,20130414_065456
KGJX20130414_125935_V06,20130414_065935
KGJX20130414_130414_V06,20130414_070414
KGJX20130414_130854_V06,20130414_070854
KGJX20130414_131333_V06,20130414_071333
KGJX20130414_131813_V06,20130414_071813
KGJX20130414_132252_V06,20130414_072252
KGJX20130414_132732_V06,20130414_072732
KGJX20130414_133211_V06,20130414_073211
KGJX20130414_133652_V06,20130414_073652
KGJX20130414_134131_V06,20130414_074131
KGJX20130414_134611_V06,20130414_074611
KGJX20130414_135051_V06,20130414_075051
KGJX20130414_135531_V06,20130414_075531
KGJX20130414_140011_V06,20130414_080011
KGJX20130414_140451_V06,20130414_080451
