filename,local_time
KGRK20140420_112937_V06,20140420_062937
KGRK20140420_113437_V06,20140420_063437
KGRK20140420_113934_V06,20140420_063934
KGRK20140420_114434_V06,20140420_064434
KGRK20140420_114933_V06,20140420_064933
KGRK20140420_115431_V06,20140420_065431
KGRK20140420_115932_V06,20140420_065932
KGRK20140420_120432_V06,20140420_070432
KGRK20140420_120930_V06,20140420_070930
KGRK20140420_121430_V06,20140420_071430
KGRK20140420_121928_V06,20140420_071928
KGRK20140420_122426_V06,20140420_072426
KGRK20140420_122925_V06,20140420_072925
KGRK20140420_123424_V06,20140420_073424
KGRK20140420_123925_V06,20140420_073925
KGRK20140420_124423_V06,20140420_074423
KGRK20140420_124921_V06,20140420_074921
KGRK20140420_125421_V06,20140420_075421
KGRK20140420_125919_V06,20140420_075919
KGRK20140420_130416_V06,20140420_080416
KGRK20140420_130916_V06,20140420_080916
KGRK20140420_131413_V06,20140420_081413
KGRK20140420_131913_V06,20140420_081913
KGRK20140420_132411_V06,20140420_082411
KGRK20140422_112643_V06,20140422_062643
KGRK20140422_113624_V06,20140422_063624
KGRK20140422_114605_V06,20140422_064605
KGRK20140422_115547_V06,20140422_065547
KGRK20140422_120529_V06,20140422_070529
KGRK20140422_121511_V06,20140422_071511
KGRK20140422_122452_V06,20140422_072452
KGRK20140422_123434_V06,20140422_073434
KGRK20140422_124416_V06,20140422_074416
KGRK20140422_125359_V06,20140422_075359
KGRK20140422_130340_V06,20140422_080340
KGRK20140422_131322_V06,20140422_081322
KGRK20140422_132304_V06,20140422_082304
KGRK20140624_105937_V06,20140624_055937
KGRK20140624_110249_V06,20140624_060249
KGRK20140624_110601_V06,20140624_060601
KGRK20140624_110913_V06,20140624_060913
KGRK20140624_111226_V06,20140624_061226
KGRK20140624_111553_V06,20140624_061553
KGRK20140624_111905_V06,20140624_061905
KGRK20140624_112218_V06,20140624_062218
KGRK20140624_112530_V06,20140624_062530
KGRK20140624_112843_V06,20140624_062843
KGRK20140624_113210_V06,20140624_063210
KGRK20140624_113522_V06,20140624_063522
KGRK20140624_113834_V06,20140624_063834
KGRK20140624_114147_V06,20140624_064147
KGRK20140624_114500_V06,20140624_064500
KGRK20140624_114812_V06,20140624_064812
KGRK20140624_115124_V06,20140624_065124
KGRK20140624_115437_V06,20140624_065437
KGRK20140624_115750_V06,20140624_065750
KGRK20140624_120102_V06,20140624_070102
KGRK20140624_120415_V06,20140624_070415
KGRK20140624_120727_V06,20140624_070727
KGRK20140624_121039_V06,20140624_071039
KGRK20140624_121351_V06,20140624_071351
KGRK20140624_121704_V06,20140624_071704
KGRK20140624_122028_V06,20140624_072028
KGRK20140624_122340_V06,20140624_072340
KGRK20140624_122652_V06,20140624_072652
KGRK20140624_123004_V06,20140624_073004
KGRK20140624_123317_V06,20140624_073317
KGRK20140624_123629_V06,20140624_073629
KGRK20140624_123941_V06,20140624_073941
KGRK20140624_124254_V06,20140624_074254
KGRK20140624_124607_V06,20140624_074607
KGRK20140624_124918_V06,20140624_074918
KGRK20140624_125230_V06,20140624_075230
KGRK20140624_125543_V06,20140624_075543
KGRK20140626_110321_V06,20140626_060321
KGRK20140626_111302_V06,20140626_061302
KGRK20140626_112243_V06,20140626_062243
KGRK20140626_112555_V06,20140626_062555
KGRK20140626_112908_V06,20140626_062908
KGRK20140626_113221_V06,20140626_063221
KGRK20140626_113534_V06,20140626_063534
KGRK20140626_113847_V06,20140626_063847
KGRK20140626_114200_V06,20140626_064200
