filename,local_time
KICX20140511_115637_V06,20140511_055637
KICX20140511_120226_V06,20140511_060226
KICX20140511_120815_V06,20140511_060815
KICX20140511_121405_V06,20140511_061405
KICX20140511_121954_V06,20140511_061954
KICX20140511_122543_V06,20140511_062543
KICX20140511_123132_V06,20140511_063132
KICX20140511_123722_V06,20140511_063722
KICX20140511_124311_V06,20140511_064311
KICX20140511_124900_V06,20140511_064900
KICX20140511_125449_V06,20140511_065449
KICX20140511_130038_V06,20140511_070038
KICX20140511_130628_V06,20140511_070628
KICX20140511_131217_V06,20140511_071217
KICX20140511_131808_V06,20140511_071808
KICX20140511_132357_V06,20140511_072357
KICX20140511_132946_V06,20140511_072946
KICX20140511_133536_V06,20140511_073536
KICX20140511_134126_V06,20140511_074126
KICX20140511_134715_V06,20140511_074715
KICX20140511_135304_V06,20140511_075304
