filename,local_time
KINX20160507_105725_V06,20160507_055725
KINX20160507_110704_V06,20160507_060704
KINX20160507_111643_V06,20160507_061643
KINX20160507_112621_V06,20160507_062621
KINX20160507_113600_V06,20160507_063600
KINX20160507_114538_V06,20160507_064538
KINX20160507_115517_V06,20160507_065517
KINX20160507_120457_V06,20160507_070457
KINX20160507_121437_V06,20160507_071437
KINX20160507_122416_V06,20160507_072416
KINX20160507_123353_V06,20160507_073353
KINX20160507_124333_V06,20160507_074333
