filename,local_time
KLCH20180211_122911_V06,20180211_062911
KLCH20180211_123415_V06,20180211_063415
KLCH20180211_123918_V06,20180211_063918
KLCH20180211_124422_V06,20180211_064422
KLCH20180211_124944_V06,20180211_064944
KLCH20180211_125448_V06,20180211_065448
KLCH20180211_130450_V06,20180211_070450
KLCH20180211_130953_V06,20180211_070953
KLCH20180211_131457_V06,20180211_071457
KLCH20180211_132154_V06,20180211_072154
KLCH20180211_132652_V06,20180211_072652
KLCH20180211_133155_V06,20180211_073155
KLCH20180211_133657_V06,20180211_073657
KLCH20180211_134211_V06,20180211_074211
KLCH20180211_134717_V06,20180211_074717
KLCH20180211_135219_V06,20180211_075219
KLCH20180211_140235_V06,20180211_080235
KLCH20180211_140742_V06,20180211_080742
KLCH20180211_141241_V06,20180211_081241
KLCH20180211_141731_V06,20180211_081731
KLCH20180211_142236_V06,20180211_082236
KLCH20180417_111953_V06,20180417_061953
KLCH20180417_112932_V06,20180417_062932
KLCH20180417_113911_V06,20180417_063911
KLCH20180417_114358_V06,20180417_064358
KLCH20180417_114846_V06,20180417_064846
KLCH20180417_115333_V06,20180417_065333
KLCH20180417_120305_V06,20180417_070305
KLCH20180417_120752_V06,20180417_070752
KLCH20180417_121239_V06,20180417_071239
KLCH20180417_121727_V06,20180417_071727
KLCH20180417_122706_V06,20180417_072706
KLCH20180417_123646_V06,20180417_073646
KLCH20180417_124625_V06,20180417_074625
KLCH20180417_130544_V06,20180417_080544
KLCH20180421_111718_V06,20180421_061718
KLCH20180421_112656_V06,20180421_062656
KLCH20180421_113635_V06,20180421_063635
KLCH20180421_114615_V06,20180421_064615
KLCH20180421_120533_V06,20180421_070533
KLCH20180421_121511_V06,20180421_071511
KLCH20180421_122451_V06,20180421_072451
KLCH20180421_123430_V06,20180421_073430
KLCH20180421_124409_V06,20180421_074409
KLCH20180421_130327_V06,20180421_080327
