filename,local_time
KLIX20150227_120339_V06,20150227_060339
KLIX20150227_121332_V06,20150227_061332
KLIX20150227_122325_V06,20150227_062325
KLIX20150227_123317_V06,20150227_063317
KLIX20150227_124310_V06,20150227_064310
KLIX20150227_125303_V06,20150227_065303
KLIX20150227_130255_V06,20150227_070255
KLIX20150227_131248_V06,20150227_071248
KLIX20150227_132241_V06,20150227_072241
KLIX20150227_133234_V06,20150227_073234
KLIX20150227_134227_V06,20150227_074227
KLIX20150227_135218_V06,20150227_075218
KLIX20150228_115907_V06,20150228_055907
KLIX20150228_120900_V06,20150228_060900
KLIX20150228_121851_V06,20150228_061851
KLIX20150228_122842_V06,20150228_062842
KLIX20150228_123834_V06,20150228_063834
KLIX20150228_124826_V06,20150228_064826
KLIX20150228_125816_V06,20150228_065816
KLIX20150228_130807_V06,20150228_070807
KLIX20150228_131758_V06,20150228_071758
KLIX20150228_132749_V06,20150228_072749
KLIX20150228_133739_V06,20150228_073739
KLIX20150228_134728_V06,20150228_074728
