filename,local_time
KLNX20150430_111256_V06,20150430_061256
KLNX20150430_112239_V06,20150430_062239
KLNX20150430_113221_V06,20150430_063221
KLNX20150430_114204_V06,20150430_064204
KLNX20150430_115147_V06,20150430_065147
KLNX20150430_120130_V06,20150430_070130
KLNX20150430_121114_V06,20150430_071114
KLNX20150430_122056_V06,20150430_072056
KLNX20150430_123038_V06,20150430_073038
KLNX20150430_124021_V06,20150430_074021
KLNX20150430_125003_V06,20150430_075003
KLNX20150430_125945_V06,20150430_075945
KLNX20150430_130928_V06,20150430_080928
