filename,local_time
KMSX20210412_122420_V06,20210412_062420
KMSX20210412_123301_V06,20210412_063301
KMSX20210412_124143_V06,20210412_064143
KMSX20210412_125025_V06,20210412_065025
KMSX20210412_130747_V06,20210412_070747
KMSX20210412_131629_V06,20210412_071629
KMSX20210412_132511_V06,20210412_072511
KMSX20210412_133352_V06,20210412_073352
KMSX20210412_134234_V06,20210412_074234
KMSX20210412_135115_V06,20210412_075115
KMSX20210412_140838_V06,20210412_080838
KMSX20210412_141721_V06,20210412_081721
KMSX20210503_114921_V06,20210503_054921
KMSX20210503_120026_V06,20210503_060026
KMSX20210503_120559_V06,20210503_060559
KMSX20210503_121132_V06,20210503_061132
KMSX20210503_121705_V06,20210503_061705
KMSX20210503_122238_V06,20210503_062238
KMSX20210503_122812_V06,20210503_062812
KMSX20210503_123344_V06,20210503_063344
KMSX20210503_123918_V06,20210503_063918
KMSX20210503_124750_V06,20210503_064750
KMSX20210503_130511_V06,20210503_070511
KMSX20210503_131541_V06,20210503_071541
KMSX20210503_132421_V06,20210503_072421
KMSX20210503_133302_V06,20210503_073302
KMSX20210503_134142_V06,20210503_074142
KMSX20210510_113722_V06,20210510_053722
KMSX20210510_114307_V06,20210510_054307
KMSX20210510_114844_V06,20210510_054844
KMSX20210510_120014_V06,20210510_060014
KMSX20210510_120559_V06,20210510_060559
KMSX20210510_121144_V06,20210510_061144
KMSX20210510_121729_V06,20210510_061729
KMSX20210510_122314_V06,20210510_062314
KMSX20210510_122858_V06,20210510_062858
KMSX20210510_123444_V06,20210510_063444
KMSX20210510_124029_V06,20210510_064029
KMSX20210510_124614_V06,20210510_064614
KMSX20210510_125159_V06,20210510_065159
KMSX20210510_130329_V06,20210510_070329
KMSX20210510_130915_V06,20210510_070915
KMSX20210510_131500_V06,20210510_071500
KMSX20210510_132046_V06,20210510_072046
KMSX20210510_132631_V06,20210510_072631
KMSX20210510_133215_V06,20210510_073215
KMSX20210519_112857_V06,20210519_052857
KMSX20210519_113316_V06,20210519_053316
KMSX20210519_113734_V06,20210519_053734
KMSX20210519_114153_V06,20210519_054153
KMSX20210519_114612_V06,20210519_054612
KMSX20210519_115031_V06,20210519_055031
KMSX20210519_115450_V06,20210519_055450
KMSX20210519_120328_V06,20210519_060328
KMSX20210519_120747_V06,20210519_060747
KMSX20210519_121205_V06,20210519_061205
KMSX20210519_121624_V06,20210519_061624
KMSX20210519_122044_V06,20210519_062044
KMSX20210519_122503_V06,20210519_062503
KMSX20210519_122922_V06,20210519_062922
KMSX20210519_123341_V06,20210519_063341
KMSX20210519_123801_V06,20210519_063801
KMSX20210519_124222_V06,20210519_064222
KMSX20210519_125055_V06,20210519_065055
KMSX20210519_130817_V06,20210519_070817
KMSX20210519_131658_V06,20210519_071658
