filename,local_time
KMVX20150509_103911_V06,20150509_053911
KMVX20150509_104816_V06,20150509_054816
KMVX20150509_105721_V06,20150509_055721
KMVX20150509_110625_V06,20150509_060625
KMVX20150509_111530_V06,20150509_061530
KMVX20150509_112435_V06,20150509_062435
KMVX20150509_113339_V06,20150509_063339
KMVX20150509_114244_V06,20150509_064244
KMVX20150509_115149_V06,20150509_065149
KMVX20150509_120053_V06,20150509_070053
KMVX20150509_120958_V06,20150509_070958
KMVX20150509_121902_V06,20150509_071902
KMVX20150509_122807_V06,20150509_072807
