filename,local_time
KNQA20130526_101905_V06,20130526_051905
KNQA20130526_102849_V06,20130526_052849
KNQA20130526_103832_V06,20130526_053832
KNQA20130526_104817_V06,20130526_054817
KNQA20130526_105800_V06,20130526_055800
KNQA20130526_110743_V06,20130526_060743
KNQA20130526_111727_V06,20130526_061727
KNQA20130526_112711_V06,20130526_062711
KNQA20130526_113655_V06,20130526_063655
KNQA20130526_114639_V06,20130526_064639
KNQA20130526_115624_V06,20130526_065624
KNQA20130526_120607_V06,20130526_070607
KNQA20130526_121551_V06,20130526_071551
