filename,local_time
KRGX20200401_131316_V06,20200401_061316
KRGX20200401_132023_V06,20200401_062023
KRGX20200401_132730_V06,20200401_062730
KRGX20200401_133437_V06,20200401_063437
KRGX20200401_134144_V06,20200401_064144
KRGX20200401_134851_V06,20200401_064851
KRGX20200401_140304_V06,20200401_070304
KRGX20200401_141011_V06,20200401_071011
KRGX20200401_141718_V06,20200401_071718
KRGX20200401_142425_V06,20200401_072425
KRGX20200401_143132_V06,20200401_073132
KRGX20200401_143838_V06,20200401_073838
KRGX20200401_144545_V06,20200401_074545
KRGX20200401_145252_V06,20200401_075252
KRGX20200401_150706_V06,20200401_080706
KRGX20200403_131157_V06,20200403_061157
KRGX20200403_131902_V06,20200403_061902
KRGX20200403_132608_V06,20200403_062608
KRGX20200403_133313_V06,20200403_063313
KRGX20200403_134018_V06,20200403_064018
KRGX20200403_134723_V06,20200403_064723
KRGX20200403_140132_V06,20200403_070132
KRGX20200403_140837_V06,20200403_070837
KRGX20200403_141541_V06,20200403_071541
KRGX20200403_142246_V06,20200403_072246
KRGX20200403_142952_V06,20200403_072952
KRGX20200403_143658_V06,20200403_073658
KRGX20200403_144403_V06,20200403_074403
KRGX20200403_145108_V06,20200403_075108
KRGX20200403_150519_V06,20200403_080519
KRGX20200408_130339_V06,20200408_060339
KRGX20200408_131045_V06,20200408_061045
KRGX20200408_131750_V06,20200408_061750
KRGX20200408_132455_V06,20200408_062455
KRGX20200408_133159_V06,20200408_063159
KRGX20200408_133904_V06,20200408_063904
KRGX20200408_134609_V06,20200408_064609
KRGX20200408_140020_V06,20200408_070020
KRGX20200408_140725_V06,20200408_070725
KRGX20200408_141431_V06,20200408_071431
KRGX20200408_142136_V06,20200408_072136
KRGX20200408_142842_V06,20200408_072842
KRGX20200408_143546_V06,20200408_073546
KRGX20200408_144251_V06,20200408_074251
KRGX20200408_144956_V06,20200408_074956
KRGX20200416_125111_V06,20200416_055111
KRGX20200416_130524_V06,20200416_060524
KRGX20200416_131231_V06,20200416_061231
KRGX20200416_131938_V06,20200416_061938
KRGX20200416_132645_V06,20200416_062645
KRGX20200416_133352_V06,20200416_063352
KRGX20200416_134058_V06,20200416_064058
KRGX20200416_134805_V06,20200416_064805
KRGX20200416_140219_V06,20200416_070219
KRGX20200416_140926_V06,20200416_070926
KRGX20200416_141633_V06,20200416_071633
KRGX20200416_142340_V06,20200416_072340
KRGX20200416_143046_V06,20200416_073046
KRGX20200416_143753_V06,20200416_073753
KRGX20200416_144500_V06,20200416_074500
