filename,local_time
KRIW20140416_120354_V06,20140416_060354
KRIW20140416_120815_V06,20140416_060815
KRIW20140416_121236_V06,20140416_061236
KRIW20140416_121658_V06,20140416_061658
KRIW20140416_122119_V06,20140416_062119
KRIW20140416_122540_V06,20140416_062540
KRIW20140416_123002_V06,20140416_063002
KRIW20140416_123423_V06,20140416_063423
KRIW20140416_123844_V06,20140416_063844
KRIW20140416_124306_V06,20140416_064306
KRIW20140416_124727_V06,20140416_064727
KRIW20140416_125148_V06,20140416_065148
KRIW20140416_125609_V06,20140416_065609
KRIW20140416_130549_V06,20140416_070549
KRIW20140416_131531_V06,20140416_071531
KRIW20140416_132513_V06,20140416_072513
KRIW20140416_133456_V06,20140416_073456
KRIW20140416_134439_V06,20140416_074439
KRIW20140416_135422_V06,20140416_075422
KRIW20140426_114641_V06,20140426_054641
KRIW20140426_115624_V06,20140426_055624
KRIW20140426_120608_V06,20140426_060608
KRIW20140426_121553_V06,20140426_061553
KRIW20140426_122537_V06,20140426_062537
KRIW20140426_123726_V06,20140426_063726
KRIW20140426_124711_V06,20140426_064711
KRIW20140426_125655_V06,20140426_065655
KRIW20140426_130009_V06,20140426_070009
KRIW20140426_130322_V06,20140426_070322
KRIW20140426_130634_V06,20140426_070634
KRIW20140426_130947_V06,20140426_070947
KRIW20140426_131300_V06,20140426_071300
KRIW20140426_131612_V06,20140426_071612
KRIW20140426_131924_V06,20140426_071924
KRIW20140426_132237_V06,20140426_072237
KRIW20140426_132550_V06,20140426_072550
KRIW20140426_132902_V06,20140426_072902
KRIW20140426_133214_V06,20140426_073214
KRIW20140426_133526_V06,20140426_073526
KRIW20140426_133839_V06,20140426_073839
KRIW20140426_134151_V06,20140426_074151
KRIW20140514_112434_V06,20140514_052434
KRIW20140514_112745_V06,20140514_052745
KRIW20140514_113057_V06,20140514_053057
KRIW20140514_113409_V06,20140514_053409
KRIW20140514_113721_V06,20140514_053721
KRIW20140514_114033_V06,20140514_054033
KRIW20140514_114345_V06,20140514_054345
KRIW20140514_114657_V06,20140514_054657
KRIW20140514_115009_V06,20140514_055009
KRIW20140514_115320_V06,20140514_055320
KRIW20140514_115632_V06,20140514_055632
KRIW20140514_115943_V06,20140514_055943
KRIW20140514_120255_V06,20140514_060255
KRIW20140514_120607_V06,20140514_060607
KRIW20140514_120918_V06,20140514_060918
KRIW20140514_121229_V06,20140514_061229
KRIW20140514_121541_V06,20140514_061541
KRIW20140514_121853_V06,20140514_061853
KRIW20140514_122205_V06,20140514_062205
KRIW20140514_122531_V06,20140514_062531
KRIW20140514_122842_V06,20140514_062842
KRIW20140514_123154_V06,20140514_063154
KRIW20140514_123506_V06,20140514_063506
KRIW20140514_123817_V06,20140514_063817
KRIW20140514_124129_V06,20140514_064129
KRIW20140514_124441_V06,20140514_064441
KRIW20140514_124754_V06,20140514_064754
KRIW20140514_125106_V06,20140514_065106
KRIW20140514_125418_V06,20140514_065418
KRIW20140514_125729_V06,20140514_065729
KRIW20140514_130041_V06,20140514_070041
KRIW20140514_130355_V06,20140514_070355
KRIW20140514_130707_V06,20140514_070707
KRIW20140514_131019_V06,20140514_071019
KRIW20140514_131330_V06,20140514_071330
KRIW20140514_131643_V06,20140514_071643
KRIW20140514_131955_V06,20140514_071955
