filename,local_time
KTBW20220101_120243_V06,20220101_070243
KTBW20220101_120948_V06,20220101_070948
KTBW20220101_121653_V06,20220101_071653
KTBW20220101_122358_V06,20220101_072358
KTBW20220101_123103_V06,20220101_073103
KTBW20220101_123808_V06,20220101_073808
KTBW20220101_124514_V06,20220101_074514
KTBW20220101_125219_V06,20220101_075219
KTBW20220101_130622_V06,20220101_080622
KTBW20220101_131316_V06,20220101_081316
KTBW20220101_132011_V06,20220101_082011
KTBW20220101_132710_V06,20220101_082710
KTBW20220101_133410_V06,20220101_083410
KTBW20220101_134056_V06,20220101_084056
KTBW20220101_134742_V06,20220101_084742
KTBW20220103_115137_V06,20220103_065137
KTBW20220103_120055_V06,20220103_070055
KTBW20220103_120534_V06,20220103_070534
KTBW20220103_121013_V06,20220103_071013
KTBW20220103_121451_V06,20220103_071451
KTBW20220103_121930_V06,20220103_071930
KTBW20220103_122408_V06,20220103_072408
KTBW20220103_122847_V06,20220103_072847
KTBW20220103_123327_V06,20220103_073327
KTBW20220103_123806_V06,20220103_073806
KTBW20220103_124246_V06,20220103_074246
KTBW20220103_124704_V06,20220103_074704
KTBW20220103_125123_V06,20220103_075123
KTBW20220103_125540_V06,20220103_075540
KTBW20220103_130415_V06,20220103_080415
KTBW20220103_130833_V06,20220103_080833
KTBW20220103_131532_V06,20220103_081532
KTBW20220103_132218_V06,20220103_082218
KTBW20220103_132903_V06,20220103_082903
KTBW20220103_133548_V06,20220103_083548
KTBW20220103_134234_V06,20220103_084234
KTBW20220103_134920_V06,20220103_084920
KTBW20220104_115113_V06,20220104_065113
KTBW20220104_120446_V06,20220104_070446
KTBW20220104_121133_V06,20220104_071133
KTBW20220104_121818_V06,20220104_071818
KTBW20220104_122504_V06,20220104_072504
KTBW20220104_123159_V06,20220104_073159
KTBW20220104_123854_V06,20220104_073854
KTBW20220104_124600_V06,20220104_074600
KTBW20220104_125259_V06,20220104_075259
KTBW20220104_130658_V06,20220104_080658
KTBW20220104_131357_V06,20220104_081357
KTBW20220104_132051_V06,20220104_082051
KTBW20220104_132757_V06,20220104_082757
KTBW20220104_133503_V06,20220104_083503
KTBW20220104_134208_V06,20220104_084208
KTBW20220104_134907_V06,20220104_084907
KTBW20220107_120511_V06,20220107_070511
KTBW20220107_121217_V06,20220107_071217
KTBW20220107_121916_V06,20220107_071916
KTBW20220107_122610_V06,20220107_072610
KTBW20220107_123304_V06,20220107_073304
KTBW20220107_124009_V06,20220107_074009
KTBW20220107_124714_V06,20220107_074714
KTBW20220107_130118_V06,20220107_080118
KTBW20220107_130817_V06,20220107_080817
KTBW20220107_131523_V06,20220107_081523
KTBW20220107_132229_V06,20220107_082229
KTBW20220107_132935_V06,20220107_082935
KTBW20220107_133641_V06,20220107_083641
KTBW20220107_134339_V06,20220107_084339
KTBW20220107_135029_V06,20220107_085029
KTBW20220110_115412_V06,20220110_065412
KTBW20220110_120247_V06,20220110_070247
KTBW20220110_120706_V06,20220110_070706
KTBW20220110_121125_V06,20220110_071125
KTBW20220110_121548_V06,20220110_071548
KTBW20220110_122006_V06,20220110_072006
KTBW20220110_122424_V06,20220110_072424
KTBW20220110_122841_V06,20220110_072841
KTBW20220110_123259_V06,20220110_073259
KTBW20220110_123718_V06,20220110_073718
KTBW20220110_124137_V06,20220110_074137
KTBW20220110_124615_V06,20220110_074615
KTBW20220110_125054_V06,20220110_075054
KTBW20220110_125533_V06,20220110_075533
KTBW20220110_130452_V06,20220110_080452
KTBW20220110_130931_V06,20220110_080931
KTBW20220110_131410_V06,20220110_081410
KTBW20220110_131848_V06,20220110_081848
KTBW20220110_132327_V06,20220110_082327
KTBW20220110_132806_V06,20220110_082806
KTBW20220110_133245_V06,20220110_083245
KTBW20220110_133724_V06,20220110_083724
KTBW20220110_134204_V06,20220110_084204
KTBW20220110_134644_V06,20220110_084644
KTBW20220110_135122_V06,20220110_085122
KTBW20220116_115248_V06,20220116_065248
KTBW20220116_120728_V06,20220116_070728
KTBW20220116_121447_V06,20220116_071447
KTBW20220116_122207_V06,20220116_072207
KTBW20220116_122927_V06,20220116_072927
KTBW20220116_123647_V06,20220116_073647
KTBW20220116_124406_V06,20220116_074406
KTBW20220116_125125_V06,20220116_075125
KTBW20220116_130604_V06,20220116_080604
KTBW20220116_131323_V06,20220116_081323
KTBW20220116_132043_V06,20220116_082043
KTBW20220116_132803_V06,20220116_082803
KTBW20220116_133456_V06,20220116_083456
KTBW20220116_134135_V06,20220116_084135
KTBW20220116_134800_V06,20220116_084800
KTBW20220122_120255_V06,20220122_070255
KTBW20220122_120950_V06,20220122_070950
KTBW20220122_121647_V06,20220122_071647
KTBW20220122_122344_V06,20220122_072344
KTBW20220122_123154_V06,20220122_073154
KTBW20220122_123850_V06,20220122_073850
KTBW20220122_124547_V06,20220122_074547
KTBW20220122_125244_V06,20220122_075244
KTBW20220122_130638_V06,20220122_080638
KTBW20220122_131334_V06,20220122_081334
KTBW20220122_132040_V06,20220122_082040
KTBW20220122_132731_V06,20220122_082731
KTBW20220122_133422_V06,20220122_083422
KTBW20220122_134126_V06,20220122_084126
KTBW20220122_134823_V06,20220122_084823
KTBW20220123_120437_V06,20220123_070437
KTBW20220123_121256_V06,20220123_071256
KTBW20220123_122114_V06,20220123_072114
KTBW20220123_122934_V06,20220123_072934
KTBW20220123_123759_V06,20220123_073759
KTBW20220123_124733_V06,20220123_074733
KTBW20220123_130428_V06,20220123_080428
KTBW20220123_131247_V06,20220123_081247
KTBW20220123_132105_V06,20220123_082105
KTBW20220123_132935_V06,20220123_082935
KTBW20220123_133759_V06,20220123_083759
KTBW20220123_134642_V06,20220123_084642
KTBW20220127_120530_V06,20220127_070530
KTBW20220127_121415_V06,20220127_071415
KTBW20220127_122300_V06,20220127_072300
KTBW20220127_123143_V06,20220127_073143
KTBW20220127_124028_V06,20220127_074028
KTBW20220127_124912_V06,20220127_074912
KTBW20220127_130751_V06,20220127_080751
KTBW20220127_131629_V06,20220127_081629
KTBW20220127_132506_V06,20220127_082506
KTBW20220127_133343_V06,20220127_083343
KTBW20220127_134220_V06,20220127_084220
KTBW20220128_120413_V06,20220128_070413
KTBW20220128_121257_V06,20220128_071257
KTBW20220128_122142_V06,20220128_072142
KTBW20220128_123028_V06,20220128_073028
KTBW20220128_123904_V06,20220128_073904
KTBW20220128_124748_V06,20220128_074748
KTBW20220128_130517_V06,20220128_080517
KTBW20220128_131401_V06,20220128_081401
KTBW20220128_132354_V06,20220128_082354
KTBW20220128_133239_V06,20220128_083239
KTBW20220128_134124_V06,20220128_084124
KTBW20220131_120049_V06,20220131_070049
KTBW20220131_120755_V06,20220131_070755
KTBW20220131_121500_V06,20220131_071500
KTBW20220131_121929_V06,20220131_071929
KTBW20220131_122409_V06,20220131_072409
KTBW20220131_122849_V06,20220131_072849
KTBW20220131_123330_V06,20220131_073330
KTBW20220131_123808_V06,20220131_073808
KTBW20220131_124248_V06,20220131_074248
KTBW20220131_124728_V06,20220131_074728
