filename,local_time
KTLX20140429_111228_V06,20140429_061228
KTLX20140429_112212_V06,20140429_062212
KTLX20140429_113157_V06,20140429_063157
KTLX20140429_114143_V06,20140429_064143
KTLX20140429_115129_V06,20140429_065129
KTLX20140429_120114_V06,20140429_070114
KTLX20140429_121059_V06,20140429_071059
KTLX20140429_122045_V06,20140429_072045
KTLX20140429_123030_V06,20140429_073030
KTLX20140429_124015_V06,20140429_074015
KTLX20140429_125001_V06,20140429_075001
KTLX20140429_125946_V06,20140429_075946
KTLX20140429_130931_V06,20140429_080931
