filename,local_time
KTWX20170421_111340_V06,20170421_061340
KTWX20170421_111816_V06,20170421_061816
KTWX20170421_112252_V06,20170421_062252
KTWX20170421_112653_V06,20170421_062653
KTWX20170421_113053_V06,20170421_063053
KTWX20170421_113452_V06,20170421_063452
KTWX20170421_113852_V06,20170421_063852
KTWX20170421_114251_V06,20170421_064251
KTWX20170421_114651_V06,20170421_064651
KTWX20170421_115635_V06,20170421_065635
KTWX20170421_120619_V06,20170421_070619
KTWX20170421_121603_V06,20170421_071603
KTWX20170421_121936_V06,20170421_071936
KTWX20170421_122335_V06,20170421_072335
KTWX20170421_122735_V06,20170421_072735
KTWX20170421_123135_V06,20170421_073135
KTWX20170421_123535_V06,20170421_073535
KTWX20170421_124137_V06,20170421_074137
KTWX20170421_124538_V06,20170421_074538
KTWX20170421_124938_V06,20170421_074938
KTWX20170421_125337_V06,20170421_075337
KTWX20170421_125738_V06,20170421_075738
KTWX20170421_130137_V06,20170421_080137
KTWX20170421_130536_V06,20170421_080536
