filename,local_time
KYUX20220304_133533_V06,20220304_063533
KYUX20220304_134357_V06,20220304_064357
KYUX20220304_140046_V06,20220304_070046
KYUX20220304_140924_V06,20220304_070924
KYUX20220304_141803_V06,20220304_071803
KYUX20220304_142642_V06,20220304_072642
KYUX20220304_143456_V06,20220304_073456
KYUX20220304_144326_V06,20220304_074326
KYUX20220304_150028_V06,20220304_080028
KYUX20220304_150853_V06,20220304_080853
KYUX20220304_151716_V06,20220304_081716
KYUX20220304_152530_V06,20220304_082530
KYUX20220322_131736_V06,20220322_061736
KYUX20220322_132615_V06,20220322_062615
KYUX20220322_133453_V06,20220322_063453
KYUX20220322_134331_V06,20220322_064331
KYUX20220322_140048_V06,20220322_070048
KYUX20220322_140927_V06,20220322_070927
KYUX20220322_141806_V06,20220322_071806
KYUX20220322_142645_V06,20220322_072645
KYUX20220322_143522_V06,20220322_073522
KYUX20220322_144401_V06,20220322_074401
KYUX20220322_150118_V06,20220322_080118
KYUX20220323_131422_V06,20220323_061422
KYUX20220323_132304_V06,20220323_062304
KYUX20220323_133147_V06,20220323_063147
KYUX20220323_134145_V06,20220323_064145
KYUX20220323_135027_V06,20220323_065027
KYUX20220323_140753_V06,20220323_070753
KYUX20220323_141636_V06,20220323_071636
KYUX20220323_142518_V06,20220323_072518
KYUX20220409_130231_V06,20220409_060231
KYUX20220409_131113_V06,20220409_061113
KYUX20220409_131956_V06,20220409_061956
KYUX20220409_132838_V06,20220409_062838
KYUX20220409_133718_V06,20220409_063718
KYUX20220409_134601_V06,20220409_064601
KYUX20220409_140325_V06,20220409_070325
KYUX20220409_141208_V06,20220409_071208
KYUX20220409_142049_V06,20220409_072049
KYUX20220409_142931_V06,20220409_072931
KYUX20220409_143924_V06,20220409_073924
