track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KBLX20210504_113310_V06,-23,0.247,35.86,427.881104,52.967789,-110.29,45.266107,26483.894348,20210504_053310
1,KBLX20210504_114148_V06,-15,0.144,34.68,419.834998,59.952706,-110.30,45.302183,29976.353201,20210504_054148
1,KBLX20210504_115025_V06,-6,0.130,34.48,412.362015,56.573852,-110.30,45.335775,28286.925871,20210504_055025
1,KBLX20210504_120737_V06,11,-1.000,33.83,398.026536,53.419373,-110.31,45.400187,26709.686483,20210504_060737
1,KBLX20210504_121613_V06,20,-1.000,33.49,390.437165,51.749355,-110.31,45.434287,25874.677396,20210504_061613
1,KBLX20210504_122451_V06,28,0.502,40.31,411.735707,50.936767,-110.26,45.339140,25468.383598,20210504_062451
1,KBLX20210504_123328_V06,37,0.627,42.93,417.025821,52.856761,-110.25,45.315589,26428.380564,20210504_063328
1,KBLX20210504_124205_V06,46,0.820,49.72,419.602743,54.132040,-110.20,45.304617,27066.020246,20210504_064205
1,KBLX20210504_125043_V06,54,0.267,53.28,428.025388,59.553189,-110.18,45.267050,29776.594735,20210504_065043
1,KBLX20210504_130755_V06,71,-1.000,61.25,444.773750,70.240199,-110.13,45.192409,35120.099383,20210504_070755
1,KBLX20210504_131633_V06,80,0.088,50.09,406.451294,60.170036,-110.20,45.363801,30085.018158,20210504_071633
5,KBLX20210504_114148_V06,-15,0.106,344.87,90.518463,33.501755,-108.31,46.795789,16750.877380,20210504_054148
8,KBLX20210504_121613_V06,20,0.063,171.05,455.640778,12.826050,-109.43,45.150732,6413.024902,20210504_061613
12,KBLX20210504_122451_V06,28,0.146,25.16,258.325653,24.259575,-110.38,46.027602,12129.787445,20210504_062451
15,KBLX20210504_125043_V06,54,0.334,252.89,58.153137,33.226681,-108.92,46.941318,16613.340378,20210504_065043
16,KBLX20210504_125043_V06,54,0.254,415.30,52.441162,19.672394,-107.85,46.964946,9836.196899,20210504_065043
20,KBLX20210504_131633_V06,80,0.102,442.31,198.538452,19.243011,-107.68,46.306583,9621.505737,20210504_071633
