track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
4,KBUF20170428_101401_V06,2,0.165,358.30,253.826355,8.775177,-78.38,43.155864,4387.588501,20170428_061401
4,KBUF20170428_101806_V06,6,0.287,361.10,252.434884,13.774647,-78.36,43.162071,6887.323296,20170428_061806
1,KBUF20170428_095053_V06,-22,0.068,241.15,430.916565,20.485077,-79.09,42.358792,10242.538452,20170428_055053
2,KBUF20170428_100042_V06,-12,0.116,249.49,263.030365,16.407867,-79.05,43.114580,8203.933716,20170428_060042
3,KBUF20170428_100042_V06,-12,0.097,383.46,346.822693,6.448883,-78.23,42.736730,3224.441528,20170428_060042
5,KBUF20170428_101401_V06,2,0.052,240.93,421.878967,16.357574,-79.10,42.399468,8178.787231,20170428_061401
6,KBUF20170428_101806_V06,6,0.102,377.20,242.698364,17.374374,-78.26,43.205524,8687.187195,20170428_061806
7,KBUF20170428_105158_V06,39,0.088,250.54,415.944061,6.085484,-79.04,42.426350,3042.741776,20170428_065158
8,KBUF20170428_110023_V06,48,0.051,323.08,371.332642,56.661766,-78.60,42.627461,28330.883026,20170428_070023
9,KBUF20170428_111713_V06,65,0.084,241.62,431.314758,23.655651,-79.09,42.357008,11827.825546,20170428_071713
9,KBUF20170428_112126_V06,69,0.065,242.88,424.509491,16.388206,-79.08,42.387664,8194.103241,20170428_072126
18,KBUF20170506_110320_V06,62,0.227,376.43,389.669373,5.592918,-78.27,42.544064,2796.459198,20170506_070320
18,KBUF20170506_110658_V06,65,0.073,376.24,389.351051,9.905043,-78.27,42.545501,4952.521572,20170506_070658
7,KBUF20170506_095731_V06,-4,0.111,293.09,335.623993,12.619736,-78.78,42.788264,6309.867859,20170506_055731
16,KBUF20170507_101317_V06,13,0.230,35.79,433.462646,42.030537,-80.34,42.336599,21015.268326,20170507_061317
16,KBUF20170507_101707_V06,17,0.223,36.96,433.362238,48.662801,-80.33,42.337151,24331.400661,20170507_061707
16,KBUF20170507_102046_V06,20,0.238,39.52,435.848371,48.653623,-80.32,42.326180,24326.811258,20170507_062046
16,KBUF20170507_102423_V06,24,0.333,43.99,437.741210,47.249655,-80.29,42.318034,23624.827543,20170507_062423
16,KBUF20170507_102801_V06,28,0.223,47.79,441.187514,52.025902,-80.27,42.302838,26012.950941,20170507_062801
16,KBUF20170507_103140_V06,31,0.096,51.98,446.185825,54.378115,-80.24,42.280682,27189.057442,20170507_063140
47,KBUF20170507_111853_V06,78,0.051,239.72,270.832520,13.956261,-79.11,43.079288,6978.130341,20170507_071853
