track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KCAE20170625_095042_V06,-24,0.065,341.56,320.449951,27.406246,-80.89,33.856222,13703.123093,20170625_055042
1,KCAE20170625_095518_V06,-19,0.154,343.13,320.239904,32.895579,-80.89,33.857153,16447.789650,20170625_055518
1,KCAE20170625_100402_V06,-10,0.173,358.22,328.629243,34.003737,-80.80,33.819155,17001.868310,20170625_060402
3,KCAE20170625_100402_V06,-10,0.591,406.65,111.666595,10.697556,-80.54,34.796126,5348.777771,20170625_060402
3,KCAE20170625_100826_V06,-6,0.665,406.50,111.901556,14.854465,-80.54,34.795070,7427.232388,20170625_060826
3,KCAE20170625_101234_V06,-2,0.105,403.43,116.600167,20.366282,-80.55,34.773972,10183.140796,20170625_061234
4,KCAE20170625_100402_V06,-10,0.368,409.00,161.226532,15.397491,-80.52,34.572697,7698.745728,20170625_060402
4,KCAE20170625_100826_V06,-6,0.187,408.54,161.640305,21.007216,-80.53,34.570844,10503.608020,20170625_060826
7,KCAE20170625_100826_V06,-6,0.090,544.11,446.995483,44.464096,-79.81,33.278978,22232.048035,20170625_060826
7,KCAE20170625_101234_V06,-2,0.052,545.12,444.617973,50.222570,-79.80,33.289636,25111.284978,20170625_061234
7,KCAE20170625_101644_V06,2,0.099,539.80,440.622742,37.693710,-79.83,33.307947,18846.855164,20170625_061644
7,KCAE20170625_102054_V06,6,0.196,539.55,440.066427,42.559262,-79.83,33.310469,21279.631035,20170625_062054
10,KCAE20170625_101234_V06,-2,0.141,330.36,297.098694,7.625046,-80.95,33.961579,3812.522888,20170625_061234
10,KCAE20170625_101644_V06,2,0.146,329.98,297.312456,12.924833,-80.96,33.960618,6462.416253,20170625_061644
15,KCAE20170625_102054_V06,6,0.081,415.91,315.500244,22.790070,-80.49,33.877145,11395.034790,20170625_062054
16,KCAE20170625_102911_V06,15,0.328,425.41,409.310516,38.433525,-80.44,33.454002,19216.762543,20170625_062911
17,KCAE20170625_103322_V06,19,0.060,234.22,301.802734,5.146912,-81.47,33.939970,2573.455811,20170625_063322
18,KCAE20170625_113446_V06,80,0.123,396.65,362.250580,20.464279,-80.60,33.666893,10232.139587,20170625_073446
19,KCAE20170625_113829_V06,84,0.104,368.84,379.370087,11.664757,-80.75,33.590265,5832.378387,20170625_073829
20,KCAE20170625_113829_V06,84,0.069,385.61,379.955505,11.920479,-80.66,33.587320,5960.239410,20170625_073829
