track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,local_time
1,KCXX20140425_093023_V06,-22,0.856,281.94,202.632172,8.659912,-73.28,44.949148,4329.956055,20140425_053023
3,KCXX20140425_100933_V06,17,0.051,194.07,240.161652,28.261673,-73.84,44.778395,14130.836487,20140425_060933
4,KCXX20140425_110740_V06,75,0.061,185.67,230.283112,36.179710,-73.89,44.822517,18089.855194,20140425_070740
1,KCXX20140428_101444_V06,27,0.178,185.96,229.331116,35.057922,-73.89,44.826812,17528.961182,20140428_061444
2,KCXX20140506_091337_V06,-23,0.247,36.28,211.029175,37.017677,-74.84,44.899277,18508.838654,20140506_051337
2,KCXX20140506_092315_V06,-13,0.067,39.43,211.536295,47.754030,-74.82,44.897284,23877.014903,20140506_052315
1,KCXX20140506_091337_V06,-23,0.891,286.17,201.970673,7.970551,-73.25,44.952147,3985.275269,20140506_051337
3,KCXX20140506_091337_V06,-23,0.141,99.28,553.617859,27.798353,-74.40,43.363033,13899.176598,20140506_051337
8,KCXX20140506_095215_V06,16,0.078,60.99,198.669769,44.378117,-74.68,44.957041,22189.058304,20140506_055215
12,KCXX20140506_104027_V06,64,0.102,175.10,152.675598,62.479759,-73.96,45.171223,31239.879608,20140506_064027
12,KCXX20140506_105017_V06,74,0.482,145.90,171.774048,39.960426,-74.15,45.083875,19980.213165,20140506_065017
4,KCXX20140509_100717_V06,35,0.058,48.94,326.390289,65.821518,-74.74,44.381484,32910.758972,20140509_060717
4,KCXX20140509_101247_V06,40,0.057,48.41,321.752740,70.397492,-74.75,44.402300,35198.746183,20140509_061247
1,KCXX20140509_091750_V06,-15,0.092,284.03,195.279755,5.066956,-73.27,44.982240,2533.477783,20140509_051750
6,KCXX20140509_101247_V06,40,0.055,178.18,124.712646,36.152962,-73.94,45.297154,18076.480865,20140509_061247
9,KCXX20140509_103440_V06,62,0.193,36.65,278.871399,47.184971,-74.82,44.594149,23592.485428,20140509_063440
